0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
01:40–03:10,CDR-INC1,Transfer DDCU2 rack into LAB / Assembly Ops ISS-5A.1: Assembly: Rack Ops:Rack Transfer MPLM to ISS + OCA_1923,,,,,,,,,,,,,,
02:00–03:10,CDR,,,,,,,,,,,,,,,
02:45–03:20,FE-1-INC1,"Begin 24-hour ECG recording / MO Vol. 2, items 3.3.1, 3.3.2, pg. 3-13 to 3-15",,,,,,,,,,,,,,
03:10–04:10,CDR-INC1,Physical exercise (TVIS),,,,,,,,,,,,,,
03:10–03:55,"CDR, FE-1",DDCU2 rack umbilical mate / Assembly Ops ISS-5A.1: Assembly: Rack Ops:DDCU-2 Rack Umbilical Mate,,,,,,,,,,,,,,
03:55–04:55,"CDR, FE-1",Transfer DDCU1 rack into LAB / Assembly Ops ISS-5A.1: Assembly: Rack Ops:Rack Transfer MPLM to ISS + OCA_1923,,,,,,,,,,,,,,
04:10–04:55,CDR-INC1,,,,,,,,,,,,,,,
04:55–05:05,CDR-INC1,IMAX: film reloading / ISS Photo/TV Generic: IMAX 3D Camera: NominalOperations: IMAX 3D Reloading Operations,,,,,,,,,,,,,,
04:55–05:50,CDR,Transfer front RSP panel and collapse fence,,,,,,,,,,,,,,
05:05–05:20,FE-1,Multi-Purpose Logistics Module ISS-5A.1: MPLM: EPS: Nominal: ISS to MPLMEPS Jumper Reconfiguration,,,,,,,,,,,,,,
05:40–05:50,CDR-INC1,METAB: plant watering,,,,,,,,,,,,,,
05:35–05:50,FE-1,DDCU3B activation and c/o / EPG: EPS: Activation & Checkout: Secondary PowerSystem: 1.209 LAB DDCU LA2B Activation From CCS,,,,,,,,,,,,,,
05:50–07:35,CDR-INC1,Transfer front RSP panel and collapse fence,,,,,,,,,,,,,,
05:50–06:35,"CDR, FE-1",DDCU1 rack umbilical mate into LAB / Assembly Ops ISS-5A.1: Assembly: RackOps: DDCU1 Rack Umbilical Mate + OCA_1939,,,,,,,,,,,,,,
06:35–07:35,"CDR, FE-1",Transfer front RSP panel and collapse fence,,,,,,,,,,,,,,
07:35–08:35,,LUNCH,,,,,,,,,,,,,,
08:35–09:35,,Transfer AV-3 racks into LAB / Assembly Ops ISS-5A.1: Assembly: Rack Ops:Rack Transfer MPLM to ISS + OCA_1923,,,,,,,,,,,,,,
09:35–10:35,,Transfer MSS-1 racks into LAB / Assembly Ops ISS-5A.1: Assembly: Rack Ops:Rack Transfer MPLM to ISS + OCA_1923,,,,,,,,,,,,,,
10:35–11:35,,Transfer MSS-2 racks into LAB / Assembly Ops ISS-5A.1: Assembly: Rack Ops:Rack Transfer MPLM to ISS + OCA_1923,,,,,,,,,,,,,,
11:35–11:55,CDR,"Replacement of ???-? / ? ? ?  item 4.1.6.4, page 4-5",,,,,,,,,,,,,,
11:40–11:55,FE-1,DDCU1A LAB1 activation and c/o / EPG: EPS: Activation&Checkout: SPS: 1.205LAB DDCU LAB1 Activation from CCS,,,,,,,,,,,,,,
11:55–12:55,,Transfer CHECS racks into LAB / Assembly Ops ISS-5A.1: Assembly: Rack Ops:Rack Transfer MPLM to ISS + OCA_1923,,,,,,,,,,,,,,
12:55–13:55,CDR-INC1,Physical exercise (TVIS),,,,,,,,,,,,,,
12:55–13:10,CDR,"Installation of LAB1 SD5 / ISS In-Flight Maintenance: LAB: Corrective / ECLSS:Area Smoke Detector R&R LAB1 SD5 Steps 4, 5, 6",,,,,,,,,,,,,,
13:10–13:25,CDR,Take air samples using ??-1?  sampler / ? ? ??  item 11.2 + r/g,,,,,,,,,,,,,,
12:55–13:25,FE-1,Cargo transfer conference,,,,,,,,,,,,,,
GMT,Crew,Activity / ODF or R/G,,,,,,,,,,,,,,
06:00–06:10,,Morning inspection,,,,,,,,,,,,,,
06:10–06:40,"CDR, PLT",Post-sleep,,,,,,,,,,,,,,
06:10–06:25,FE-1,,,,,,,,,,,,,,,
06:25–06:40,FE-1,"PLASMA CRYSTAL-3: payload prep / ??  item 2.2, step 1, page 2-14 +r/g 724",,,,,,,,,,,,,,
06:40–06:50,CDR,Downlink of TEPC data via OCA / ? ? ? _1783 step 2,,,,,,,,,,,,,,
06:40–07:20,"PLT, FE-1",BREAKFAST,,,,,,,,,,,,,,
06:50–07:05,CDR,"Configuration of PMA2 for arrival / JOINT OPERATIONS ISS-5A.1: ARRIVAL: PMA2ARRIVAL (POST CCS) / STEPS 1,2",,,,,,,,,,,,,,
07:05–07:45,CDR,BREAKFAST,,,,,,,,,,,,,,
07:20–08:20,"PLT, FE-1","Installation of 11? 615.?1824-?59-0 container / ??? ??? item 4.1, page 4-1+ r/g 718",,,,,,,,,,,,,,
08:20–08:30,"PLT, FE-1","Mating of ?? ? -connectors to ????2-12 / r/g 717, r/g 718, r/g 719",,,,,,,,,,,,,,
08:55–09:55,PLT,Physical exercise (TVIS-2),,,,,,,,,,,,,,
09:00–09:55,FE-1,"PLASMA CRYSTAL-3: ??? & computer ops, payload ops / ?? item 2.2, steps 2-8,pages 2-14 through 2-16, item 2.3, steps 1-7, pages 2-17 through 2-20 + r/g 724",,,,,,,,,,,,,,
09:55–10:25,PLT,PLASMA CRYSTAL-3: payload photography / r/g,,,,,,,,,,,,,,
09:55–11:20,FE-1,"PLASMA CRYSTAL-3: payload ops / ?? item 2.3, step 8-12, pages 2-20, 2-22+r/g 724",,,,,,,,,,,,,,
10:00–11:20,CDR,Installation of ZSR containers,,,,,,,,,,,,,,
10:25–11:20,PLT,,,,,,,,,,,,,,,
11:20–12:40,CDR,Physical exercise (IRED),,,,,,,,,,,,,,
11:20–11:40,FE-1,"PLASMA CRYSTAL-3: finishing ops / ?? item 2.4, steps 1-4, pg. 2-23, 2-24 + r/g724",,,,,,,,,,,,,,
11:33–11:43,PLT,Private medical conference.,,,,,,,,,,,,,,
11:40–12:40,FE-1,Physical exercise (TVIS-2),,,,,,,,,,,,,,
12:30–12:40,PLT,Inspect ????-1 separator,,,,,,,,,,,,,,
12:40–13:40,,LUNCH,,,,,,,,,,,,,,
13:40–15:10,"PLT, CDR",Pack for return,,,,,,,,,,,,,,
13:40–14:20,FE-1,"PLASMA CRYSTAL-3: copying data from hard drive, stowage / ?? item 2.7,pages 2-27, 2-29, item 2.5, pages 2-25, 2-26, step 5-8 +r/g 724",,,,,,,,,,,,,,
15:10–17:10,CDR,Prep hardware for return,,,,,,,,,,,,,,
15:10–16:10,PLT,Physical exercise (TVIS-2),,,,,,,,,,,,,,
15:50–16:10,FE-1,"Elevate O2 levels in ISS by 10 mm using Progress ? ? ? ? Section 1 (on specialdirective from MCC with Elektron OFF) / ? ? ??  ? ?  item 3.7, pages 3-2 through 3-3",,,,,,,,,,,,,,
16:09–17:09,PLT,Prep hardware for return,,,,,,,,,,,,,,
16:10–17:10,FE-1,Physical exercise (TVIS-2),,,,,,,,,,,,,,
17:10–18:10,CDR,Physical exercise (TVIS),,,,,,,,,,,,,,
17:10–17:15,FE-1,TVIS weekly maintenance / OCA_1783 step 1,,,,,,,,,,,,,,
18:10–18:15,CDR,,,,,,,,,,,,,,,
18:15–18:45,,Report prep,,,,,,,,,,,,,,
18:45–19:15,,Review plan for the next day,,,,,,,,,,,,,,
19:15–19:25,,Daily planning conference (evening),,,,,,,,,,,,,,
19:30–20:00,,DINNER,,,,,,,,,,,,,,
20:00–20:30,,Daily food ration prep,,,,,,,,,,,,,,
20:30–21:30,,Pre-sleep,,,,,,,,,,,,,,
21:30–06:00,,SLEEP,,,,,,,,,,,,,,
GMT,Crew,Activity / ODF or R/G,,,,,,,,,,,,,,
06:00–06:10,,Morning inspection,,,,,,,,,,,,,,
06:10–06:40,,Post-sleep,,,,,,,,,,,,,,
06:40–07:30,,BREAKFAST,,,,,,,,,,,,,,
07:30–08:00,,Work prep,,,,,,,,,,,,,,
08:00–08:15,,Daily planning conference,,,,,,,,,,,,,,
08:20–10:20,,Weekly station cleanup,,,,,,,,,,,,,,
10:30–10:35,FE-1,Increment_2_US_SODF;Environmental Control Group:ECLSS:Nominal:THC:2.505CCAA Heat Exchanger Dryout for Microbial Control; steps 1-3,,,,,,,,,,,,,,
10:50–10:55,FE-1,Increment_2_US_SODF;Environmental Control Group:ECLSS:Nominal:THC:2.505CCAA Heat Exchanger Dryout for Microbial Control; step 8,,,,,,,,,,,,,,
10:20–10:30,FE-2,Bonner Ball: daily status check / Daily Status Check Matrix: Daily Status CheckMatrix: HRF/BBND,,,,,,,,,,,,,,
10:30–12:00,CDR,Physical exercise (IRED-2),,,,,,,,,,,,,,
11:00–12:00,FE-2,Physical exercise (cycle),,,,,,,,,,,,,,
12:10–13:10,,LUNCH,,,,,,,,,,,,,,
13:10–13:50,CDR,? ? ?  maintenance / special MCC directive,,,,,,,,,,,,,,
14:00–14:15,,Weekly planning conference,,,,,,,,,,,,,,
14:15-14:45,CDR,Setup SCOPEMETR to test SM solar array generator No. 3 / r/g 373,,,,,,,,,,,,,,
14:40–16:10,FE-2,Physical exercise (IRED),,,,,,,,,,,,,,
15:00–16:00,FE-1,Physical exercise (cycle),,,,,,,,,,,,,,
16:25–17:10,,S-Band conference with the head of the Astronauts Office,,,,,,,,,,,,,,
17:15–18:45,FE-1,Physical exercise (IRED),,,,,,,,,,,,,,
17:30–18:30,CDR,Physical exercise (cycle-2),,,,,,,,,,,,,,
18:45–19:15,,Review plan for the next day,,,,,,,,,,,,,,
19:15–19:30,,Daily planning conference,,,,,,,,,,,,,,
19:30–20:00,,DINNER,,,,,,,,,,,,,,
20:00–20:30,,Daily food ration prep,,,,,,,,,,,,,,
20:30–21:30,,Pre-sleep,,,,,,,,,,,,,,
21:30–06:00,,SLEEP,,,,,,,,,,,,,,
GMT,,Crew,,Activity / ODF or R/G,,,,,,,,,,,,
06:00-06:10,.,,Morning inspection,,,,,,,,,,,,,
06:10-06:40,.,,Post-sleep,,,,,,,,,,,,,
06:40-07:30,.,,Breakfast,,,,,,,,,,,,,
07:30-08:00,.,,Work prep,,,,,,,,,,,,,
08:00-08:15,.,,Daily planning conference (morning) (S-band),,,,,,,,,,,,,
08:15-08:30,FE-1,,Private family conference (S-band),,,,,,,,,,,,,
,,,Install and activate ? ?  and Laptop on ? ? ?  work station No. 2/  crew,,,,,,,,,,,,,
08:15-09:25,CDR,,"procedures (?/? ), in-flight maintenance (? ? ? ), IVA (? ??? ? ), SM",,,,,,,,,,,,,
,,,"Resupply,  Item 2.5, pgs.2-6, Item 2.7, pgs. 2-8 + r/g 837",,,,,,,,,,,,,
08:25-12:10,FE-2,,,,,,,,,,,,,,,
,,,OCA router install / OCA_2063,,,,,,,,,,,,,
08:30-12:10,FE-1,,,,,,,,,,,,,,,
09:30-10:00,CDR,,Replace ? ? ? 1 fan/ r/g 829,,,,,,,,,,,,,
10:30-12:00,CDR,,Physical exercise (IRED –1),,,,,,,,,,,,,
12:10-13:10,.,,Lunch,,,,,,,,,,,,,
13:10-15:00,FE-1,,OCA router install / OCA_2063,,,,,,,,,,,,,
13:10-15:40,FE-2,,,,,,,,,,,,,,,
,,,Unload Progress 244 using IMS,,,,,,,,,,,,,
13:10-17:10,CDR,,,,,,,,,,,,,,,
15:00-17:30,FE-1,,Physical exercise,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15:45-18:15,FE-2,,Physical exercise,,,,,,,,,,,,,
,,,Sound level meter checkout / ISS Medical Operations: Med Ops:,,,,,,,,,,,,,
17:30-18:00,FE-1,,,,,,,,,,,,,,,
,,,Activation and Checkout: EHS: Sound Level Meter (SLM) - Checkout,,,,,,,,,,,,,
17:15-17:45,CDR,,Report prep,,,,,,,,,,,,,
,,,Physical exercise (veloergometer-1). Telemetry check To=18:07 / r/g,,,,,,,,,,,,,
17:45-18:45,CDR,,,,,,,,,,,,,,,
,,,840,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
18:45-19:15,.,,Review plan,,,,,,,,,,,,,
19:15-19:30,.,,Daily planning conference (evening) (S-band),,,,,,,,,,,,,
19:30-20:00,.,,Dinner,,,,,,,,,,,,,
20:00-20:30,.,,Daily food ration prep,,,,,,,,,,,,,
20:30-21:30,.,,Pre-sleep,,,,,,,,,,,,,
21:30-06:00,.,,Sleep,,,,,,,,,,,,,
GMT,Crew,Activity / ODF or R/G,,,,,,,,,,,,,,
23:40–23:50,,Morning inspection,,,,,,,,,,,,,,
23:50–00:30,,Post-sleep,,,,,,,,,,,,,,
00:30–01:10,,BREAKFAST,,,,,,,,,,,,,,
01:10–01:25,,Daily planning conference (morning),,,,,,,,,,,,,,
01:25–01:40,,Work prep,,,,,,,,,,,,,,
01:40–02:40,"FE-1, CDR",Transfer HRF rack to LAB / Assembly Ops ISS-5A.1: Assembly: Rack Ops/ RackTransfer MPLM to ISS,,,,,,,,,,,,,,
02:40–05:00,CDR,MPLM loading/unloading ops,,,,,,,,,,,,,,
02:40–03:00,CDR-INC1,Hatch opening & ISS ingress,,,,,,,,,,,,,,
02:40–03:40,FE-1,IMAX: lighting setup /CSG: ISS Photo TV - Flight Specific: Scenes,,,,,,,,,,,,,,
02:45–03:05,FE-INC1,"Finish 24-hour ECG recording / MO Vol. 2, item 3.3.3, page 3-15",,,,,,,,,,,,,,
03:15–04:15,FE-INC1,"? ??? training T0=03:25 / MO Vol. 2, item 3.4, page 3-16",,,,,,,,,,,,,,
03:25–03:40,FE-2,Prep seat liner for transfer,,,,,,,,,,,,,,
03:40–05:40,FE-2,"Transfer ???? assembly. Spacesuit checkout / RODF ? ???????? ? ? ?? ????????, page 137, item 18 + r/g 752",,,,,,,,,,,,,,
03:40–04:25,FE-1,MPLM loading/unloading ops,,,,,,,,,,,,,,
04:25–05:00,FE-1,H-REFLEX MDK SETUP,,,,,,,,,,,,,,
04:40–05:30,PLT-INC1,"? ??? training T0=05:00 / MO Vol. 2, item 3.4, page 3-16",,,,,,,,,,,,,,
05:00–05:35,CDR,H-REFLEX MS5 SUBJECT,,,,,,,,,,,,,,
05:10–05:30,FE-1,H-REFLEX MDK OPR,,,,,,,,,,,,,,
05:30–06:05,FE-1,H-REFLEX MS4 SUBJECT,,,,,,,,,,,,,,
05:35–06:05,CDR,MPLM loading/unloading ops,,,,,,,,,,,,,,
05:40–06:00,FE-2,H-REFLEX MDK OPR,,,,,,,,,,,,,,
06:05–06:25,,PAO event,,,,,,,,,,,,,,
06:25–06:45,FE-2,"Spacesuit and gloves dryout / RODF ? ???????? ? ? ?? ??????  pg. 71, item 7.10",,,,,,,,,,,,,,
06:25–07:25,"CDR, FE-1",LUNCH,,,,,,,,,,,,,,
06:45–07:25,FE-2,,,,,,,,,,,,,,,
07:25–08:35,"CDR,FE-INC1",ISS-1/ISS2 handover opsUpdate of 3D graphics on HDD s/n 1024 / r/g 739,,,,,,,,,,,,,,
07:25–08:00,FE-2,H-REFLEX MS3 SUBJECT,,,,,,,,,,,,,,
07:35–07:55,FE-1,H-REFLEX MDK OPR,,,,,,,,,,,,,,
08:00–08:10,FE-1,H-REFLEX MDK STOW,,,,,,,,,,,,,,
08:10–10:10,FE-1,ISS-1/ISS2 handover,,,,,,,,,,,,,,
08:10–08:30,FE-2,TRANSFER H-REFLEX,,,,,,,,,,,,,,
08:35–09:35,"CDR,FE-INC1","Sound Level Meter: take measurements and transfer data to Laptop-3 / MO Vol. 1,items 11.1 - 11.2, pages 11-3---11-14",,,,,,,,,,,,,,
09:00–09:20,FE-2,"Spacesuit stowage / RODF ? ???????? ? ? ?? ??????  pg. 71, item 7.10",,,,,,,,,,,,,,
09:20–12:40,FE-2,ISS-1/ISS2 handover,,,,,,,,,,,,,,
09:35–10:15,"CDR,FE-INC1",Updating ? ??? software (2 sets) / r/g 766,,,,,,,,,,,,,,
10:10–11:10,FE-1,Physical exercise,,,,,,,,,,,,,,
11:10–11:15,FE-1,Weekly TVIS maintenance / IMG: ISS MEDICAL OPERATIONS: NOMINAL: CMS:TREADMILL WITH VIBRATION ISOLATION AND STABILIZATION (TVIS) -WEEKLY ? AINTENA,,,,,,,,,,,,,,
11:15–12:40,FE-1,ISS-1/ISS2 handover,,,,,,,,,,,,,,
12:10–13:10,CDR,Physical exercise (active rest),,,,,,,,,,,,,,
GMT  03/24/01,,,,,,,,,,,,,,,,
DAY/NIGHT,,,,,,,,,,,,,,,,
ORBIT,,1383,,1384,,1385,,,,1386,,1387,,1388,,
I DAILY ORBIT,,6,,7,,8,,,,9,,10,,11,,
S KU,,,,,,,,,,,,,,,,
S TDRS S-BD,,,,,,,,,,,,,,,,
ECS,,,,,,,,,,,,,,,,
M MCC-H IPS OUTAGE,,,,,,,,,,,,,,MCC-H IPS,,
C,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,
,WHS,,DFR,,DFR,,,,DFR,,DFR,,,PPK,,
,WLP,,WHS,,WHS,,,,WHS,,WHS,,,,,
I,,,WLP,,WLP,,,,WLP,,,WLP,,,,
S GND,,,,,,,,,,,,,,,,
S,,,,,,,,,,,,,,,,
+ZLV +XVV TEAISS ATTITUDE,,,,,,,,,,,,,,,,
ISS POWER,,,,,,,,,,,,,,,,
USACHEV,,POSTSLEEP,PREP-WORK DPC,,СГО-CLN,,,,,,,MIDDAY-MEAL,♦,,,
I,,,,,,,,,,,,,,,,
S VOSS,,POSTSLEEP,PREP-WORK DPC,,СГО-CLN,,,,,,,MIDDAY-MEAL,♥,∆,,
S,,,,,,,,,,,,,,,,
,,,,,,,,US TO,,,,,,,,
HELMS,,POSTSLEEP,PREP-WORK DPC,,СГО-CLN,,,,,,,MIDDAY-MEAL,,♠,,
,,,,,,,,RS-H2O-OPS,,,,,,,,
E EXE-PKG U/L,,EXE-PKG U/L,,,,,,,,,,,,,,
C OCA-MAIL-SYNC,,,,,,,,,,,,,,OCA-MAIL-,,
S,,,,,,,,,,,,,,,,
S,,,,,,,,,,,,,,,,
Y,,,,,,,,,,,,,,,,
S- ARS-MCA ZERO-CAL,ARS-MCA ZERO-CAL,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,,,
P BONNER BALL CLCT,,,,,,,,,,,,,,BONNER BA,,
L,,,,,,,,,,,,,,,,
R,,,,,,,,,,,,,,,,
S,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,♦СВО-СРВК-БРПК-IN,,,
,,,,,,,,,,,,,,PAO-VIDEO,,
,,,,,,,,,,,,,♥BONNER BALL CLOC,,,
,,,,,,,,,,,,,,∆PAO-VIDEO,,
,,,,,,,,,,,,,,♠PAO-VIDEO,,
NOTES:,,,,,,,,,,,,,,,,
,,,,24MAR-1,,,,,,,,,,,,
GMT Crew,Activity / ODF or R/G,,,,,,,,,,,,,,,
23:40–01:05,"Morning inspection, post-sleep, breakfast",,,,,,,,,,,,,,,
01:40–01:25,Daily planning conference,,,,,,,,,,,,,,,
,Configure MPLM racks for return/ Assembly  Operations ISS-5A.1:Assembly:,,,,,,,,,,,,,,,
"01:25–02:40 CDR, FE-1",,,,,,,,,,,,,,,,
,Rack Ops: Configure MPLM Racks,,,,,,,,,,,,,,,
"02:40 -02:55  CDR, FE-1",MPLM Egress / Mult-Purpose Logistics Module: MPLM: Nominal: MPLM Egress;,,,,,,,,,,,,,,,
,steps 4-13,,,,,,,,,,,,,,,
,??? -?2?  Condensate Sample Collection / ? ? ?  ? ?  ?? ? 2-12 ? 2.1.11.5. ? ?? 1,,,,,,,,,,,,,,,
01:25–01:45 FE-2,,,,,,,,,,,,,,,,
,(??????? WS&A - ? ? ?? ??? 424),,,,,,,,,,,,,,,
,MPLM Deactivation/ Mult-Purpose Logistics Module: MPLM: Nominal: Mult-,,,,,,,,,,,,,,,
03:00–03:20 FE-1,,,,,,,,,,,,,,,,
,"Purpose Logistics Module Deactivation; steps 1, 2, 5, 6, 9",,,,,,,,,,,,,,,
FE-1 INC1,,,,,,,,,,,,,,,,
03:20-04:50,"LBNP (PLT assist) ??=04.12 ODF MO, Vol 2 step 2.3, pp. 2-13 – 2-20",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
04:50-07:00 PLT INC1,"LBNP (FE-1 INC1 assist) ??=05.48 ODF MO, Vol 2 step 2.3, pp. 2-13 – 2-20",,,,,,,,,,,,,,,
,Removal of jumpers and CBM installation in MPLM/Node1 vestibule / Muliti-,,,,,,,,,,,,,,,
,Purpose Logistics Module: MPLM: Nominal: Node 1 to MPLM Vestibule,,,,,,,,,,,,,,,
"03:20–04:50 CDR, FE-1",,,,,,,,,,,,,,,,
,Deoutfitting; steps 10-14 & 17-35 +,,,,,,,,,,,,,,,
,+ OCA_2037,,,,,,,,,,,,,,,
"04:50–05:50 CDR, FE-1",MPLM/Node1 depress/ NODE1 / OCA_1994 Node 1 to MPLM Vestibule Depress,,,,,,,,,,,,,,,
04:15-04:35 FE-2,??? -?2?  Condensate Sample Collection/ ? ? ?  ? ?  ?? ? 2-12 ? 2.1.11.5.  ? ?? 2,,,,,,,,,,,,,,,
04:35–06:30 FE-2,"ISS-1/ISS-2 handover/ Expedition 1 / 2 Handover Book,  OCA_1889 + ?/? 713",,,,,,,,,,,,,,,
07:40-08:40,MEAL,,,,,,,,,,,,,,,
08:40-08:50 CDR,Water Supply System and ? ?  counter data downlink,,,,,,,,,,,,,,,
,Audio DAIU removal/ In-Flight Maintenance: LAB: Corrective / C&T: 3.2.230,,,,,,,,,,,,,,,
08:40-09:15 FE-1,,,,,,,,,,,,,,,,
,Docked Audio to Russian Audio I/F Jumper Cable Removal.,,,,,,,,,,,,,,,
,Audio AUAI removal/ In-Flight Maintenance: Lab: Corrective /,,,,,,,,,,,,,,,
09:15–09:45 FE-1,,,,,,,,,,,,,,,,
,C&T: 3.2.229 Air to Ground Temporary Jumper Cable Removal,,,,,,,,,,,,,,,
,AUAI on AV-3 C/O/ Assembly Operations ISS-5A.1: Activation and Checkout:,,,,,,,,,,,,,,,
10:30–10:40 FE-2,,,,,,,,,,,,,,,,
,C&T: 1.101 Audio Configuration AUAI 1P Voice Comm Checks; step 7 only,,,,,,,,,,,,,,,
10:50-11:50 FE-1 INC-1 TVIS physical exercise,,,,,,,,,,,,,,,,
10:50-11:15 FE-1,Cargo Transfer Conference,,,,,,,,,,,,,,,
,RAIU on AV-3 C/O/ Joint Operations ISS-5A.1: Comm/Data: Audio Configuration,,,,,,,,,,,,,,,
11:15-11:25 FE-1,,,,,,,,,,,,,,,,
,for the Russian Voice Comm Checks; step 6,,,,,,,,,,,,,,,
11:25-11:55 FE-1,Audio Test / OCA_2024 Hardline Audio Configuration,,,,,,,,,,,,,,,
11:50–12:50 PLT INC-1,TVIS physical exercise,,,,,,,,,,,,,,,
,??? -?2?  Condensate Sample Collection/ ? ? ?  ? ?  ?? ? 2-12,,,,,,,,,,,,,,,
12:05–12:25 FE-2,,,,,,,,,,,,,,,,
,? 2.1.11.5. ? ?? 3,,,,,,,,,,,,,,,
12:25–12:40,PMC (via ? ? ?  or A/G),,,,,,,,,,,,,,,
