0,1,2,3,4,5,6,7
11:15-11:30,CDR,Private family conference (Ku+S-band),,,,,
11:50-13:00,FE-1,ARED exercise,,,,,
12:00-13:00,CDR,БД-2 -3 exercise,,,,,
12:00-12:15,FE-2,Private family conference (Ku+S-band),,,,,
12:00-13:00,FE-3,T2 exercise,,,,,
12:05-12:10,FE-6,ISERV – Lab window shutter open,,,,,
13:00-14:00,CDR,Midday meal,,,,,
,"FE-3, FE-5,",,,,,,
13:00-14:00,"FE-6, FE-1,",Midday meal,,,,,
,FE-2,,,,,,
14:00-14:10,CDR,"SM window shutters No6, 8, 9, 12, 13, 14 close",,,,,
14:00-14:40,FE-1,"SOZh maintenance. D/l info on СВО, СГО, СПКУ АСУ counter, POTOK",,,,,
,TIME,"CREWCDRFE-1FE-2FE-3, FE-5FE-6FE-3, FE-5CDR, FE-1,FE-2FE-6FE-3, FE-5CDR, FE-1,FE-2FE-3, FE-5,FE-6CDR, FE-1,FE-2FE-3, FE-6FE-5CDRFE-1FE-2FE-5CDR, FE-1FE-3FE-5, FE-6FE-2CDR, FE-1FE-2FE-2FE-1CDR, FE-1CDR, FE-1,FE-2CDRCDR, FE-1,FE-2CDR, FE-1FE-3, FE-5,FE-6FE-2CDRFE-1  assists",,"CREWDRE-1E-2E-3, FE-5E-6E-3, FE-5DR, FE-1,",CREWMorning Inspection. Laptop RS1(2) RebootMorning Inspection. Laptop RSS2 RebootMorning Inspection. SM ПСС (Caution & Warning Panel) TestReading PHS ReminderMorning InspectionMorning Inspection,,
,06:00-06:10,,,,,,
,06:00-06:10,,,,,,
,06:00-06:10,,,,,,
,06:00-06:05,,,,,,
,06:00-06:10,,,,,,
,06:05-06:15,,,,,,
,,,,,,,
,06:10-06:35,,ost-sleep,,,,
,,,"E-2E-6E-3, FE-5DR, FE-1,",,,,
,,Post-sleepPost-sleep,,,,,
,06:10-06:40,,,,,,
,06:15-06:40,,,,,,
,,,,,,,
,06:35-07:25,,REAKFAST,,,,
,,,"E-2E-3, FE-5,",,,,
,,,,,,,
,,,,,,,
,06:40-07:30,,REAKFAST,,,,
,,,"E-6DR, FE-1,",,,,
,,,,,,,
,,,,,,,
,07:25-07:40,,aily Planning Conference (S-band),,,,
,,"FE-2FE-3, FE-6FE-5CDRFE-1FE-2FE-5CDR, FE-1FE-3FE-5, FE-6FE-2CDR, FE-1FE-2FE-2FE-1CDR, FE-1CDR, FE-1,",,,,,
,,Work PrepWork PrepWork PrepSpacesuit comm and telemetry configurationWork PrepOn-Call Crew Quarters ConfigurationCheckout of Beta-08 Data Output Device (УСИ) using Gamma-1M. Tagup with,,,,,
,07:30-08:00,,,,,,
,07:30-07:50,,,,,,
,07:40-07:55,,,,,,
,07:40-07:55,,,,,,
,07:40-08:10,,,,,,
,07:50-08:00,,,,,,
,,,,,,,
,07:55-08:25,,,,,,
,,,,pecialistsFF-DUTYFF-DUTYASKAD. Manual Mixing in Bioreactorrlan and БСС Telemetry Check. Orlan comm check and medical parameter,,,
,,,,,,,
,08:00-09:50,,,,,,
,08:00-10:00,,,,,,
,08:15-08:25,,,,,,
,,,,,,,
,08:25-08:55,,,,,,
,,,test. Tagup with specialists (S/G2)Post-EVA Pille Dosimeter ReadingСОЖ MaintenanceComm reconfig into initial after Orlan Comm. CheckSetting up NASA gear for use on Orlan-M,,,,
,,,,,,,
,08:25-08:40,,,,,,
,08:50-09:30,,,,,,
,08:55-09:05,,,,,,
,09:10-09:30,,,,,,
,,,,,,,
,09:30-09:40,,rew Prep for TV Conference,,,,
,,,"E-2DRDR, FE-1,",,,,
,,PAO Hardware Setup,,,,,
,09:40-09:45,,,,,,
,,,,,,,
,09:45-09:55,,V Greetings for the Russian Judo Wrestling Tournament,,,,
,,,"E-2DR, FE-1E-3, FE-5,",,,,
,,Work Prep,,,,,
,09:55-10:15,,,,,,
,,,,,,,
,10:00-10:15,,aily Planning Conference (S-band),,,,
,,Test Operation of MIS (Multifunctional Information System) on ISS RS. Tagup,,,,,
,,,,,,,
,10:10-12:10,,,,,,
,,,with specialists,,,,
,,,,,,,
,,,,,,,
,,ssessment of Cardiovascular Function on Cycle Ergometer. Tagup withpecialists,,,,,
,,,,,,,
,,E-1  assists,,,,,
,,,,,,,
,,,,,,,
,TIME,,,"CREWDRE-1E-2E-3E-5E-6E-5DR, FE-1, FE-",,"CREWMorning Inspection. Laptop RS1(2) RebootMorning Inspection. Laptop RSS2 Reboot / r/g 1009, step 1Morning Inspection. SM ПСС (Caution & Warning Panel) TestMorning InspectionREMINDER - Reading ReminderMorning InspectionMorning Inspection",
,06:00-06:10,,,,,,
,06:00-06:10,,,,,,
,06:00-06:10,,,,,,
,06:00-06:10,,,,,,
,06:00-06:05,,,,,,
,06:00-06:10,,,,,,
,06:05-06:15,,,,,,
,,,,,,,
,06:10-06:40,,Post-sleep,,,,
,,,", FE-3, FE-6E-5DRE-1, FE-2E-3, FE-6, FE-",,,,
,,Post-sleepBREAKFASTBREAKFAST,,,,,
,06:15-06:40,,,,,,
,06:40-07:15,,,,,,
,06:40-07:20,,,,,,
,,,,,,,
,06:40-07:30,,BREAKFAST,,,,
,,,"DRDR, FE-1, FE-",,,,
,,PAO Hardware Setup,,,,,
,07:15-07:20,,,,,,
,,,,,,,
,07:20-07:30,,Crew Prep for TV Conference,,,,
,,,"DR, FE-1, FE-",,,,
,,"TV PAO with the Winners of “Future of Strong Russia is in Cutting-EdgeTechnologies"" (Ku + S-band)",,,,,
,,,,,,,
,07:30-07:45,,,,,,
,,,"E-3, FE-5, FE-",,,,
,,,,,,,
,,,,,,,
,07:30-08:00,,Work Prep,,,,
,,,"DR, FE-1, FE-",,,,
,,,,,,,
,,,,,,,
,07:45-08:00,,Work Prep,,,,
,,,"DR, FE-5, FE-",,,,
,,Daily Planning Conference (S-band),,,,,
,08:00-08:25,,,,,,
,,,,,,,
,08:25-08:55,,KENTAVR fit check,,,,
6FE-2FE-3FE-3FE-1FE-3CDRFE-2FE-6FE-3FE-1FE-2CDRFE-2FE-6FE-2FE-3,,,,,,,
,,IDENTIFIKATSIYA. Copy ИМУ-Ц micro-accelerometer data to laptopAtmosphere Control and Supply (ACS) - O2 High Pressure Bypass,,,,,
,08:25-09:05,,,,,,
,,,,,,,
,08:25-08:30,,,,,,
,,,ConfigurationInitiate EMU Cooling Loop Scrub Part 1ARED ExerciseEVA - EMU 3003 Water Maintenance Dump and FillCrew Departure PrepCollecting condensate water samples from СРВ-К2М upstream of Gas-Liquid,,,,
,,,,,,,
,08:30-08:40,,,,,,
,08:35-09:35,,,,,,
,08:40-09:25,,,,,,
,09:05-09:40,,,,,,
,,,,,,,
,09:05-09:35,,,,,,
,"Mixture Filter (ФГС) to Russian Samplers – startT2 ExerciseInitiate EMU Cooling Loop Scrub Part 2On MCC Go ТКГ 424 and DC1 Interface Leak CheckСВО-ЗВ water sampling to Russian drink bagsPre-pack cargo items for return or disposal on ТК 713 / r/g 6997, 7020БРП-М water sampling to drink bagsEMU - Cooling Loop Water SamplePhoto of panels, space behind panels, and search for connectorsWastewater Storage Tank Assembly (WSTA) Fill",,,,,,
,,,,,,,
,09:10-10:10,,,,,,
,09:25-09:55,,,,,,
,09:35-10:50,,,,,,
,09:35-09:55,,,,,,
,09:40-10:50,,,,,,
,09:55-10:25,,,,,,
,10:10-10:55,,,,,,
,10:25-11:30,,,,,,
,10:25-10:35,,,,,,
TIME,CREW,ACTIVITY,,,,,
,,Morning Inspection. Laptop RS1(2) Reboot,,,,,
06:00-06:10,CDR,Inspection of connector UМ-U on МНР-НС behind [АСУ] panel 139  and,,,,,
,,Inspection of pipe 5182-03 from ДКиВ to [МНР] in its transparent area,,,,,
06:00-06:10,FE-1,Morning Inspection. Laptop RSS2 Reboot,,,,,
06:00-06:10,FE-2,Morning Inspection. SM ПСС (Caution & Warning Panel) Test,,,,,
,"FE-3, FE-5,",,,,,,
06:00-06:10,,Morning Inspection,,,,,
,FE-6,,,,,,
06:10-06:40,.,Post-sleep,,,,,
06:40-07:00,.,BREAKFAST,,,,,
07:00-07:15,.,Daily Planning Conference (S-band),,,,,
07:15-07:40,CDR,BREAKFAST,,,,,
07:15-07:35,FE-1,BREAKFAST,,,,,
,"FE-2, FE-3,",,,,,,
07:15-07:55,,BREAKFAST,,,,,
,"FE-5, FE-6",,,,,,
07:35-07:55,FE-1,Air Duct Removal in DC1 (leave В3 in place),,,,,
07:40-07:55,CDR,Comm Config for Suited OBT,,,,,
07:55-08:15,"CDR, FE-1",Orlan #5 and  #6 Systems Check,,,,,
07:55-08:25,FE-2,Work Prep,,,,,
07:55-08:10,"FE-3, FE-5",DCB – Bag Packing,,,,,
07:55-08:05,FE-6,USOS Window Shutter Close,,,,,
08:10-11:40,"FE-3, FE-5",DCB – Bag Packing for Return to Earth,,,,,
08:15-08:30,"CDR, FE-1",DC1 БСС (Orlan Interface Unit) Check,,,,,
08:15-08:25,FE-6,CIR - Hardware Teardown,,,,,
08:25-08:40,FE-2,On MCC Go БМП Ф1 Absorption Cartridge Regen (start),,,,,
08:25-08:35,FE-6,Work Prep,,,,,
08:30-09:00,"CDR, FE-1",Donning Gear,,,,,
08:35-10:05,FE-6,ARED Exercise,,,,,
08:40-08:50,FE-2,CASCAD. Activation of ТБУ-В #04 thermostat to +4 degrees С,,,,,
,,"Filter R&R on ПС1, ПС2 dust collectors in FGB (ФГБ1ПГО_4_419_1,",,,,,
08:50-09:40,FE-2,,,,,,
,,Container of Area 28Б). Update IMS,,,,,
09:00-09:30,"CDR, FE-1",Comm Check and Medical Parameters Check,,,,,
09:40-11:00,FE-2,"FGB interior panels fan grille cleaning (panels 116, 316, 231, 431)",,,,,
09:55-10:05,"CDR, FE-1",Check Initial Status of Orlan and БСС,,,,,
10:05-10:20,"CDR, FE-1","Donning Orlans ##5 and 6, Closing Backpacks",,,,,
10:05-11:40,FE-6,Suited Translation OBT – assist during suited translation,,,,,
10:20-10:25,"CDR, FE-1",Check Orlan and БСС Controls,,,,,
10:25-10:30,"CDR, FE-1",Orlan and БСС Preliminary Leak Checks,,,,,
10:30-11:10,"CDR, FE-1",Check Sizing of Orlans #5 and #6 at Suit Pressure=0.4,,,,,
11:00-11:15,FE-2,Downlink PE data,,,,,
,TIME,,,"CREWCDRFE-1FE-2, FE-3,",,CREWMorning Inspection. Laptop RS1(2) RebootMorning Inspection. Laptop RSS2 Reboot,
,06:00-06:10,,,,,,
,06:00-06:10,,,,,,
,,,,,,,
,06:00-06:10,,orning Inspection,,,,
,,"FE-5, FE-6.CDR, FE-1,FE-3, FE-5,FE-6FE-2CDRFE-1FE-2FE-3FE-5FE-6FE-2FE-3CDRCDR, FE-1,",,,,,
,,Post-sleepBREAKFASTBREAKFAST. SM ПСС (Caution & Warning Panel) TestWeekly Housekeeping SM Ventilation Subsystem Preventive,,,,,
,06:10-06:40,,,,,,
,,,,,,,
,06:40-07:30,,,,,,
,,,,,,,
,06:40-07:30,,,,,,
,,,,,,,
,,,"aintenance, Group EGB ЦВ2 Fan Cleaningnspection of Air Conditioner",,,,
,07:30-09:30,,,,,,
,,,,,,,
,,,leaning Auxiliary Computer System (ВКС) Laptopseekly Housekeeping,,,,
,,,,,,,
,07:30-10:30,,,,,,
,,,leaning Auxiliary Computer System (ВКС) LaptopsASKAD. Manual Mixing in Bioreactoreekly Housekeepingeekly Housekeepingeekly Housekeepingeekly Housekeeping,,,,
,,,,,,,
,07:30-07:40,,,,,,
,07:30-08:40,,,,,,
,07:30-09:20,,,,,,
,07:30-09:30,,,,,,
,,,,,,,
,07:40-10:30,,,,,,
,,,leaning Auxiliary Computer System (ВКС) LaptopsRED Exercisen MCC GO Connecting HDV Sony HVR-Z7E camcorder and,,,,
,,,,,,,
,09:30-11:00,,,,,,
,,,,,,,
,10:15-10:30,,,,,,
,,launching NASA MPEG-2 Viewer application,,,,,
,,,,,,,
,,,,,,,
,10:30-10:40,,rew Prep for TV Conference,,,,
,,,"FE-2FE-5CDR, FE-1,",,,,
,,CEVIS ExerciseTV PAO with Participants of the IXth Moscow Science Festival atMoscow State UniversityDeactivation of HDV Sony HVR-Z7E camcorder and closing of NASA,,,,,
,10:30-11:40,,,,,,
,,,,,,,
,10:40-11:00,,,,,,
,,"FE-2CDRFE-2CDRFE-6FE-1FE-2CDR, FE-1,",,,,,
,,,,,,,
,,,,,,,
,11:00-11:10,,,,,,
,,"MPEG-2 Viewer applicationБД-2 Exercise, Day 2ARED ExerciseZebrafish Water Exchange 4VELO Exercise, Day 3Private Psychological Conference (VHF)",,,,,
,,,,,,,
,11:00-12:00,,,,,,
,11:15-12:45,,,,,,
,11:15-12:15,,,,,,
,11:45-12:45,,,,,,
,12:10-12:25,,,,,,
,,,,,,,
,12:45-13:45,,UNCH,,,,
,"FE-2FE-6FE-3, FE-5",,,,,,
,,LUNCHLUNCH,,,,,
,12:50-13:50,,,,,,
,13:10-14:10,,,,,,
,TIME,,"CREWCDRFE-1FE-2FE-3FE-5FE-6CDR, FE-1,",,,"CREWorning Inspection. Laptop RS1(2) Rebootheck position of MRM2 manual Circuit Breakers [АЗС] on DC БВП and statusf Fuses on БПП-30, БПП-36 Fuse Boxesorning Inspection. Laptop RSS2 Reboot",
,,,,,,,
,06:00-06:10,,,,,,
,,,,,,,
,,,,,,,
,06:00-06:10,,,,,,
,,"Checking БПП-4, БПП-7 Fuses in MRM1Morning Inspection. SM ПСС (Caution & Warning Panel) TestMorning inspection, Post-sleep, BreakfastMorning inspection, Post-sleep, BreakfastClosing USOS Window Shutters",,,,,
,,,,,,,
,06:00-06:10,,,,,,
,06:00-07:05,,,,,,
,06:00-06:55,,,,,,
,06:00-06:10,,,,,,
,,,,,,,
,06:10-06:30,,ost-sleep,,,,
,,,"E-2E-6DR, FE-1,",,,,
,,"Morning inspection, Post-sleep, Breakfast",,,,,
,06:10-06:45,,,,,,
,,,,,,,
,06:30-06:45,,aily Planning Conference (S-band),,,,
,,,"E-2DRE-1, FE-2E-6DR, FE-1,",,,,
,,Comm configuration for EVAPost-sleepISS - HAM RADIO Deactivation,,,,,
,06:45-06:55,,,,,,
,06:45-06:55,,,,,,
,06:45-06:55,,,,,,
,,,,,,,
,06:55-07:55,,REAKFAST,,,,
,,"FE-2FE-5FE-6FE-6FE-3, FE-5FE-6CDRFE-1FE-2CDRFE-1FE-1FE-2FE-2CDR  assistsFE-1CDRCDRFE-2FE-6FE-3, FE-5,",,,,,
,,"Photo/TV EVA Camera TestCUCU - System config before EVAHigh Pressure Oxygen Bypass ConfigurationEVA In-Suit Light Exercise (ISLE) PreparationEVA In-Suit Light Exercise (ISLE) PreparationDeactivation of ВПрК fan (on ППС-23 ВПрК switch OFF)Vozdukh DeactivationWork PrepWork PrepWork PrepPreventive maintenance of SM АСП-О and ATV hatch sealing mechanismsCASKAD. Manual Mixing in Bioreactor / r/g 6758Filling (separation) EDV (KOB) for Elektron from EDV-RP No.1139(00062675R,ФГБ1ПГО_1_107)On MCC GO Removal of ЛКТ (ТА251МБ) and ROM from ТКГ 423 (DC1).",,,,,
,06:55-07:05,,,,,,
,06:55-07:00,,,,,,
,07:00-07:05,,,,,,
,07:05-09:30,,,,,,
,07:05-09:25,,,,,,
,07:55-08:00,,,,,,
,07:55-08:05,,,,,,
,07:55-08:25,,,,,,
,08:00-08:25,,,,,,
,08:05-08:25,,,,,,
,08:25-08:55,,,,,,
,08:25-08:35,,,,,,
,08:35-09:15,,,,,,
,08:35-08:45,,,,,,
,,,,,,,
,08:55-09:55,,,,,,
,,,"tow in 427-1 bag (00063501R), СМ1РО_3_314_1. Reflect changes in IMSommunication Check between КЦП1 and RS1. Tagup with specialistsreparing Glisser-M equipment for video recording during EVA (MLI cover",,,,
,,,,,,,
,09:00-09:15,,,,,,
,,,,,,,
,09:15-12:00,,,,,,
,,replacement) and installation of Orlan gloves. Tagup with specialistsСОЖ MaintenanceOxygen Supply System Reconfig to Initial,,,,,
,,,,,,,
,09:15-09:55,,,,,,
,09:25-09:30,,,,,,
,,,,,,,
,09:30-09:45,,MU Prep for EVA,,,,
,,,"E-6E-3, FE-5,",,,,
,,,,,,,
,,,,,,,
,09:45-11:50,,rebreathe in EMU,,,,
,E-6,,,,,,
,,,,,,,
,TIME,,,"CREWFE-3, FE-5FE-6FE-6FE-3, FE-5, FE-",,CREWMorning InspectionBIOME-SURVEY-QSTN2Actiwatch Reminder,
,05:30-05:40,,,,,,
,05:30-05:35,,,,,,
,05:35-05:40,,,,,,
,,,,,,,
,05:40-06:10,,Post-sleep,,,,
,,"6CDRFE-1FE-2FE-1, FE-2FE-3, FE-5, FE-",,,,,
,,KHROMATOMASS. Experiment SetupMorning Inspection. Laptop RS1(2) Reboot,,,,,
,06:00-06:15,,,,,,
,,,,,,,
,06:00-06:10,,,,,,
,,"Laptop RSS2 Reboot / r/g 1009, step 1Morning Inspection. SM ПСС (Caution & Warning Panel) TestPost-sleep",,,,,
,,,,,,,
,06:00-06:10,,,,,,
,06:10-06:40,,,,,,
,,,,,,,
,06:10-07:00,,BREAKFAST,,,,
,,,"6CDRFE-1, FE-2CDRFE-3, FE-5, FE-",,,,
,,KHROMATOMASS. Saliva and Blood CollectionBREAKFASTPost-sleep,,,,,
,06:15-06:45,,,,,,
,06:40-07:30,,,,,,
,06:45-07:30,,,,,,
,,,,,,,
,07:00-07:10,,Daily Planning Conference (S-band),,,,
,,,"6FE-3FE-5FE-6CDR, FE-1, FE-",,,,
,,Work PrepWork PrepWork Prep,,,,,
,07:10-08:00,,,,,,
,07:10-07:50,,,,,,
,07:10-07:40,,,,,,
,,,,,,,
,07:30-07:40,,Daily Planning Conference (S-band),,,,
,,,"2CDRFE-1, FE-2FE-6FE-5FE-5FE-3, FE-5CDR, FE-1, FE-",,,,
,,BREAKFASTWork PrepEARTH RIM - Preparing for the experimentCPCG-HM MERLIN 4 - Status CheckCPCG-HM MERLIN 5 - Status CheckDouble Coldbag Packing ReviewISS crew and ГОГУ (RSA Flight Control Management Team) weekly conference(S-band)Packing Double Coldbag (DCB) for Return on DragonARED Exercise,,,,,
,07:40-08:05,,,,,,
,07:40-08:05,,,,,,
,07:40-08:10,,,,,,
,07:50-07:55,,,,,,
