0,1,2,3,4,5,6,7,8,9,10
13:50 - 15:20,"CDR ISS2,",Configuration of NODE1/MPLM vestibule for undocking,,,,,,,,
GMT,,Crew,,Activity / ODF or R/G Reference,,,,,,
06:00–06:10,,,,Morning inspection,,,,,,
06:10–06:40,,,,Personal hygiene (post-sleep),,,,,,
06:40–07:05,,FE-1,,BREAKFAST,,,,,,
06:40–07:15,,"CDR, PLT",,BREAKFAST,,,,,,
07:05–07:30,,FE-1,,RENAL STONE: urine collection (FE-1),,,,,,
07:15–07:40,,CDR,,RENAL STONE: completing urine collection (CDR),,,,,,
07:15–07:30,,PLT,,RENAL STONE: filing out metabolic log (food and fluid intake log for PLT),,,,,,
07:30–07:50,,FE-1,,Work prep,,,,,,
07:30–07:40,,PLT,,BSTC – camera setup for photo ops 2,,,,,,
07:40–07:55,,PLT,,BSTC: photo ops 2 on day 9,,,,,,
07:40–08:40,,CDR,,BSTC: analyzing media,,,,,,
07:50–08:00,,FE-1,,Prep to replace ? ?? (?? 765?) ???4?2 (? ? ? ) in SM,,,,,,
07:55–08:50,,PLT,,Work prep,,,,,,
08:00–08:10,,FE-1,,Disconnecting ?? ? -connectors from ????2-12 / r/g 1778,,,,,,
08:10–08:30,,FE-1,,? ?? (?? 765?) ???4?2 (? ? ? ) R&R in SM / r/g 1778,,,,,,
08:30–08:50,,FE-1,,Work prep,,,,,,
08:50–09:05,,.,,Daily planning conference,,,,,,
09:05–09:50,,CDR,,Work prep,,,,,,
09:05–09:30,,PLT,,Work prep,,,,,,
09:10–09:40,,FE-1,,Crosschecking readings of portable vacuum meters (? ?) / r/g 1787,,,,,,
09:30–09:50,,PLT,,"Closing ??? valves in Vozdukh for maintenance / ? ? ??  ? ? , item 6.10,page 6-7",,,,,,
09:40–09:50,,FE-1,,Mating ?? ? -connectors to ????2-12/ r/g 1778 (candidate),,,,,,
09:50–11:20,,CDR,,Physical exercise (RED),,,,,,
09:50–11:15,,"PLT, FE-1",,Progress transfer ops with IMS support / ??? ??? ?245,,,,,,
11:15–11:30,,FE-1,,RENAL STONE: filing out metabolic log (food and fluid intake log for FE-1),,,,,,
11:15–12:15,,PLT,,Physical exercise (active rest),,,,,,
11:20–12:15,,CDR,,BSTC: exchanging media,,,,,,
11:30–11:40,,FE-1,,Setting up TV camera for upcoming PAO conference,,,,,,
11:45–12:15,,FE-1,,GASMAP HRF: functional test OBT - 30/90 days,,,,,,
12:15–13:15,,,,LUNCH,,,,,,
13:15–14:35,,CDR,,BSTC: preserving culture,,,,,,
13:15–13:45,,PLT,,LAB payload daily status check,,,,,,
13:15–13:55,,FE-1,,BONNER BALL: data transfer,,,,,,
13:45–14:20,,PLT,,Maintenance of ? ? ?,,,,,,
14:20–15:00,,FE-1,,Installing Agat-2M audio-video system in SM / r/g 1782,,,,,,
14:35–14:40,,CDR,,BSTC: purge,,,,,,
14:40–15:00,,"CDR, PLT",,SSC software reload,,,,,,
15:00–15:10,,,,Prep for PAO TV conference,,,,,,
GMT,Crew Activity/ODF or R/G,,,,,,,,,
07:30 - 07:40,. Morning inspection,,,,,,,,,
07:40 - 08:10,. Post sleep,,,,,,,,,
08:10 - 09:00,. Breakfast,,,,,,,,,
09:00 - 09:30,. Work prep.,,,,,,,,,
09:30 - 09:45,. Daily planning conference (morning),,,,,,,,,
,Beginning of transfer of data from TORSO sensors to HRF,,,,,,,,,
09:45 - 10:15,FE-1,,,,,,,,,
,rack ? ?,,,,,,,,,
09:45 - 10:15,FE-2 Monthly maintenance for CEVIS,,,,,,,,,
09:45 - 10:25,CDR ? ? ?  maintenance on MCC go,,,,,,,,,
10:30 - 11:00,. Daily planning conference,,,,,,,,,
,CONFERENCE BETWEEN EXPEDITION 2 AND 3,,,,,,,,,
11:00 - 11:25,.,,,,,,,,,
,CREWS,,,,,,,,,
11:25 - 12:10,FE-2  Physical exercise (RED),,,,,,,,,
11:25 - 12:10,FE-1  Physical exercise (TVIS),,,,,,,,,
12:00 - 13:00,CDR Physical exercise (TVIS) (day 1),,,,,,,,,
12:10 - 12:55,FE-1 Physical exercise (RED),,,,,,,,,
13:00 - 14:00,. LUNCH,,,,,,,,,
14:00 - 14:15,.  Conference on food problems,,,,,,,,,
14:15 - 14:30,.  Analysis of operations with ECLSS,,,,,,,,,
,Downlink welcome on video for senator session and for the,,,,,,,,,
14:30 - 15:00,"FE-1, FE-2",,,,,,,,,
,awards ceremony,,,,,,,,,
,Change out replaceable pump panel 3? ? ? 1 ? ? ? 1 / R/G,,,,,,,,,
14:30 - 15:30,CDR,,,,,,,,,
,1630,,,,,,,,,
14:30 - 14:45,FE-2 Check payload equipment in LAB,,,,,,,,,
15:00 - 16:00,"FE-1, FE-2 Prepare equipment to be returned on 7A.1",,,,,,,,,
15:30 - 15:40,CDR Disconnect telemetry connectors from FE? ? 2-12 / R/G 1630,,,,,,,,,
,Change out replaceable pump panel 3? ? ? 1 ? ? ? 1 / R/G,,,,,,,,,
15:40 - 17:10,CDR,,,,,,,,,
,1630,,,,,,,,,
16:45 - 18:30,FE-2  Physical exercise (TVIS),,,,,,,,,
17:00 - 17:20,FE-1 ICE – hammer test,,,,,,,,,
17:20 - 17:50,FE-1 TORSO. End of data transfer,,,,,,,,,
17:50 - 18:05,CDR Connect telemetry connectors to ? ? ? ? 2-12 / R/G 1630,,,,,,,,,
,Change out replaceable pump panel 3? ? ? 1 ? ? ? 1 / R/G,,,,,,,,,
18:05 - 19:00,CDR,,,,,,,,,
,1630,,,,,,,,,
18:10 - 18:30,FE-1 ICE – test with hammer,,,,,,,,,
18:30 - 19:30,FE-1 Physical exercise (TVIS),,,,,,,,,
19:00 - 20:30,CDR Physical exercise (TVIS+IRED) (day 1),,,,,,,,,
19:30 - 20:30,FE-1 Prepare equipment to be returned on 7A.1,,,,,,,,,
Time,Crew,Activity/Reference to procedure and r/g,,,,,,,,
09:10 - 11:10,ISS2,POST-SLEEP ACTIVITIES,,,,,,,,
09:40 - 09:50,ISS3,Inspection of the station,,,,,,,,
09:50 - 10:20,"FE-1, PILOT",Post-sleep,,,,,,,,
09:50 - 10:05,CDR,Post-sleep,,,,,,,,
10:20 - 11:10,ISS3,Breakfast,,,,,,,,
11:10 - 11:25,.,DPC,,,,,,,,
11:25 - 11:55,.,Prep for activities,,,,,,,,
11:55 - 12:10,CDR,TVIS I-BOLT R&R,,,,,,,,
11:55 - 13:40,PILOT,HANDOVER /  ISS Procedure ? ? ?  +r/g,,,,,,,,
11:55 - 12:05,FE-2 ISS2,Middeck status check,,,,,,,,
11:55 - 13:40,FE-1 ISS2,HANDOVER /  ISS Procedure ? ? ?  +r/g,,,,,,,,
12:05 - 12:20,FE-1,"Regeneration of absorbent cartridge for micropurificationunit (? ?  ? 1 ?? ? ) (begin) / SM ? ? ??   Procedure/para.7.3,pg.7-3, step 1",,,,,,,,
12:10 - 12:25,"CDR, CDR ISS2",HANDOVER /  ISS Procedure ? ? ?  +r/g,,,,,,,,
12:25 - 13:55,FE-2 ISS2,EXERCISE,,,,,,,,
12:25 - 12:45,CDR,Daily US payload status check,,,,,,,,
12:25 - 14:10,CDR ISS2,"Training in Chibis set  ??=13:32/  ISS Procedure ? ?BOOK2,  para.2.3, pg.2-13 thru 2-20",,,,,,,,
12:25 - 14:10,FE-1,"Training in Chibis set  (assist) / ISS Procedure ? ?  BOOK2,para.2.3, pg.2-13 thru 2-20",,,,,,,,
12:45 - 13:00,CDR,BTR1 activation,,,,,,,,
13:00 - 13:15,CDR,BTR2 transfer,,,,,,,,
13:15 - 13:30,CDR,BTR2 deactivation,,,,,,,,
13:55 - 15:25,FE-1 ISS2,EXERCISE,,,,,,,,
13:55 - 16:35,FE-2 ISS2,Transfer of returnable equipment,,,,,,,,
14:00 - 14:15,PILOT,REFLEX-H – equipment prep,,,,,,,,
14:10 - 14:35,CDR ISS2,HANDOVER /  ISS Procedure ? ? ?  +r/g,,,,,,,,
14:10 - 14:35,CDR,HANDOVER /  ISS Procedure ? ? ?  +r/g,,,,,,,,
14:10 - 14:20,FE-1,REFLEX-H - setup of still footage for archival photographicrecord,,,,,,,,
14:15 - 14:25,PILOT,REFLEX-H – ? ?  prep and activation,,,,,,,,
14:25 - 15:35,FE-1,REFLEX-H - still footage for archival photographic record,,,,,,,,
14:25 - 15:00,PILOT,REFLEX-H – PILOT as tester,,,,,,,,
14:35 - 14:55,CDR,REFLEX-H – operator (assist),,,,,,,,
14:35 - 16:15,CDR ISS2,Transfer of returnable equipment,,,,,,,,
15:00 - 15:35,CDR,REFLEX-H – commander as tester,,,,,,,,
15:10 - 15:30,PILOT,REFLEX-H - operator (assist),,,,,,,,
15:25 - 17:10,FE-1 ISS2,Transfer of returnable equipment,,,,,,,,
Time,Crew,Activity Reference to procedure and R/G,,,,,,,,
09:10-11:10,"FE-1 ISS2, FE-2ISS2",POST-SLEEP OPS,,,,,,,,
09:10-10:30,CDR ISS2,POSTS-SLEEP OPS,,,,,,,,
09:40-09:50,"CDR, Pilot, FE-1",MORNING INSPECTION OF THE STATION,,,,,,,,
09:50-10:20,"Pilot, FE-1",POST-SLEEP,,,,,,,,
09:50-10:05,CDR,POST-SLEEP,,,,,,,,
10:05-10:10,CDR,CHECKOUT OF 2A COM CONFIG ON ISS,,,,,,,,
10:10-10:20,CDR,POST-SLEEP,,,,,,,,
10:20-11:10,"CDR, Pilot, FE-1",BREAKFAST,,,,,,,,
10:30-11:10,CDR ISS2,"MONITOR ENVIRONEMENT MICROECOSPHERE (?? + 7)ISS PROCEDURES MO BOOK.2, para.4.1.2.4,  4.1.2.5, 4.1.2.7,   pp.4-7, 4-8",,,,,,,,
11:10-11:25,"ISS-2, ISS-3",DAILY PLANNING CONFERENCE MORNING,,,,,,,,
11:25-11:50,CDR,PREP FOR ACTIVITIES,,,,,,,,
11:25-11:55,"CDR ISS2,FE-1ISS2, FE-2 ISS2,Pilot, FE-1",PREP FOR ACTIVITIES,,,,,,,,
11:50-12:10,CDR,DAILY CHECKOUT OF US PAYLOAD STATUS,,,,,,,,
11:55-12:05,FE-2 ISS2,CHECKOUT OF STATUS OF CARGOES ON SHUTTLE MIDDECK,,,,,,,,
11:55-12:10,CDR ISS2,"AIR SAMPLING USING AK-1-M SAMPLER IN MPLMPROCEDURE ? ? ??  ? ? , para.11.2, pg.11-3 + R/G1675",,,,,,,,
11:55-14:50,Pilot,TRANSFER OF RESUPPLY EQUIPMENT,,,,,,,,
12:00-12:20,FE-1,"STOWAGE OF SPACESUITISS PROCEDURES REFERENCE MATERIALS para.7.10, pg.71",,,,,,,,
12:05-12:20,FE-1 ISS2,INGRESS MPLM,,,,,,,,
12:10-12:55,FE-2 ISS2,TRANSFER OF RESUPPLY EQUIPMENT,,,,,,,,
12:10-13:05,"CDR ISS2, CDR",HANDOVER ISS PROCEDURES ???  + R/G,,,,,,,,
12:20-13:20,FE-1 ISS2,PREP MPLM FOR CARGO TRANSFER,,,,,,,,
12:20-13:05,FE-1,PREP MPLM FOR CARGO TRANSFER,,,,,,,,
12:55-14:25,FE-2 ISS2,EXERCISE,,,,,,,,
13:05-15:05,"CDR ISS2, FE-1","REPROGRAMMING LAPTOP 2 per R/G1631,1632CONFERENCE WITH EXPERTS (GRND SITE, S-Band)",,,,,,,,
13:10-15:55,CDR,TRANSFER OF RESUPPLY EQUIPMENT,,,,,,,,
13:20-13:35,FE-1 ISS2,H20 INIT 3,,,,,,,,
13:35-14:35,FE-1 ISS2,EXERCISE,,,,,,,,
14:25-16:05,FE-2 ISS2,TRANSFER OF RESUPPLY EQUIPMENT,,,,,,,,
14:35-14:50,FE-1 ISS2,H20 TERM,,,,,,,,
14:50-16:05,"FE-1 ISS2, Pilot",HANDOVER ISS PROCEDURES ? ? ? + R/G,,,,,,,,
15:05-16:05,"CDR ISS2, FE-1","REPROGRAMMING CENTRAL POST COMPUTER  2 (?? ?  2)CONFERENCE WITH EXPERTS (GRND SITE, S-Band)SM ONBRD COMPUTER SYSTEM PROCEDURES (???  ?? ) para.3.6pg.3-58+R/G1632",,,,,,,,
15:55-16:15,CDR,PREP PHOTO & TV EQUIPMENT,,,,,,,,
16:05-17:25,"FE-1 ISS2, FE-2ISS2, Pilot",TRANSFER EXPRESS RACK 4,,,,,,,,
16:05-17:25,FE-1,TRANSFER OF RESUPPLY EQUIPMENT,,,,,,,,
Time,Crew,Activity / Reference to procedure and r/g,,,,,,,,
05:30 - 05:40,"CDR, PILOT",Morning inspection of the station,,,,,,,,
,,Record undocking on video monitor (?? ) LIV from Soyuz (+?),,,,,,,,
05:30 - 06:15,FE-1,,,,,,,,,
,,SM/ R/G,,,,,,,,
05:40 - 06:15,"CDR, PILOT",Observe Progress undocking,,,,,,,,
06:15 - 06:40,.,Post-sleep,,,,,,,,
06:40 - 07:30,.,BREAKFAST,,,,,,,,
07:30 - 08:00,.,PREP FOR ACTIVITIES,,,,,,,,
08:00 - 08:15,.,Daily planning conference,,,,,,,,
,,TV subsystem (???  ) diagram assembly for video broadcast,,,,,,,,
08:20 - 10:20,"CDR, FE-1",,,,,,,,,
,,from Progress via Ku-band,,,,,,,,
,,Replacement of water conditioning unit water purification,,,,,,,,
08:20 - 09:50,PILOT,columns (?? ???) of condensate water processor (? ? ? ?-2? ) /,,,,,,,,
,,R/G,,,,,,,,
09:50 - 10:50,PILOT,Replacement of gas –liquid filter (? ?? ) of ????-2?  / /G?,,,,,,,,
10:20 - 10:50,CDR,Test of TV signal transmission from Progress via Ku-band / R/G,,,,,,,,
10:20 - 11:50,FE-1,TVIS+IRED exercise-3,,,,,,,,
10:50 - 12:20,CDR,RED exercise,,,,,,,,
,,Assembly of filter-reactor for ????-2?  /1SM IVA IFM,,,,,,,,
10:50 - 11:20,PILOT,,,,,,,,,
,,"Procedures.Resupply pg.15-1, para.15.1 +R/G?",,,,,,,,
11:20 - 12:20,PILOT,Cycle ergometer exercise-3,,,,,,,,
11:50 - 12:20,FE-1,Daily US payload status check,,,,,,,,
12:20 - 13:20,"PILOT, FE-1",Lunch,,,,,,,,
12:20 - 13:15,CDR,Lunch,,,,,,,,
13:20 - 13:45,"PILOT,FE-1",?? ?? Training/ R/G,,,,,,,,
13:15 - 13:45,CDR,CMS-TVIS CARD-FORMAT,,,,,,,,
,,Downlink congratulations for RSC-Energia 55-th anniversary/,,,,,,,,
13:45 - 14:00,,,,,,,,,,
,,R/G,,,,,,,,
14:00 - 14:15,CDR,BSTC – GSM activation,,,,,,,,
14:00 - 15:20,"PILOT,FE-1",?? ?? Training/ R/G,,,,,,,,
14:15 - 14:45,CDR,BSTC - activation,,,,,,,,
14:45 - 16:45,CDR,BSTC – start experiment,,,,,,,,
,,Replace ? ? 1-4 dust filter cassettes in SM / SM ? ? ??,,,,,,,,
15:20 - 16:20,PILOT,,,,,,,,,
,,"Procedures /para.4.5.1, pp.4-8",,,,,,,,
15:20 - 17:20,FE-1,???  set replacement/r/g,,,,,,,,
16:20 - 17:00,PILOT,? ? ?  maintenance on MCC Go,,,,,,,,
16:45 - 16:50,CDR,BSTC - purge,,,,,,,,
16:55 - 17:15,CDR,Sorbent air sampler (SSAS) ops,,,,,,,,
17:00 - 18:30,PILOT,TVIS+IRED exercise-3,,,,,,,,
Time,Crew member,Activity  /reference to ODF and r/g,,,,,,,,
09:40 - 09:50,ISS3,Station inspection,,,,,,,,
09:50 - 10:05,CDR,Post sleep,,,,,,,,
09:50 - 10:20,"FE-1, PLT",,,,,,,,,
10:05 - 10:10,CDR,4?  comm config check,,,,,,,,
10:10 - 10:20,CDR,Post sleep,,,,,,,,
10:20 - 11:10,ISS3,Breakfast,,,,,,,,
11:10 - 11:40,ISS3,Work prep,,,,,,,,
11:40 - 11:55,ISS3,DPC,,,,,,,,
11:55 - 12:15,CDR,American PL daily status check,,,,,,,,
11:55 - 12:30,"PLT, FE-1",Transfers of returnable items,,,,,,,,
12:15 - 13:35,CDR,Transfers of returnable items,,,,,,,,
12:36 - 12:55,FE-1,"TV info downlink/ ODF ??? ? ?  ?.3.4. pp. 3-5, 3-6",,,,,,,,
12:55 - 13.10,FE-1,"? 1 cartridge regeneration?? ?  (end) /? ? ??  ? ?  ?.7.3 pp.7-4, 7-5 steps 2,3",,,,,,,,
13.00-13.15,PLT,H-Reflex set up,,,,,,,,
13.10-13.20,FE-1,HISD set up,,,,,,,,
13.15-13.25,PLT,H-Reflex computer set up/activation,,,,,,,,
13.25-14.00,PLT,H-Reflex Subject,,,,,,,,
13.25-14.35,FE-1,H-Reflex HISD Photo,,,,,,,,
13.35-13.55,CDR,H-Reflex Operator,,,,,,,,
14.00-14.35,CDR,H-Reflex Subject,,,,,,,,
14.10-14.30,PLT,H-Reflex Operator,,,,,,,,
14.35-15.00,PLT,H-Reflex  Photo,,,,,,,,
14.45-15.05,CDR,H-Reflex Operator,,,,,,,,
14.35-15.10,FE-1,H-Reflex Subject,,,,,,,,
15.10-15.20,FE-1,H-Reflex Stow,,,,,,,,
15:05 - 15:40,CDR,Transfers of returnable items,,,,,,,,
15:20 - 15:35,FE-1,? 2 ?? ?  cartridge regeneration (start)/? ? ??  ? ?  ?.7.3 pp.7-3 step 1,,,,,,,,
15:42 - 15:57,ISS3,PMC,,,,,,,,
15:57 - 17:10,IIS3,Transfers,,,,,,,,
16:10 - 17:10,"FE-1, PLT",Transfers,,,,,,,,
Time,Crew Activity/Reference to the procedure or r/g,,,,,,,,,
07:30 - 07:40,. Morning inspection of the station,,,,,,,,,
07:40 - 08:10,. Post sleep,,,,,,,,,
08:10 - 09:00,. Meal (Breakfast),,,,,,,,,
09:00 - 09:15,. Daily Planning Conference,,,,,,,,,
09:15 - 09:45,"FE-1, FE-2 Work Set-Up",,,,,,,,,
09:15 - 09:40,CDR Work Set-Up,,,,,,,,,
,"Environmental Monitoring / ? ?  Book.2, para. 4.1.2.2,4.1.2.3, pp.",,,,,,,,,
09:40 - 10:30,CDR,,,,,,,,,
,4-4 to 4-6,,,,,,,,,
09:45 - 10:30,FE-2 7? .1 Return Cargo Packing,,,,,,,,,
09:45 - 11:45,FE-1 7? .1 Return Cargo Packing,,,,,,,,,
,Connect Regul Packet Radiogram System to Regul String,,,,,,,,,
10:30 - 11:30,CDR,,,,,,,,,
,2/R/G1646,,,,,,,,,
10:30 - 11:30,FE-2 TVIS Exercise,,,,,,,,,
11:30 - 13:00,CDR TVIS + RED Exercise Using Day 2 Protocol,,,,,,,,,
11:30 – 12:45,FE-2 7? .1 Return Cargo Packing,,,,,,,,,
11:45 – 12:15,FE-1 Start of TORSO Sensor Data download to HRF ??,,,,,,,,,
12:15 – 12:35,FE-1 BONNER BALL Maintenance,,,,,,,,,
12:35-12:45,FE-1 Preparation for a PAO event,,,,,,,,,
12:45-13:45,FE-1 CBCS axial camera installation,,,,,,,,,
12:45 – 14:15,FE-1 TVIS+RED Exercise,,,,,,,,,
13:25 – 13:40,CDR Private Medical Conference,,,,,,,,,
14:05-14:15,"CDR, FE-2 Preparation for a PAO event",,,,,,,,,
14:15 - 14:45,. PAO Event,,,,,,,,,
14:45 - 15:45,. Lunch,,,,,,,,,
15:45 - 16:15,. 7? .1 Conference,,,,,,,,,
16:15 - 16:30,FE-2 LAB Payload Status Check,,,,,,,,,
16:15 - 17:35,CDR Transit-B Antenna Feeder Installation/R/G1654,,,,,,,,,
16:15 - 17:15,FE-1 Transit-B Antenna Feeder Installation/R/G1654,,,,,,,,,
16:55 - 17:15,FE-2 Delta File Downlink Prep,,,,,,,,,
17:15 - 18:15,FE-1 TVIS Exercise,,,,,,,,,
17:15 - 18:45,FE-2 TVIS+RED Exercise,,,,,,,,,
,Unit 800?  No. 7 Visual Inspection/? /?  ? ? ?  ? ??? ?  pp.5-14,,,,,,,,,
17:35 - 18:55,CDR,,,,,,,,,
,para.5.6 + r/g 1657,,,,,,,,,
06:00-06:10,.,Morning inspection,,,,,,,,
06:10-06:40,.,Post sleep,,,,,,,,
06:40-07:30,.,Breakfast,,,,,,,,
07:30-08:00,.,WORK PREP,,,,,,,,
08:00-08:15,.,Daily planning conference,,,,,,,,
08:15-09:15,PILOT,Unload Progress using inventory management system / ODF ??? ??? + r/g 1757,,,,,,,,
08:15-08:25,FE-1,BSTC – prepare photodoc. 2,,,,,,,,
08:25-09:25,CDR,BSTC – analyze samples,,,,,,,,
08:25-08:40,FE-1,BSTC-HISD-P02-3-? ?,,,,,,,,
08:40-09:15,FE-1,Unload Progress using inventory management system / ODF ??? ??? + r/g 1757,,,,,,,,
09:15-10:30,"FE-1, PILOT","HDTV. HDTV system installation and test checks /ODF ??? items.1.3.1-1.3.3, pp.1-51 to 1-79 + r/g 1755",,,,,,,,
09:30-10:00,CDR,Daily status check for U.S. payloads (? ? ),,,,,,,,
10:00-10:10,CDR,BSTC – replace the nutrient medium,,,,,,,,
10:20-11:50,CDR,Physical exercise,,,,,,,,
10:30-12:00,FE-1,Physical exercise (TVIS+IRED – 1),,,,,,,,
10:30-11:30,PILOT,Replace ODF / r/g 1747,,,,,,,,
11:30-12:30,PILOT,Physical exercise (cycle ergometer – 1),,,,,,,,
11:50-12:45,CDR,BSTC – replace nutrient medium,,,,,,,,
12:00-12:30,FE-1,Transfer 7? .1 cargo,,,,,,,,
12:30-13:30,"FE-1, PILOT",LUNCH,,,,,,,,
12:45-13:45,CDR,LUNCH,,,,,,,,
13:30-13:40,"PILOT, FE-1",Telephone discussions with HDTV specialists,,,,,,,,
13:40-16:15,"PILOT, FE-1","HDTV. HDTV system installation and test checks /ODF ??? items.1.3.1-1.3.3, pp.1-51 to 1-79 + r/g 1755",,,,,,,,
13:45-14:15,CDR,Transfer 7? .1 cargo,,,,,,,,
14:15-15:35,CDR,BSTC – preserve cell cultures,,,,,,,,
15:35-15:40,CDR,BSTC - purge,,,,,,,,
15:40-16:40,CDR,Physical exercise,,,,,,,,
16:15-16:50,PILOT,"GCF. Transfer and stow equipment in SM /ODF ???, item 3 para.3.1 step 1-2, pp.3-1 to 3-3+r/g 1754",,,,,,,,
16:15-17:15,FE-1,Physical exercise (CYCLE ERGOMETER – 1),,,,,,,,
16:50-18:20,PILOT,Physical exercise (TVIS+IRED – 1),,,,,,,,
16:40-17:20,CDR,? ? ?  maintenance,,,,,,,,
17:15-17:35,FE-1,Prepare delta file for downlink per r/g 1758,,,,,,,,
17:20-18:45,CDR,Transfer 7?.1 cargo,,,,,,,,
17:35-18:20,FE-1,Transfer 7?.1 cargo,,,,,,,,
18:20-18:45,"FE-1, PILOT",REPORT PREP.,,,,,,,,
18:45-19:05,.,REVIEW PLAN,,,,,,,,
19:05-19:15,.,Daily planning conference,,,,,,,,
19:15-19:30,.,Daily planning conference,,,,,,,,
19:30-20:00,.,DINNER,,,,,,,,
20:00-20:30,.,DAILY FOOD RATION PREP.,,,,,,,,
20:30-21:05,.,PRE-SLEEP,,,,,,,,
21:05-21:13,.,Discussion with ? ? ?  ? ?,,,,,,,,
Time,Crew,Activity/Reference to the procedure or r/g,,,,,,,,
07:30 - 07:40,.,Morning inspection of the station,,,,,,,,
07:40 - 08:10,.,Post sleep,,,,,,,,
08:10 - 09:00,.,Meal (Breakfast),,,,,,,,
09:00 - 09:15,FE1,ARIS Rack 2 – guide installation,,,,,,,,
,,"Weekly cleanup of the station per ? ed Ops procedure, vol.1,",,,,,,,,
09:15 - 11:15,.,,,,,,,,,
,,"par.2.2.1, page 2-2",,,,,,,,
11:15 - 11:55,CDR,? ? ?  Maintenance,,,,,,,,
11:55 - 12:55,CDR,"TVIS Exercise, day 2 cycle",,,,,,,,
13:00 - 13:15,CDR,Private Psychological Conference,,,,,,,,
13:30 - 14:30,.,Meal (Lunch),,,,,,,,
14:30 - 14:45,FE 2,LAB Payload status check,,,,,,,,
15:15 - 16:00,.,Conference with 7? .1 crew,,,,,,,,
16:00 - 17:00,FE 2,TVIS Exercise,,,,,,,,
17:00 - 18:00,FE 1,TVIS Exercise,,,,,,,,
18:00 - 19:30,CDR,"TVIS+IRED Exercise, day 2 cycle",,,,,,,,
21:00 - 21:30,.,Meal (Dinner),,,,,,,,
21:30 - 22:00,.,Daily food ration prep,,,,,,,,
22:00 - 23:00,.,Pre-sleep,,,,,,,,
23:00 - 07:30,.,Sleep,,,,,,,,
Time,Crew,Activity/Reference to the procedure or r/g,,,,,,,,
07:30 - 07:40,.,Morning inspection of the station,,,,,,,,
07:40 - 08:10,.,Post sleep,,,,,,,,
08:10 - 09:00,.,Meal (Breakfast),,,,,,,,
09:00 - 09:10,CDR,? ? ? ? -1 Inspection,,,,,,,,
09:10 - 09:50,CDR,? ? ?  Maintenance,,,,,,,,
09:50 - 10:00,CDR,"Camcorder Battery Charging/? ??  ? ? / p. 3-2, para. 3.2",,,,,,,,
10:30 - 10:35,CDR,Usage Counter Data Downlink,,,,,,,,
10:35 - 10:40,CDR,? ? ?  Data Downlink,,,,,,,,
12:05 - 12:20,CDR,Conference with Kim Chong Il,,,,,,,,
12:30 - 12:45,FE-1,LAB P/L Status Check,,,,,,,,
,CDR,"CHIBIS Suit Training/? /?  ? ? ?  ? O, Book 2, para. 2.3 pp. 12-13 –",,,,,,,,
13:10 - 14:10,FE-1,"12-20,",,,,,,,,
,(assist),T0 = 13:39,,,,,,,,
15:10 - 15:25,CDR,Private Family Conference (TV session),,,,,,,,
15:30 - 16:30,,Meal (Lunch),,,,,,,,
,,TV Session. An Address to Commemorate G. Titov’s Flight as per,,,,,,,,
16:45 - 17:05,.,,,,,,,,,
,,r/g 1643,,,,,,,,
17:45 - 18:00,FE-2,Private Psychological Conference,,,,,,,,
18:00 - 18:15,FE 1,Private Psychological Conference,,,,,,,,
19:30 - 19:45,FE-2,Private Family Conference,,,,,,,,
