0,1,2,3,4,5,6,7,8
14:00-15:00,LUNCH,,,,,,,
15:00-15:35,FE-2,EHS Water Sample Analysis T + 2 Days,,,,,,
15:00-15:40,CDR,СОЖ MaintenanceReplacement of manual pressure gauge [МВ],,,,,,
15:00-15:05,FE-1,BCAT-4 Camera checkout,,,,,,
15:05-15:20,Potable Water Dispenser (PWD); Iodinated Ambient Flush,,,,,,,
15:20-15:30,FCF: Alignment Guide Installation,,,,,,,
15:30-16:30,Physical Exercise (TVIS),,,,,,,
GMT,,CREW,,ACTIVITY,,,,
06:00-06:10,,"CDR,FE-1",,Morning Inspection,,,,
06:00-06:05,,FE-2,,Supplement Regimen,,,,
06:05-06:10,,FE-2,,Morning Inspection,,,,
06:10-06:40,,.,,Post-sleep,,,,
06:40-07:30,,.,,BREAKFAST,,,,
07:30-07:40,,CDR,,Installation of battery in RSS1 Laptop,,,,
07:30-07:50,,"FE-1,FE-2",,Prep for Work,,,,
07:40-07:50,,CDR,,Prep for Work,,,,
07:50-08:05,,.,,Daily Planning Conference (S-band),,,,
08:05-08:15,,"CDR,FE-2",,Prep for Work,,,,
08:05-08:50,,FE-1,,SLEEP - Actiwatch Data Download,,,,
08:15-08:30,,FE-2,,Setting up video equipment to record TVIS exercise,,,,
08:15-08:45,,CDR,,On MCC Go Replace ROM [ПЗУ-Б] in БИТС2-12 ПЦБ [Central ProcessorSubsystem ] Primary String. Tagup with specialists as necessary (S-band)/,,,,
08:30-10:00,,FE-2,,JEM Cleanup,,,,
08:45-09:10,,CDR,,PHASE. Setting up and executing photo session 1. Tagup with specialists (S-band),,,,
09:00-10:00,,FE-1,,Physical Exercise (TVIS),,,,
09:10-09:15,,CDR,,ГФИ-1 [Geophysical Studies]. Start SONY DCR-TRV900E Battery Charge,,,,
09:15-09:55,,CDR,,Familiarization with computer network. Tagup with specialists (S-band),,,,
09:55-11:25,,CDR,,"Physical Exercise (TVIS), day 1",,,,
10:00-10:40,,FE-2,,US waste pre-pack for disposal in Progress,,,,
10:00-10:10,,FE-1,,PCS Laptop Activation for COLUMBUS Refrigerator,,,,
10:10-10:30,,FE-1,,SLEEP. Hardware initialization (2),,,,
10:40-12:10,,FE-2,,Physical Exercise (ARED),,,,
11:05-11:30,,FE-1,,Install 3D Space Experiment Hardware,,,,
11:25-11:30,,CDR,,PHASE. Photography Session,,,,
11:30-12:10,,CDR,,"Filling EDV (KOV) for Elektron. Fill up installed KOV from CWC #1043, CWC#1065",,,,
11:30-12:00,,FE-1,,3D Space. Experiment Ops,,,,
12:00-12:15,,FE-1,,3D Space  - Equipment Stowage After Experiment Run,,,,
12:10-12:50,,CDR,,СОЖ Maintenance,,,,
12:10-12:20,,FE-2,,TOCA Water Sample Analysis,,,,
12:15-12:25,,FE-1,,Potable Water Dispenser (PWD) - Daily Ambient Flush,,,,
12:20-12:30,,FE-2,,PAO Hardware Setup,,,,
12:30-12:40,,"FE-1,FE-2",,Crew Prep for PAO,,,,
12:40-13:00,,"FE-1,FE-2",,PAO Event (Ku+S-band),,,,
12:50-12:55,,CDR,,PHASE. Photography Session,,,,
12:55-13:00,,CDR,,On MCC Go ISS O2 repress from Progress 356 СрПК (start),,,,
13:00-14:00,,.,,LUNCH,,,,
14:00-14:05,,CDR,,ISS O2 Repress from Progress 366 СрПК (terminate),,,,
14:00-14:05,,FE-1,,BCAT-4 Camera Checkout,,,,
GMT,CREW,ACTIVITY,,,,,,
06:00-06:05,FE-1,SLEEP FE2 Data Log,,,,,,
06:00-06:10,"CDR, FE-2",Morning Inspection,,,,,,
06:05-06:15,FE-1,Acoustic Dosimeters Post-Sleep Data Recording,,,,,,
06:10-06:25,CDR,Biochemical Urine Test,,,,,,
06:10-06:25,FE-2,Post-sleep,,,,,,
06:15-06:35,FE-1,Acoustic Dosimeters Hardware Setup for Static Measurements,,,,,,
06:25-06:55,CDR,Post-sleep,,,,,,
06:25-06:40,FE-2,Biochemical Urine Test,,,,,,
06:40-06:55,FE-1,,,,,,,
06:40-06:55,FE-2,Post-sleep,,,,,,
06:55-07:45,"CDR, FE-2",BREAKFAST,,,,,,
06:55-07:20,FE-1,Post-sleep,,,,,,
07:20-07:35,Crew Discretionary Conference (S-band),,,,,,,
07:35-08:15,BREAKFAST,,,,,,,
07:45-08:15,"CDR, FE-2",Prep for Work,,,,,,
08:15-08:30,,Daily Planning Conference (S-band),,,,,,
08:30-08:55,FE-2,JEMRMS RLT(A31P) Troubleshooting,,,,,,
08:30-09:00,FE-1,Prep for Work,,,,,,
08:30-10:20,CDR,TYPOLOGY. CDR experiment ops Tagup with specialists (S-band),,,,,,
08:55-09:40,FE-2,SLT2 Laptop Checkout and HDD Replacement,,,,,,
09:00-09:10,FE-1,ARED Setting Display Password,,,,,,
09:10-10:40,Physical Exercise (ARED),,,,,,,
09:40-10:40,FE-2,Physical Exercise (TVIS),,,,,,
10:20-10:50,CDR,Orlan #25 Stowage Configuration,,,,,,
10:40-12:10,FE-1,Audit/Consolidation of Water Kits 0.5 CTB 1091 and 0.5 CTB 1324,,,,,,
10:40-12:10,FE-2,Physical Exercise (ARED),,,,,,
10:50-11:00,CDR,Set up the first Orlan battery pack 825М3 for discharge and start dischargingthe first pack,,,,,,
11:00-11:10,CDR,СТТС comm system switchover to the primary string,,,,,,
11:10-12:40,CDR,"Physical Exercise (TVIS), day 1",,,,,,
12:10-13:40,FE-2,US waste pre-pack for disposal in Progress 32,,,,,,
12:15-13:20,FE-1,US EVA Tool Stowage Ops,,,,,,
12:40-13:20,CDR,СОЖ Maintenance,,,,,,
13:20-13:30,FE-1,Opening LAB window shutters,,,,,,
13:20-14:20,CDR,LUNCH,,,,,,
13:40-14:40,"FE-1, FE-2",,,,,,,
14:40-14:50,FE-2,TOCA Water Sample Analysis,,,,,,
14:50-16:20,"FE-1, FE-2",US EVA Tool Stowage Ops,,,,,,
15:00-15:50,CDR,БИТС 2-12 ПЦБ [Central Processor Subsystem ] Voltage Measurements.Tagup with specialists (S-band),,,,,,
GMT,CREW,ACTIVITY,,,,,,
06:00-06:10,CDR,SONOCARD. Experiment Run Termination,,,,,,
06:00-06:10,FE-1,Morning Inspection,,,,,,
06:00-06:05,FE-2,SLEEP: FE2 Data Log,,,,,,
06:05-06:15,FE-2,Morning Inspection,,,,,,
06:10-06:20,CDR,,,,,,,
06:10-06:40,FE-1,Post-sleep,,,,,,
06:15-06:45,FE-2,,,,,,,
06:20-06:50,CDR,Post-sleep,,,,,,
06:40-07:30,FE-1,BREAKFAST,,,,,,
06:45-07:35,FE-2,,,,,,,
06:50-07:40,CDR,,,,,,,
07:30-08:00,FE-1,Prep for Work,,,,,,
07:35-08:00,FE-2,,,,,,,
07:40-08:00,CDR,Prep for Work,,,,,,
08:00-08:15,,Daily Planning Conference (S-band),,,,,,
08:15-08:30,,Crew conference with Astronaut Office (S-band),,,,,,
08:30-10:00,FE-2,Physical Exercise (ARED),,,,,,
08:30-08:45,CDR,SONOCARD. Copy data to RSE-MED Laptop,,,,,,
08:35-10:55,FE-1,Cleaning ventilation screens on FGB interior panels,,,,,,
08:45-09:05,CDR,Vozdukh activation in manual mode 5. (Switch Atmosphere PurificationSystem [СОА] Cycle to 10 min.),,,,,,
09:05-11:05,"PLANTS-2.Hardware Installation, Root Module Replacement, Software Load,Test. Tagup with specialists (S-band)",,,,,,,
10:00-11:00,FE-2,Physical Exercise (TVIS),,,,,,
10:55-11:55,FE-1,Crew time for ISS adaptation and orientation,,,,,,
11:00-11:15,FE-2,JPM ATCS: gas trap reconfig (steps 1-4),,,,,,
11:05-11:25,CDR,IMS Update,,,,,,
11:15-11:25,FE-2,Potable Water Dispenser (PWD) - Daily Ambient Flush,,,,,,
11:25-12:55,CDR,"Physical Exercise (TVIS), day 1",,,,,,
11:25-11:40,FE-2,Verification of Node 1 and 2 fire port access and manual overrides,,,,,,
11:40-12:25,"Water Recovery System, filling a CWC-I from PWD Aux Port",,,,,,,
11:55-12:40,FE-1,CCISS. Data Download and Equipment Stowage,,,,,,
12:25-12:35,FE-2,PAO Hardware Setup,,,,,,
12:35-12:50,JPM ATCS: gas trap reconfig (step 5),,,,,,,
12:50-12:55,FE-1,BCAT-4: camera checkout,,,,,,
12:55-13:55,,LUNCH,,,,,,
13:55-14:05,,Crew Prep for PAO,,,,,,
14:05-14:25,,PAO Event (Ku + S-band),,,,,,
14:25-16:05,FE-1,AgCam Setup and Activation,,,,,,
,GMT,,CREW,,ACTIVITY,,,
,06:00-06:10,,,,Morning Inspection,,,
,06:10-06:40,,,Post-sleep,,,,
,06:40-07:30,,,BREAKFAST,,,,
,08:00-08:40,,"FE-2, E19",,"ISS-MCC TV Greetings to the Faculty and Staff of SibGAU on theCosmonautics Day; Greetings to Participants of the 15th International ArtCompetition for Children and Youth “Space and I”; Greetings to theFinalists of the Contest “The Best Municipal Cultural OrganizationManager for 2009” (То=08:02, Т1,Т2,Т3-from СПП)",,,
,08:45-09:25,,FE-2,,"JAXA: Commercial activity 3, set up",,,
,09:00-10:00,,FE-1,,"Physical Exercise (TVIS), day 4",,,
,09:25-10:55,,FE-2,,Physical Exercise (ARED),,,
,09:40-10:15,,CDR-19,,"ISS-MCC TV Downlink video “Life on the ISS” (То=09:38, Т1,Т2, Т3activation from СПП)",,,
,10:20-10:30,,FE-1-19,,Terminate EMU Metox Regeneration,,,
,10:40-11:40,,"CDR, FE-1",,СУД Test 2. РУО (Rotational Hand Controller) Test in all axes. Tagupwith specialists (VHF2),,,
,11:40-12:20,,FE-1-19,,Environmental Health System (EHS): water sample analysis T+2,,,
,12:00-13:00,,CDR,,Physical Exercise (TVIS),,,
,12:50-13:00,,FE-2,,MELFI: ICEPAC Insertion into container module,,,
,13:00-13:10,,,VC SFP,,,Tagup with Consultant Team via VHF1,
,13:05-14:05,,"CDR, FE-1, FE-2, E19",,LUNCH,,,
,,,,,,,,
,13:10-14:10,,,VC SFP,,,LUNCH,
,14:05-14:45,,CDR-19,,СОЖ maintenance,,,
,,,,,,,,
,14:05-14:40,,FE-2,,JAXA. Hardware setup for video sessions,,,
,14:10-14:40,,,VC SFP,,,E-MAIL ops,
,14:45-15:00,,CDR-19,,Verify ИП-1 Flow Meter Configuration,,,
,,,,,,,,
,15:00-15:20,,CDR-19,,IMS Update,,,
,15:05-15:20,,FE-2,,JAXA. Session 1,,,
,15:20-15:35,,"CDR, FE-2",,JAXA. Session 2,,,
,15:20-16:20,,FE-1,,"Physical Exercise (TVIS), day 4",,,
,15:35-15:45,,FE-2,,JAXA. Session 3,,,
,15:45-16:00,,,VC SFP,,,VC16 HAM Radio Session (backup),
,15:45-16:00,,FE-2,,JAXA. Session 1 Closeout,,,
,,,,,,,,
,16:00-16:20,,FE-2,,JAXA. Session 2 Closeout,,,
,16:10-17:10,,CDR-19,,Physical Exercise (CEVIS),,,
,16:20-17:20,,CDR,,Physical Exercise (ARED),,,
,16:20-16:30,,FE-1,,Activation of Sony HVR-Z1J camcorder,,,
,16:30-16:55,,FE-1,,BIO4. Installation of PLC and GVG biocontainers into KUBIK 3,,,
GMT,,CREW,,ACTIVITY,,,,
06:00-06:10,,"CDR, FE-2",,Morning Inspection,,,,
06:00-06:05,,FE-1,,SLEEP FE2 Data Log,,,,
06:05-06:10,,FE-1,,Morning Inspection,,,,
06:10-06:40,,,,Post-sleep,,,,
06:40-07:30,,,BREAKFAST,,,,,
07:30-07:45,,,Prep for Work,,,,,
07:45-08:00,,,Daily Planning Conference (S-band),,,,,
08:00-08:15,,FE-1,,Contingency Water Container (CWC) Re-label,,,,
08:00-09:00,,FE-2,,Physical Exercise (TVIS),,,,
08:00-09:20,,CDR,,Stowing Disposal Hardware In Progress 366 (with IMS support),,,,
08:15-08:30,,FE-1,,Photography of JPM racks,,,,
08:40-08:55,,,SPICE procedure review,,,,,
08:55-09:10,,,SPICE Experiment Tagup (S-band),,,,,
09:00-10:30,,FE-2,,Physical Exercise (ARED),,,,
09:10-09:20,,FE-1,,Glove Box (MSG) Activation,,,,
09:20-09:50,,FE-1,,SPICE Setting New Parameters,,,,
09:20-10:50,,CDR,,"Physical Exercise (TVIS), day 2",,,,
09:50-10:50,,FE-1,,SPICE Test Operations,,,,
10:30-10:50,,FE-2,,PAO Hardware Setup,,,,
10:50-11:00,,,,Crew Prep for PAO,,,,
11:00-11:20,,,"JAXA EPO from Okinawa, Japan (Ku + S-band)",,,,,
11:20-11:25,,FE-2,,PAO Hardware Deactivation,,,,
11:20-11:30,,CDR,,Terminate 1st Orlan Battery Pack 825М3 discharge (#1267990193 B/C00045761R)and remove battery pack 1 from discharge,,,,
11:20-12:50,,FE-1,,Stowage of Discardedl Hardware In Progress 366 (with IMS support),,,,
11:25-12:20,,FE-2,,US EVA Tool Stowage Ops,,,,
11:30-13:00,,CDR,,Stowage of Discarded Hardware In Progress 366 (with IMS support),,,,
12:20-12:30,,FE-2,,"Moon Photography, Setup",,,,
12:30-12:45,,,Moon photography,,,,,
12:45-13:00,,,Moon Photography Closeout Ops,,,,,
13:00-14:00,,,,LUNCH,,,,
14:00-14:40,,CDR,,"Filling EDV [KOB] for Elektron from CWC #1043, #1065",,,,
14:00-15:30,,FE-2,,Microbial Air Sampler (MAS) Kit Sample Collection,,,,
14:00-14:10,,FE-1,,SPICE videotape exchange,,,,
14:10-14:20,,,SPICE Microdrive Exchange,,,,,
14:20-14:25,,,Glove Box (MSG) Power Down,,,,,
14:25-14:40,,,Payload Status Check,,,,,
14:40-14:50,,,Potable Water Dispenser (PWD) Daily Ambient Flush,,,,,
14:40-15:20,,CDR,,СОЖ MaintenanceИП-1 position verification,,,,
GMT,,CREW,,ACTIVITY,,,,
06:00-06:10,,"CDR,FE-1",,Morning Inspection,,,,
06:00-06:05,,FE-2,,SLEEP FE2 Data Log,,,,
06:05-06:10,,FE-2,,Morning Inspection,,,,
06:10-06:40,,.,,Post-sleep,,,,
06:40-07:30,,"CDR,FE-2",,BREAKFAST,,,,
06:40-06:55,,FE-1,,,,,,
06:55-07:10,,FE-1,,Crew Discretionary Conference (S-band),,,,
07:10-07:30,,FE-1,,BREAKFAST,,,,
07:30-07:35,,FE-2,,HAM Radio Setup,,,,
07:30-07:40,,FE-1,,Prep for Work,,,,
07:30-07:45,,CDR,,,,,,
07:35-07:45,,FE-2,,HAM Radio Session,,,,
07:40-07:45,,FE-1,,BCAT-4 Camera Checkout,,,,
07:45-08:00,,.,,Daily Planning Conference (S-band),,,,
08:00-08:15,,.,,ISS Crew and ГОГУ (RSA Flight Control Team) Weekly Conference (S-band),,,,
08:15-11:15,,"CDR,FE-1",,СТТС Routine Ops (LF link and VHF receiver health check). Tagup withspecialists (S-band +VHF),,,,
08:15-08:25,,FE-2,,Prep for Work,,,,
08:25-08:30,,FE-2,,Express5 Rack Power Up,,,,
08:30-08:45,,FE-2,,ARED: Flywheel Cylinder Removal,,,,
08:45-10:15,,FE-2,,Physical Exercise (ARED),,,,
10:15-11:15,,FE-2,,Physical Exercise (TVIS),,,,
11:15-12:15,,FE-1,,Physical Exercise (TVIS),,,,
11:15-11:25,,CDR,,СТТС comm assets switchover to a backup string,,,,
11:15-11:20,,FE-2,,TVIS Weekly Maintenance,,,,
11:20-12:50,,FE-2,,TVIS IFM Procedure Printout,,,,
11:25-11:40,,CDR,,IMS Tagup (S-band),,,,
11:40-12:00,,CDR,,MATRYOSHKA-R. Monitoring Lulin-5 readings,,,,
12:00-12:10,,CDR,,Restoring RS1 Laptop Nominal Load (start). Tagup with specialists (S-band),,,,
12:10-13:10,,CDR,,Physical Exercise (VELO) day 2,,,,
12:15-13:15,,FE-1,,Crew time for ISS adaptation and orientation,,,,
12:50-13:05,,FE-2,,Food Frequency Questionnaire,,,,
13:05-13:15,,FE-2,,Potable Water Dispenser (PWD) - Daily Ambient Flush,,,,
13:10-13:20,,CDR,,Restoring RS1 Laptop Nominal Load (terminate). Tagup with specialists (S-band),,,,
13:15-13:20,,FE-1,,Opening LAB window shutters,,,,
13:15-13:20,,FE-2,,Connect DCP power cable,,,,
13:20-13:40,,.,,Weekly crew conference with the ISS Program Management (S-band),,,,
13:40-14:40,,.,,LUNCH,,,,
14:40-16:10,,CDR,,Scheduled Maintenance of Elektron Liquid Unit #056,,,,
14:40-15:10,,"FE-1,FE-2",,DOUG Software Review,,,,
15:10-17:10,,"FE-1,FE-2",,SSRMS Ops,,,,
GMT,,CREW,,ACTIVITY,,,,
,,"E19, VC SFP,",,,,,,
,20:00-20:30,,,Post-sleep ops,,,,
,,,"FE-1, CDR",,,,,
,,,,,,,,
20:00-20:15,,FE-2,,Private Family Conference (Ku + S-band),,,,
20:15-20:30,,,Post-sleep ops,,,,,
,20:30-21:00,,,,Meal,,,
21:00-21:15,,"FE-1-19,CDR",,ALTEA - familiarization with PL,,,,
21:00-21:15,,CDR-19,,POLYGENE. Video of blocking fruit flies access to food,,,,
21:00-21:20,,FE-1,,"LACTOLEN, ОЧБ. Tranfer Bioecology containers #18, #19 from SM toSoyuz",,,,
21:15-21:35,,"FE-2,CDR",,Integrate Immune - Blood Sample Collection Operator,,,,
21:15-21:25,,FE-1-19,,ALTEA - video equipment set up,,,,
21:15-21:45,,CDR-19,,POLYGENE. Close-out ops and transfers to Soyuz,,,,
21:20-21:35,,FE-1,,GINSENG-2. Dismantle and transfer Bioecology container #16 to Soyuzfor return,,,,
21:35-21:55,,"FE-1-19,CDR",,Integrate Immune - Blood Sample Collection,,,,
21:35-21:55,,FE-1,,ANTIGEN. Dismantle Bioecology Container #17 and transfer from SOMto Soyuz,,,,
21:45-22:00,,CDR-19,,ARIL. Transfer BIOECOLOGY container #15 from CRYOGEM-03M toSoyuz,,,,
21:55-01:00,,FE-1,,Stow return equipment in Soyuz,,,,
21:55-22:20,,FE-1-19,,ALTEA - software load,,,,
21:55-22:05,,CDR,,Integrate Immune - Stow Blood Sample Collection Equipment,,,,
22:00-22:15,,CDR-19,,"LACTOLEN, ОЧБ. Bioecology kit transfer to Soyuz",,,,
22:15-22:30,,,CASCADE. Transfer thermostatic enclosure to Soyuz,,,,,
22:20-23:50,,FE-1-19,,ALTEA - hardware setup,,,,
22:30-22:50,,CDR-19,,ASTROVACCINE. Close-out ops and transfer to Soyuz,,,,
22:50-00:20,,,Stow discarded hardware in Soyuz,,,,,
23:00-23:15,,FE-2,,Hiten - Work area setup,,,,
23:45-00:45,,CDR,,Physical Exercise (ARED),,,,
00:10-00:20,,FE-2,,MELFI - ICEPACK Insertion Into Container Module,,,,
00:20-00:45,,FE-2,,Glacier - Software Load,,,,
00:20-01:00,,CDR-19,,СОЖ Maintenance,,,,
00:25-00:35,,FE-1-19,,ALTEA - initial activation,,,,
00:35-00:45,,,ALTEA - documentation photography,,,,,
00:45-01:45,,,Physical Exercise (CEVIS),,,,,
00:45-02:15,,FE-2,,Physical Exercise (ARED),,,,
01:00-01:40,,CDR-19,,IZGIB (BEND)-DAKON. Hardware setup and powerup. Tagup (asnecessary) with specialists (S-band),,,,
01:00-02:00,,FE-1,,"Physical Exercise (TVIS), day 2",,,,
GMT,,CREW,ACTIVITY,,,,,
06:00-06:10,,,Morning Inspection,,,,,
06:10-06:20,,,Calf Volume Measurement,,,,,
06:20-06:50,,,Post-sleep,,,,,
06:50-07:40,,,BREAKFAST,,,,,
07:40-07:55,,FE-2,Prep for Work,,,,,
07:40-07:45,,FE-1,Configure video equipment to record TVIS exercise,,,,,
07:40-07:55,,CDR,БМП Ф2 Absorption Cartridge Regeneration (start),,,,,
07:45-07:55,,FE-1,Prep for Work,,,,,
07:55-08:10,,,Daily Planning Conference (S-band),,,,,
08:10-08:15,,"FE-1, FE-2",Prep for Work,,,,,
08:10-08:40,,CDR,Prep for Work,,,,,
08:15-11:30,,"FE-1, FE-2",TVIS R&R,,,,,
08:40-09:20,,CDR,On MCC GO Elektron Activation. Monitoring Temperature of SecondaryCombustion Unit after Elektron Activation.,,,,,
09:20-09:25,,CDR,PHASE. Photography Session,,,,,
09:25-10:25,,CDR,Physical Exercise (ARED),,,,,
10:25-13:00,,CDR,"SM Ventilation System Preventive MaintenanceВТК1 R&R (Install Mfr. #9910084 b/c 00038438R, ФГБ1 ПГО_4_408_1bag 351-31 / Discard the unit you removed , update the IMS)",,,,,
11:30-11:35,,FE-1,BCAT-4: Camera Checkout,,,,,
11:30-13:00,,FE-2,Physical Exercise (ARED),,,,,
11:35-11:40,,FE-1,Payload Status Check,,,,,
12:00-13:00,,FE-1,Physical Exercise (CEVIS),,,,,
13:00-14:00,,,LUNCH,,,,,
14:00-14:05,,CDR,PHASE. Photography Session,,,,,
14:00-17:15,,"FE-1, FE-2",TVIS R&R,,,,,
14:05-15:10,,CDR,"SM Ventilation System Preventive MaintenanceВТК1 R&R (Install Mfr. #9910084 b/c 00038438R, ФГБ1 ПГО_4_408_1bag 351-31//Discard the unit you removed , update the IMS)",,,,,
15:10-15:25,,CDR,Start Charging Battery 1 for Stimul-01 [НЧ],,,,,
15:25-16:05,,CDR,СОЖ Maintenance,,,,,
16:05-16:25,,CDR,IMS Update,,,,,
16:35-17:05,,CDR,Evening Work Prep,,,,,
17:05-17:10,,CDR,PHASE. Photography Session,,,,,
17:10-18:40,,CDR,"Physical Exercise (VELO), day 1",,,,,
17:15-17:20,,FE-2,VOA power down,,,,,
17:15-18:45,,FE-1,Physical Exercise (ARED),,,,,
17:20-17:30,,FE-2,Potable Water Dispenser (PWD): Daily Ambient Flush,,,,,
GMT,CREW,ACTIVITY,,,,,,
06:00-06:10,.,Morning Inspection,,,,,,
06:10-06:40,Post-sleep,,,,,,,
06:40-07:30,BREAKFAST,,,,,,,
07:30-07:50,FE-1,Nutrition and Repository: Urine Sample Collection,,,,,,
07:45-07:55,FE-2,PAO Hardware Setup,,,,,,
07:50-07:55,FE-1,Nutrition and Repository: Insertion of Urine Sample into MELFI,,,,,,
07:55-08:15,.,ISS Crew TV-conference with ROSKOSMOS management (Ku+S-band),,,,,,
08:15-09:45,CDR,"Physical Exercise (TVIS), day 1",,,,,,
08:15-09:45,FE-2,Physical Exercise (ARED),,,,,,
09:45-10:45,Physical Exercise (TVIS),,,,,,,
09:50-10:05,CDR,Private Family Conference (Ku+S-band),,,,,,
11:15-11:35,.,"TV Conference with RSC Energia, IBMP, GCTC Managements (Ku +S-band)",,,,,,
11:35-11:55,FE-1,Nutrition and Repository: Urine Sample Collection,,,,,,
11:55-12:00,Nutrition and Repository: Insertion of Urine Sample into MELFI,,,,,,,
12:00-12:20,Nutrition and Repository: Stow Urine Sampling Hardware,,,,,,,
12:20-12:25,FE-1,BCAT-4 Camera Checkout,,,,,,
12:25-12:45,.,"TV Conference with RSC Energia, IBMP, GCTC Managements (Ku +S-band)",,,,,,
13:00-14:00,.,LUNCH,,,,,,
14:00-14:40,CDR,"СОЖ Maintenance. СВО, СП, and POTOK Air Purification SystemData Calldowns for SM and FGBInspection of СМ-У connector on МНР-НС separator pump in АСУ(behind panel 139, for moisture)Replacement of Vacuum Pressure Gauge [МВ]",,,,,,
15:20-15:35,FE-1,Potable Water Dispenser (PWD) - Daily Ambient Flush,,,,,,
15:35-16:35,FE-1,Physical Exercise (TVIS),,,,,,
16:35-17:35,CDR,"Physical Exercise (VELO), day 1",,,,,,
16:35-18:05,FE-1,Physical Exercise (ARED),,,,,,
17:10-17:25,FE-2,Private Family Conference (Ku+S-band),,,,,,
18:15-18:45,.,Evening Work Prep,,,,,,
