0,1,2,3,4,5
19:15–19:30,Prep for work,,,,
19:30–20:00,DINNER,,,,
20:00–20:30,Daily food prep,,,,
20:30–21:30,Pre-sleep,,,,
21:30–06:00,SLEEP,,,,
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:40,Post-sleep,,,,
06:40–07:30,FE-1,BREAKFAST,,,
06:40–07:20,CDR,,,,
07:20–07:35,"Prep for TV pass (Т0=07:20, Т1, Т2, Т3 will be initiated by СПП)",,,,
07:35–07:45,TV pass: TV bridge with the United Russia Forum,,,,
08:00–11:00,,Weekly housecleaning,,,
11:00–12:15,FE-1,Physical exercise (TVIS),,,
11:30–12:30,CDR,Physical exercise (VELO + Load Trainer-1 / day 3),,,
12:25–12:30,FE-1,IMS auto import/export,,,
12:30–13:30,,LUNCH,,,
13:30–14:00,Weekly planning conference (S-band),,,,
14:00–14:40,CDR,Maintenance of СОЖ,,,
15:25–15:40,Regeneration of Ф1 absorption bed in БМП (start),,,,
18:00–19:30,Physical exercise (TVIS-3),,,,
18:15–19:30,FE-1,Physical exercise (RED),,,
19:30–20:00,,DINNER,,,
20:00–20:30,Daily food prep,,,,
20:30–21:30,Pre-sleep,,,,
21:30–06:00,SLEEP,,,,
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:25,FE-1,Post-sleep,,,
06:10–06:25,CDR,Biochemical urine test,,,
06:25–06:40,FE-1,,,,
06:25–06:40,CDR,Post-sleep,,,
06:40–07:20,BREAKFAST,,,,
06:40–07:30,FE-1,,,,
07:20–07:30,CDR,UROLUX h/w stowage,,,
07:30–08:00,,Prep for work,,,
08:00–08:15,Daily planning conference (S-band),,,,
08:25–08:40,CDR,"Prep for TV pass (Т0=08:25,Т1,Т2,Т3 will be initiated by the СПП)",,,
08:40–08:50,PAO address: OAO Mechel,,,,
08:45–09:25,FE-1,Maintenance of СОЖ,,,
08:50–11:20,CDR,Urine transfer to Progress-259 (M1-10) RODNIK water tank,,,
09:25–09:35,FE-1,TVIS bimonthly inspection,,,
09:35–10:50,Physical exercise (TVIS),,,,
10:50–11:20,Restart of all PCS computers (once a week),,,,
11:20–11:50,New Generation Laptop (SSC): file indexing/data collection,,,,
11:20–12:20,CDR,Physical exercise (VELO + Load Trainer 1 / day 2),,,
11:50–12:00,FE-1,CWC audit,,,
12:00–12:05,Microgravity Science Glovebox (MSG) activation,,,,
12:05–12:15,11А Struc & Mech procedure stowage,,,,
12:15–13:15,LUNCH,,,,
12:20–13:20,CDR,,,,
13:15–13:45,FE-1,InSPACE ops,,,
13:20–13:25,CDR,PLANTS-2: payload status check,,,
13:25–15:55,Urine transfer to Progress-259 (M1-10) RODNIK water tank,,,,
13:55–14:05,FE-1,CSA-CP data collection,,,
14:10–14:20,INSPASE experiment monitoring,,,,
14:20–14:40,C&W message table update,,,,
14:40–14:50,INSPASE experiment observations,,,,
15:00–15:10,Increment 7 daily payload status check,,,,
15:10–15:20,INSPASE experiment monitoring,,,,
15:20–15:35,Food questionnaire,,,,
15:35–15:45,INSPASE cassette changeout,,,,
15:45–16:05,InSPACE coil module 3 changeout,,,,
15:55–16:15,CDR,IMS file prep,,,
16:05–16:10,FE-1,Microgravity Science Glovebox (MSG) powerdown,,,
16:10–16:30,Transfer of TVIS/RED files to MEC,,,,
16:15–16:35,CDR,IMS tagup (S-band),,,
16:30–16:50,FE-1,HRM file transfer to MEC,,,
16:50–17:05,HRM file erase,,,,
16:50–18:20,CDR,Physical exercise (TVIS-2),,,
17:05–18:20,FE-1,Physical exercise (RED),,,
18:20–18:35,,Daily planning conference (S-band),,,
18:35–18:45,Daily plan review,,,,
18:45–19:10,FD/ISS crew conference (S-band),,,,
19:10–19:30,Daily plan review,,,,
19:30–20:00,DINNER,,,,
20:00–20:30,Daily food prep,,,,
20:30–21:30,Pre-sleep,,,,
21:30–06:00,SLEEP,,,,
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:40,Post-sleep,,,,
06:40–07:30,BREAKFAST,,,,
08:30–08:35,CDR,PLANTS-2: payload status check,,,
8:35-8:40,Electron-VM Gas-Fluid System (ГЖС) Air Check,,,,
8:40-8:45,СП Counter Reading Call-Down,,,,
8:45-8:50,СВО Call-Down,,,,
10:15–11:30,FE-1,Physical exercise (TVIS),,,
11:30–12:30,CDR,Physical exercise (VELO + Force Loader1 / day 1),,,
12:30–13:30,,LUNCH,,,
13:30–13:35,FE-1,IMS file auto import/export,,,
13:30–13:55,CDR,Maintenance of СОЖ,,,
14:25-14:40,Private Family Conference (S-band),,,,
15:30-15:45,FE-1,Private Psychological Conference (S-band),,,
16:10-16:25,Private Family Conference (S-band),,,,
16:45–18:15,CDR,Physical exercise (TVIS-1),,,
17:00–18:15,FE-1,Physical exercise (RED),,,
18:15-18:45,,Review of Daily Plan,,,
18:45-19:00,,Daily Planning Conference (S-band),,,
19:00-19:30,,Work Prep,,,
19:30-20:00,,Dinner,,,
20:00-20:30,,Daily Food Prep,,,
20:30-21:30,,Pre-Sleep,,,
21:30-06:00,,Sleep,,,
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:40,,Post-sleep,,,
06:40–07:30,FE-1,BREAKFAST,,,
06:40–07:10,CDR,PROFILAKTIKA: blood test,,,
07:10–07:30,BREAKFAST,,,,
07:30–07:50,,Prep for work,,,
07:50–08:05,,Daily planning conference (S-band),,,
08:05–09:05,,CheCS medical contingency training,,,
09:05–10:05,FE-1,File server/ SSC1 troubleshooting,,,
09:50–12:05,CDR,"PROFILAKTIKA: TVIS test, data downlink from CARDIOCASSETTE-2000",,,
10:05–10:40,FE-1,WMK sample analysis (Т+2),,,
10:40–10:45,DCP power cable disconnect,,,,
10:45–11:10,PROFILAKTIKA: assist,,,,
11:10–12:10,Physical exercise (CEVIS),,,,
12:04–12:10,CDR,Tagup with Boris Morukov,,,
12:10–13:10,,LUNCH,,,
13:10–16:20,CDR,Maintenance of SM ventilation system (group B),,,
13:45–14:00,FE-1,SSC reconfig for Airlock BCA,,,
14:20–14:40,EMU battery discharge,,,,
14:50–15:10,Transfer of WMK sample data to MEC,,,,
15:15–15:40,InSpace tagup (S-band),,,,
16:00–16:15,SSC reconfig,,,,
16:20–16:40,CDR,АСУ hose changeout,,,
16:40–17:00,Maintenance of СОЖ,,,,
16:25–17:55,FE-1,Physical exercise (RED),,,
17:00–17:40,CDR,IMS file prep,,,
17:40–17:45,PLANTS-2: data downlink,,,,
17:45–17:50,Inspection of БРПК-1 separator,,,,
17:55–18:15,,CB/ISS-7 crew conference (Kent Rominger) (S-band),,,
18:15–18:45,Daily plan review,,,,
18:45–19:15,Prep for work,,,,
19:15–19:30,Daily planning conference (S-band),,,,
19:30–20:00,DINNER,,,,
20:00–20:30,Daily food prep,,,,
20:30–21:30,Pre-sleep,,,,
21:30–06:00,SLEEP,,,,
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:40,Post-sleep,,,,
06:40–07:30,BREAKFAST,,,,
07:30–07:55,CDR,Prep for work,,,
07:30–08:00,FE-1,,,,
07:55–08:00,CDR,PLANTS-2: payload status check,,,
08:00–08:15,,Daily planning conference (S-band),,,
08:15–08:55,CDR,FGB dust collectors ПС1 & ПС2: filter changeout,,,
08:15–08:25,FE-1,VTP config for MSS,,,
08:25–08:45,VTP config for MSS (cont.),,,,
08:55–09:55,CDR,Cleaning of ЦВ fan mesh screens,,,
08:50–09:05,FE-1,CWC adapter hose audit,,,
09:25–09:40,GSC audit,,,,
09:55–11:25,CDR,Physical exercise (TVIS-1),,,
10:35–11:05,FE-1,IWIS data transfer,,,
11:05–11:15,Payload status check,,,,
11:25–12:25,Physical exercise (TVIS),,,,
,CDR,"FGB gas/fluid heat exchangers (ГЖТ 1, 2, 3): removable grille cleaning",,,
12:25–13:25,,LUNCH,,,
13:25–13:40,FE-1,Private family conference (S-band),,,
13:30–13:45,CDR,Airflow sensors ИП-1: position check,,,
13:40–13:50,FE-1,CWC audit,,,
13:45–14:25,CDR,SM/Progress TORU test (vehicle-to-vehicle test; no interaction with theProgress ДПО thrusters),,,
13:50–14:05,FE-1,Food questionnaire,,,
14:05–15:05,PBA/PFE inspect,,,,
15:05–15:10,EMU battery discharge (term),,,,
15:10–15:30,EPO telecon,,,,
14:30–14:50,CDR,QD screw clamp inspect,,,
15:35–15:40,FE-1,Warning Book P&I update,,,
15:00–15:20,CDR,IMS tagup (S-band),,,
15:20–16:00,CDR,Maintenance of СОЖ,,,
15:40–17:10,FE-1,Physical exercise (RED),,,
16:00–16:30,CDR,Transfer of ССА-Г (docking mechanism) bag from DC-1 to FGB (this activityrequires on-the-spot IMS tracking),,,
16:40–17:40,Physical exercise (VELO + Load Trainer-1 / day 1),,,,
17:10–17:40,FE-1,Transfer of TVIS/RED files to MEC,,,
17:40–18:20,CDR,IMS file prep,,,
17:40–18:05,FE-1,Transfer of HRM files to MEC,,,
18:05–18:20,,HRM file erase,,,
18:25–18:40,,Daily planning conference (S-band),,,
18:40–19:05,FD/ISS crew conference (S-band),,,,
19:05–19:30,Daily plan review,,,,
19:30–20:00,DINNER,,,,
20:00–20:30,Daily food prep,,,,
20:30–21:30,Pre-sleep,,,,
21:30–06:00,SLEEP,,,,
GMT,Crew,Activity,,,
06:00-06:10,.,Morning inspection,,,
06:10-06:40,Post-sleep,,,,
06:40-07:30,BREAKFAST,,,,
08:00-08:05,CDR,PLANTS-2: Hardware monitoring,,,
10:00-11:00,FE-1,"Physical Exercise (TVIS, Day 4)",,,
11:00-12:30,CDR,,,,
12:25-12:30,FE-1,IMS auto import/export,,,
12:30-13:30,.,LUNCH,,,
13:50-14:05,CDR,Private family conference (S + Ku-band),,,
14:20-14:25,СП data calldown,,,,
14:25-14:30,СВО data calldown,,,,
14:30-14:35,ELECTRON-VM: monitoring amount of air in the gas-liquid system(ГЖС),,,,
14:30-16:00,FE-1,Physical Exercise (RED),,,
14:35-15:00,CDR,СОЖ maintenance,,,
15:00-16:00,Physical Exercise (VELO + Load Trainer-1 / day 4),,,,
16:32-16:47,FE-1,Private family conference (S + Ku-band),,,
18:15-18:45,.,Daily plan review,,,
18:45-19:00,Daily planning conference (S-band),,,,
19:00-19:30,Prep for work,,,,
19:30-20:00,DINNER,,,,
20:00-20:30,Daily food prep,,,,
20:30-21:30,Pre-sleep,,,,
21:30-06:00,SLEEP,,,,
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:40,Post-sleep,,,,
06:40–07:30,BREAKFAST,,,,
07:30–07:45,CDR,VOZDUKH transition to auto control,,,
07:30–07:35,FE-1,Prep for work,,,
07:35–07:40,Prep for ham radio contact,,,,
07:40–07:50,Ham radio contact,,,,
07:45–07:55,CDR,Prep for work,,,
07:50–08:00,FE-1,,,,
07:55–08:00,CDR,PLANTS-2: payload status check,,,
08:00–08:15,,Daily planning conference (S-band),,,
08:15–08:30,CDR,Prep for work,,,
08:15–08:20,FE-1,MCA valve opening,,,
08:20–10:20,TVIS kit audit,,,,
08:30–10:30,CDR,Troubleshooting of БСММ connections,,,
10:20–11:30,FE-1,Unloading and IMS tracking of Progress M1-10 cargo,,,
10:30–10:40,CDR,Gas Analyzer ИК0501: СО2 filter assembly R&R,,,
10:40–11:40,Physical exercise (VELO + Load Trainer-1 / day 1),,,,
11:30–12:45,FE-1,Physical exercise (TVIS),,,
11:40–12:05,CDR,Disinfection of А-Р & Р-Р hoses prior to water transfer from Progress to SM,,,
12:05–12:45,INTERACTIONS: questionnaire and data backup,,,,
12:45–13:45,,LUNCH,,,
13:45–13:50,FE-1,Microgravity Science Glovebox (MSG) activation,,,
13:50–14:20,InSPACE experiment ops,,,,
14:00–15:30,CDR,SM RODNIK water storage system: pressurization of Water Tank 2 bladder,,,
14:20–14:45,FE-1,Video downlink (KU-band),,,
14:45–14:55,INSPACE experiment monitoring,,,,
14:55–15:15,Video downlink (KU-band),,,,
15:15–15:25,InSPACE experiment observations,,,,
15:25–15:45,Video downlink (KU-band),,,,
15:30–16:10,CDR,Maintenance of СОЖ,,,
15:45–15:55,FE-1,INSPACE experiment monitoring,,,
15:55–16:05,Increment 7 daily payload status,,,,
16:10–16:45,CDR,IMS file prep,,,
16:10–16:20,FE-1,InSPACE tape changeout,,,
16:20–16:30,InSPACE powerdown,,,,
16:30–16:35,Microgravity Science Glovebox (MSG) powerdown,,,,
16:35–16:40,MCA valve closure,,,,
16:45–18:15,CDR,Physical exercise (TVIS-1),,,
17:00–18:15,FE-1,Physical exercise (RED),,,
18:15–18:30,,Daily planning conference (S-band),,,
18:30–19:00,Daily plan review,,,,
19:00–19:30,Prep for work,,,,
19:30–20:00,DINNER,,,,
20:00–20:30,Daily food prep,,,,
20:30–21:30,Pre-sleep,,,,
21:30–06:00,SLEEP,,,,
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:40,Post-sleep,,,,
06:40–07:30,BREAKFAST,,,,
07:30–10:30,Weekly housecleaning,,,,
10:30–11:45,FE-1,Physical exercise (TVIS),,,
10:30–10:35,CDR,Inspection of БРПК-1 separator,,,
11:40–12:40,Physical exercise (VELO + Load Trainer-1 / day 1),,,,
11:45–12:15,FE-1,Restart of all PCS computers,,,
12:35–12:40,IMS auto import/export,,,,
12:40–13:40,,LUNCH,,,
13:40–14:10,Weekly planning conference (S-band),,,,
15:05–15:20,CDR,Private family conference (Ku+S-band),,,
17:20–18:00,Maintenance of СОЖ,,,,
17:24–17:29,FE-1,Prep for ham radio contact,,,
17:29–17:40,Ham radio contact: Apprentissage École (Quebec),,,,
18:00–19:30,CDR,Physical exercise (TVIS-1),,,
18:00–19:15,FE-1,Physical exercise (RED),,,
19:30–20:00,,DINNER,,,
20:00–20:30,Daily food prep,,,,
20:30–21:30,Pre-sleep,,,,
21:30–06:00,SLEEP,,,,
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:40,Post-sleep,,,,
06:40–07:30,BREAKFAST,,,,
07:30–08:00,CDR,Teardown of Progress/SM water transfer config,,,
07:30–10:30,FE-1,Weekly housecleaning,,,
08:00–10:30,CDR,,,,
10:30–11:30,CDR,Physical exercise (VELO + Load Trainer 1 / day 4),,,
11:25–12:40,FE-1,Physical exercise (TVIS),,,
12:40–13:40,,LUNCH,,,
13:40–14:10,Weekly planning conference (S-band),,,,
14:20–14:25,FE-1,IMS auto import/export,,,
14:30–14:50,CDR,Maintenance of СОЖ,,,
18:00–19:15,FE-1,Physical exercise (RED),,,
18:00–19:30,CDR,Physical exercise (TVIS-4),,,
19:30–20:00,,DINNER,,,
20:00–20:30,Daily food prep,,,,
20:30–21:30,Pre-sleep,,,,
21:30–06:00,SLEEP,,,,
GMT,CREW,ACTIVITY,,,
06:00-06:10,,Morning inspection,,,
06:10-06:20,CDR,МО-8. Set up,,,
,FE-1,Calf measurement,,,
06:20-06:30,CDR,,,,
06:20-06:35,FE-1,Body mass measurement,,,
06:35-06:50,CDR,,,,
06:35-07:05,FE-1,Post-sleep,,,
06:50-07:00,CDR,МО-8. Close-out ops,,,
07:00-07:30,Post-sleep,,,,
07:05-08:00,FE-1,BREAKFAST,,,
07:30-07:55,CDR,,,,
07:55-08:00,PLANTS-2. Payload status check,,,,
08:00-08:15,.,Daily planning conference (S-band),,,
08:15-08:40,CDR,BREAKFAST,,,
08:15-08:20,FE-1,Glove Box (MSG) - activation,,,
08:20-08:50,InSPACE ops,,,,
08:40-09:10,CDR,Work prep,,,
08:50-09:15,FE-1,SSC6 relocation to Airlock,,,
09:10-11:10,CDR,PILOT. CDR experiment performance. Tagup with specialists (S-band),,,
09:15-09:25,FE-1,InSPACE - prep,,,
09:25-09:45,EMU battery discharge troubleshooting,,,,
09:45-09:55,InSPACE: payload status check,,,,
09:55-10:15,EMU battery discharge troubleshooting,,,,
10:15-10:25,InSPACE observation: prep,,,,
10:30-10:40,Increment 7 daily payload status check,,,,
10:40-10:50,InSPACE cassette replacement,,,,
10:50-11:00,InSPACE: power off,,,,
11:00-11:05,Glove box (MSG): power off,,,,
11:05-11:35,SSC6 reconfigure to standard operating mode,,,,
11:10-12:10,CDR,"Physical exercise (VELO+HС-1, day 1)",,,
11:35-11:45,FE-1,TVIS inspection,,,
11:45-12:45,Physical exercise (TVIS),,,,
12:10-12:50,CDR,СОЖ maintenance,,,
12:45-12:50,FE-1,Weekly TVIS maintenance,,,
12:50-13:50,,LUNCH,,,
13:50-15:20,FE-1,Increment 7 Audit 1 (generating an accurate manifest for 12Р andsubsequent flights),,,
13:50-14:50,CDR,ВВ2РО air-duct fan screen cleaning,,,
14:50-15:30,IMS file prep,,,,
15:35-16:35,,PROFILAKTIKA. Set up. Tagup with specialists. (S-band),,,
16:35-16:40,CDR,Monitoring of the circuit breaker on DC1 БВП switch unit and fuses on DC1БПП fuse unit,,,
16:40-16:45,БРПК-1 separator inspection,,,,
16:45-18:15,"Physical exercise (TVIS, day 1)",,,,
,FE-1,Physical exercise (RED),,,
18:15-18:45,,Daily plan review,,,
18:45-19:00,Work prep,,,,
19:00-19:15,Daily planning conference (S-band),,,,
19:15-19:30,Work prep,,,,
19:30-20:00,DINNER,,,,
20:00-20:30,Daily food prep,,,,
20:30-21:30,Pre-sleep,,,,
21:30-06:00,SLEEP,,,,
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:20,CDR,МО-8: setup,,,
,FE-1,Calf volume measurement,,,
06:20–06:30,CDR,,,,
06:20–06:35,FE-1,Body mass measurement,,,
06:35–06:50,CDR,,,,
06:35–07:00,FE-1,Post-sleep,,,
06:50–07:00,CDR,МО-8: closeout ops,,,
07:00–07:10,Post-sleep,,,,
07:00–07:50,FE-1,BREAKFAST,,,
07:10–07:50,CDR,,,,
07:50–08:15,Prep for work,,,,
07:50–08:20,FE-1,,,,
08:15–08:20,CDR,PLANTS-2: payload status check,,,
08:20–08:35,,Daily planning conference (S-band),,,
08:35–10:05,Installation of Matching Unit УС-21 container (interface to Progress effectors)(VHF + S-band),,,,
10:05–10:20,FE-1,HRF GASMAP powerup for 30-day functionality test,,,
10:05–10:15,CDR,On MCC GO: mating of TLM-connectors to БИТС2-12,,,
10:15–11:15,Physical exercise (VELO + Load Trainer-1 / day 3),,,,
10:20–10:50,FE-1,Plug-in plan audit,,,
11:00–12:15,Physical exercise (TVIS),,,,
11:15–12:20,CDR,ODF replacement,,,
12:15–12:20,FE-1,Weekly maintenance of TVIS,,,
12:20–13:20,,LUNCH,,,
13:20–14:05,FE-1,HRF GASMAP 30-day functionality test,,,
13:20–14:00,CDR,Maintenance of СОЖ,,,
14:05–16:05,,Unloading and IMS tracking of Progress M1-10 cargo,,,
16:05–16:45,CDR,IMS file prep,,,
16:05–16:20,FE-1,HRF GASMAP powerdown after 30-day functionality test,,,
16:20–16:30,Increment 7 daily payload status,,,,
16:30–16:35,LAB window closure,,,,
16:45–17:00,Video survey of TVIS cable system,,,,
16:45–18:15,CDR,Physical exercise (TVIS-3),,,
17:00–18:15,FE-1,Physical exercise (RED),,,
18:15–18:30,,Daily plan review,,,
18:30–18:45,Daily planning conference (S-band),,,,
18:45–19:00,Daily plan review,,,,
19:00–19:30,Prep for work,,,,
19:30–20:00,,DINNER,,,
20:00–20:30,Daily food prep,,,,
20:30–21:30,Pre-sleep,,,,
21:30–06:00,SLEEP,,,,
GMT,Crew,Activity,,,
06:00–06:10,,Morning inspection,,,
06:10–06:40,Post-sleep,,,,
06:40–07:30,BREAKFAST,,,,
07:30–07:50,Prep for work,,,,
07:50–08:05,Daily planning conference (S-band),,,,
08:05–08:15,FE-1,Prep for work,,,
08:05–08:20,CDR,"RELAKSATSIYA: video downlink (Т0=08:00, Т1, Т2, Т3 will be initiated bythe СПП Automated Daily Timeline)",,,
08:20–08:30,Prep for work,,,,
08:35–10:05,FGB Internal Thermal Loop (ВГК2): Replaceable Pump Panel (СПН ВГК2-1)R&R,,,,
08:35–09:10,FE-1,CSA-CP ops,,,
09:10–09:35,CSA-CP zero calibration,,,,
09:35–09:55,CSA-SP activation,,,,
09:55–10:05,Transfer of TVIS/RED files to MEC,,,,
10:05–10:45,Maintenance of СОЖ,,,,
10:05–11:05,CDR,Connecting REGUL-OS Antenna Feeder Unit (АФУ) to СБII antenna feed,,,
10:50–12:05,FE-1,Physical exercise (CEVIS),,,
11:05–12:05,CDR,Physical exercise (VELO + Load Trainer 1 / day 3),,,
12:05–13:05,,LUNCH,,,
13:05–15:05,CDR,БРПК troubleshooting,,,
13:05–13:50,FE-1,HRF UVND functional test,,,
13:50–14:50,,,,,
14:50–15:20,,,,,
15:20–15:30,,,,,
15:05–15:40,CDR,IMS file prep,,,
15:30–15:40,FE-1,Setup for PAO event,,,
15:40–15:50,,Prep for PAO event,,,
15:50–16:10,PAO event (Ku+S-band),,,,
16:10–16:25,CDR,ИП-1 airflow sensors: positioning check,,,
16:15–16:30,FE-1,Private medical conference (S-band),,,
16:30–16:45,CDR,,,,
16:45–18:15,Physical exercise (TVIS-3),,,,
17:00–18:15,FE-1,Physical exercise (RED),,,
18:15–18:25,,Daily plan review,,,
18:25–18:40,Daily planning conference (S-band),,,,
18:40–19:00,Daily plan review,,,,
19:00–19:30,Prep for work,,,,
19:30–20:00,DINNER,,,,
20:00–20:30,,Daily food prep,,,
20:30–21:30,Pre-sleep,,,,
21:30–06:00,SLEEP,,,,
GMT,CREW,ACTIVITY,,,
06:00–06:10,,Morning inspection,,,
06:10–06:40,,Post-sleep,,,
06:40–07:30,,BREAKFAST,,,
07:30–07:45,,Work prep,,,
07:45–07:50,CDR,PLANTS-2: payload status check,,,
07:50–08:05,,Daily planning conference (S-band),,,
08:05–08:15,,Work prep,,,
08:15–08:25,FE-1,Increment 7 daily payload status check,,,
08:25–08:35,FE-1,CWC inventory audit,,,
08:35–08:50,FE-1,Food questionnaire,,,
08:40–08:55,CDR,IMS tagup (S-band),,,
08:55–09:15,CDR,DIATOMEA: prep for RUBINAR video downlink,,,
09:00–09:35,FE-1,Maintenance of СОЖ,,,
09:15–09:25,CDR,DIATOMEA: RUBINAR video downlink,,,
09:25–09:35,CDR,DIATOMEA: RUBINAR closeout ops,,,
09:35–11:05,,Progress М1-10 docking mechanism removal,,,
11:05–12:05,FE-1,Physical exercise (TVIS),,,
11:05–12:05,CDR,Physical exercise (VELO + Load Trainer 1 / day 4),,,
12:05–13:05,,LUNCH,,,
13:05–15:40,FE-1,Progress М1-10 unloading and IMS tracking,,,
13:05–16:25,CDR,Progress М1-10 unloading and IMS tracking,,,
15:40–16:00,FE-1,Transfer of TVIS/RED files to MEC,,,
16:00–16:25,FE-1,Transfer of HRM data to МЕС,,,
16:25–16:40,FE-1,HRM data erase,,,
16:25–16:50,CDR,IMS file prep,,,
16:40–18:10,FE-1,Physical exercise (RED),,,
16:50–18:20,CDR,Physical exercise (TVIS-4),,,
18:10–18:20,FE-1,Photo survey of damaged RED cable,,,
18:20–18:35,,Daily planning conference (S-band),,,
18:35–19:00,,FD/ISS crew conference (S-band),,,
19:00–19:30,,Daily plan review,,,
19:30–20:00,,DINNER,,,
20:00–20:30,,Daily food prep,,,
20:30–21:30,,Pre-sleep,,,
21:30–06:00,,SLEEP,,,
GMT,CREW,ACTIVITY,,,
06:00-06:10,,Morning inspection,,,
06:10-06:20,CDR,МО-8: hardware setup,,,
,FE-1,Calf volume measurement,,,
06:20-06:30,CDR,,,,
06:20-06:35,FE-1,Body mass measurement,,,
06:35-06:50,CDR,,,,
06:35-07:05,FE-1,Post-sleep,,,
06:50-07:00,CDR,МО-8: closeout ops,,,
07:00-07:15,Post-sleep,,,,
07:05-07:45,FE-1,BREAKFAST,,,
07:15-07:30,CDR,URAGAN Earth observations and imagery,,,
07:30-07:40,Post-sleep,,,,
07:40-07:45,PLANTS-2. Payload status check,,,,
07:45-08:00,,Daily planning conference (S-band),,,
08:00-08:50,CDR,BREAKFAST,,,
08:00-08:15,FE-1,,,,
08:15-08:40,Work prep,,,,
08:40-08:45,Glove Box (MSG) – activation,,,,
08:45-09:15,InSPACE ops,,,,
08:50-09:10,CDR,URAGAN Earth observations and imagery,,,
09:15-09:35,FE-1,RED Flexpack canister inspect,,,
09:20-09:35,CDR,Regeneration of Ф2 absorption bed in БМП (end),,,
09:35-10:10,Inspection and photo survey of RS window panes: procedure review andtagup w/ ground specialist (S-band),,,,
09:40-09:50,FE-1,InSPACE: experiment prep,,,
10:10-11:10,CDR,Inspection and photo survey of RS window panes,,,
10:10-10:20,FE-1,InSPACE observation,,,
10:20-10:30,Daily payload status check,,,,
10:40-10:50,InSPACE – experiment prep,,,,
11:05-11:15,InSPACE cassette replacement,,,,
11:10-11:45,CDR,File prep following SM and DC1 window inspection and imagery (Filedownlink via ОСА). Tagup with specialists (S-band),,,
11:15-11:25,FE-1,InSPACE: power off,,,
11:25-11:30,Glove Box (MSG) – power off,,,,
11:30-12:45,Physical exercise (TVIS),,,,
11:50-12:50,CDR,"Physical exercise (VELO + Load Trainer 1, day 1)",,,
12:45-12:50,FE-1,Weekly TVIS maintenance,,,
12:50-13:50,,LUNCH,,,
13:50-14:50,CDR,Replacement of 3 fire extinguishers in FGB (ОСП-4),,,
13:50-14:30,FE-1,СОЖ maintenance,,,
14:30-15:10,IMS file prep,,,,
14:50-15:30,CDR,Changeout of urine receptacle and filter liner in SM toilet (АСУ),,,
15:10-15:30,FE-1,C&W book update,,,
15:35-15:45,Setup for PAO event,,,,
15:45-15:55,,Prep for PAO event,,,
15:55-16:15,Educational PAO event: student conference on computer technologies inSeattle (KU + S-band),,,,
16:15-16:40,CDR,MOLNIYA-SM: LSO instrument installation. Tagup w/ ground specialists (S-band),,,
16:15-16:20,FE-1,Disposal of wipes delivered on the Orbiter,,,
16:30-16:50,EXPRESS Rack 1: data transfer,,,,
16:40-18:10,CDR,Physical exercise (TVIS-1),,,
16:50-17:00,FE-1,TVIS/RED data transfer to MEC,,,
17:00-18:15,Physical exercise (RED),,,,
18:10-18:15,CDR,HEMATOCRIT: hardware setup,,,
18:15-18:30,,Daily plan review,,,
18:30-18:45,Daily planning conference (S-band),,,,
18:45-19:00,Daily plan review,,,,
19:00-19:30,Prep for work,,,,
19:30-20:00,DINNER,,,,
20:00-20:30,Daily food prep,,,,
20:30-21:30,CDR,Post-sleep,,,
20:30-21:15,FE-1,,,,
21:15-21:30,Conference with the Governor of Hawaii (S + Ku-band),,,,
21:30-06:00,,SLEEP,,,
GMT,Crew,,,,
06:00–06:10,,Morning inspection,,,
06:10–06:40,,Post-sleep,,,
06:40–07:30,,BREAKFAST,,,
07:30–08:00,,Prep for work,,,
08:00–08:15,,Daily planning conference (S-band),,,
08:15–10:45,CDR,,,,
,,Unloading and IMS tracking of Progress m1-10 cargo,,,
08:15–11:15,FE-1,,,,
10:45–11:15,,Disinfection of hoses А-Р & Р-Р prior to Progress-SM water transfer,,,
,CDR,,,,
11:15–12:45,,Physical exercise (TVIS-2),,,
11:15–12:30,,Physical exercise (CEVIS),,,
,FE-1,,,,
12:30–12:55,,Maintenance of СОЖ,,,
12:45–12:50,CDR,PLANTS-2: data downlink,,,
12:55–13:55,,LUNCH,,,
13:55–14:15,FE-1,,,,
,,Setup for PAO event,,,
14:05–14:15,CDR,,,,
14:15–14:35,,PAO event: CBS News (KU+S-band),,,
,,,,,
14:35–16:35,,Unloading and IMS tracking of Progress m1-10 cargo,,,
16:35–17:15,CDR,IMS file prep,,,
16:35–17:50,FE-1,Physical exercise (RED),,,
17:15–18:15,CDR,Physical exercise (VELO + Load Trainer 1 / day 2),,,
18:15–18:30,,Daily plan review,,,
18:30–18:45,,Daily planning conference (S-band),,,
18:45–19:00,,Daily plan review,,,
19:00–19:30,,Prep for work,,,
,,,,,
19:30–20:00,,DINNER,,,
