0,1,2,3,4,5,6,7,8,9,10,11,12
06:00–06:10,Morning inspection,,,,,,,,,,,
06:10–06:40,Personal hygiene (post-sleep),,,,,,,,,,,
06:40–07:30,BREAKFAST,,,,,,,,,,,
07:30–08:00,Work prep,,,,,,,,,,,
08:00–08:15,"FE-1, FE-2 Daily planning conference (morning)",,,,,,,,,,,
08:00–08:20,"CDR Drying third spacesuit & gloves / RODF ?????????? ?  ? ? ? ? ?, page 31, it. 7",,,,,,,,,,,
08:15–08:45,FE-2 Transferring files from  to MEC / ? ? ? _2510,,,,,,,,,,,
08:35–08:55,"CDR, FE-1 Test functionality of Vozdukh atmosphere purification unit (?? ?) / r/g 970",,,,,,,,,,,
08:45–09:15,FE-2 Transferring CEVIS protocol / ? ? ? _2529,,,,,,,,,,,
08:55–09:05,"CDR, FE-1 Demate ?? ? -connectors from ????2-12 / r/g 970",,,,,,,,,,,
09:05–10:45,"FE-1, CDR Test functionality of Vozdukh atmosphere purification unit (?? ?) / r/g 970",,,,,,,,,,,
09:15–10:45,FE-2 6A EQUIP PACK,,,,,,,,,,,
10:45–11:45,FE-1 Periodic fitness evaluation / MPV.IMG: MED OPS: NOMINAL: CMS:  PERIODIC,,,,,,,,,,,
10:45–12:15,FE-2 FITNESS EVALUATION: PFE-NOMINAL OPS,,,,,,,,,,,
11:35–11:55,"CDR Stow third spacesuit & gloves / RODF ? ????????? ?  ? ? ? ? ?, pg. 31, it. 7",,,,,,,,,,,
12:05–12:15,"CDR, FE-1 Mate ?? ? -connectors to ????2-12 / r/g 970",,,,,,,,,,,
12:15–13:15,LUNCH,,,,,,,,,,,
13:15–13:55,FE-1 ? ? ?  maintenance / Note,,,,,,,,,,,
13:15–14:30,FE-2 6A EQUIP PACK,,,,,,,,,,,
13:20–14:20,CDR Activate FGB systems after Soyuz re-docking – candidate activity / r/g,,,,,,,,,,,
14:25–14:45,CDR ???-4 ?????? : photo ops / r/g 865,,,,,,,,,,,
14:30–15:30,FE-2 Physical exercise (USOS plan),,,,,,,,,,,
14:30–16:00,FE-1 Physical exercise (USOS plan),,,,,,,,,,,
14:50–15:15,CDR ????? ? : observations and photography / r/g 984 14.53-15.03 GMT,,,,,,,,,,,
15:30–16:00,CDR Downlink LOG files from SM Laptop / r/g 944n,,,,,,,,,,,
,Install CBCS on nadir port / S&M: Nominal: Centerline Berthing Camera System:,,,,,,,,,,,
15:30–17:00,FE-2,,,,,,,,,,,
,1.301 Node 1 Fwd Centerline Berthing Camera System Installation,,,,,,,,,,,
16:00–17:00,FE-1 6A EQUIP PACK,,,,,,,,,,,
16:00–17:00,CDR Physical exercise (cycle),,,,,,,,,,,
17:00–18:00,CDR Physical exercise (RED),,,,,,,,,,,
17:00–19:00,"FE-2, FE-1",,,,,,,,,,,
,Review 6A plan,,,,,,,,,,,
18:00–19:00,CDR,,,,,,,,,,,
19:00–19:20,Review plan for the next day,,,,,,,,,,,
19:20–19:30,Daily planning conference (evening),,,,,,,,,,,
19:30–20:00,DINNER,,,,,,,,,,,
20:00–20:30,Daily food ration prep,,,,,,,,,,,
20:30–21:30,Personal hygiene (pre-sleep),,,,,,,,,,,
21:30–06:00,SLEEP,,,,,,,,,,,
GMT  04/02/01,,,,,,,,,,,,
DAY/NIGHT,,,,,,,,,,,,
ORBIT,1523,,1524,,1525,1526,,1527,,,1528,
I DAILY ORBIT,8,,9,,10,,11,12,,,13,
S KU,,,,,,,,,,,,
S TDRS S-BD,,,,,,,,,,,,
ECS,,,,,,,,,,,,
M,,,,,,,,,,,,
C,,,,,,,,,,,,
C,,,,,,,,,,,,
,,ALL VHF,,ALL VHF,ALL VHF,ALL VHF,,ALL VHF,,,ALL VHF,
I,,,ALL VHF,,,,ALL VHF,ALL VHF,,,ALL VHF,
S GND,,,,,,,,,,,,
S,,,,,,,,,,,,
+ZLV +XVV TEAISS ATTITUDE,,,,,,,,,,,,
ISS POWER,,,,,,,,,,,,
USACHEV,,POSTSLEEP,PREP-WORK,♣,Xfer Ops-IMS-ТКГМ-44,,⊕ ♦,EXERCISE VELO,,MIDDAY-MEAL,,
I,,,,,,,,,,,,
S VOSS,,POSTSLEEP,PREP-WORK,♣,♥,EXERCISE,,∆,,MIDDAY-MEAL,♠ φ,
S,,,,,,,,,,,,
HELMS,,POSTSLEEP,PREP-WORK,♣,Xfer Ops-IMS-ТКГМ-44,,СГО-MNT,EXERCISE,,MIDDAY-MEAL,СОГС-ТГК-INV,
E,,,,,,,,,,,,
C,,,,,,,,,,,,
S,,,,,,,,,,,,
S,,,,,,,,,,,,
Y,,,,,,,,,,,,
S -CHECS-DATA-DUMP,,,CHECS-DATA-DUMP,,,,,,,,,
B KUBD-ACT-C/O,,,,,,,,,,,KUBD-ACT-,
D ARS-MCA FULL-CAL,,,ARS-MCA FULL-CAL,,,,,,,,,
RS-CONT PKT-SBD COMM,,,,,,,,,,,RS-CONT PKT,
P BONNER BALL CLCT,,,,,,,,,,,BONNER BA,
L DOSMAP DATA CLCT,,,,,,,,,,,DOSMAP DA,
US-CONT PKT-SM COMM,,,,,,,,,,,US-CONT PKT-SM COMM,
R,,,,,,,,,,,,
S,,,,,,,,,,,,
,,,,♣DPC - MORNING,,,⊕KHT-4-PREP,∆CEO OPERATIONS,,,ТКГ-РОДНИК-ПЕРЕК,
,,,,,♥BONNER BALL CLCK CHK,,♦СВО-СРВК-БРПК-INSPCT,,,,♠HRF PC CABLE,
,,,,,,,,,,,φHRF PC/UOP,
NOTES:,,,,,,,,,,,,
GMT  04/03/01,,,,,,,,,,,,
DAY/NIGHT,,,,,,,,,,,,
ORBIT,1539,,1540,1541,,1542,,1543,1544,,,
I DAILY ORBIT,9,,10,11,,12,,13,14,,,
S KU,,,,,,,,,,,,
S TDRS S-BD,,,,,,,,,,,,
ECS,,,,,,,,,,,,
M,,,,,,,,,,,,
C,,,,,,,,,,,,
C,,,,,,,,,,,,
,ALL VHF,ALL VHF,ALL VHF,ALL VHF,,ALL VHF,,ALL VHF,ALL VHF,,,
I,,,,,,ALL VHF,,ALL VHF,,,,
S GND,,,,,,,,,,,,
S,,,,,,,,,,,,
+ZLV +XVV TEAISS ATTITUDE,,,,,,,,,,,,
ISS POWER,,,,,,,,,,,,
USACHEV,POSTSLEEP,,PREP-WORK DPC,ТКГ-РОДНИК-ОБЖАТИЕ,KHT-4,EXERCISE VELO,♣,LUNCH,PMC ⊕,,,
I,,,,,,,,,,,,
,,,,,,,,,HMS-PHS,,,
S VOSS,POSTSLEEP,,PREP-WORK DPC,СГО-MNT HMS-PHS SUBJ-EVAL,,EXERCISE,♣,LUNCH,,,,
,,,,,,,,,CMO-EVAL,,,
S,,,,,,,,,,,,
HELMS,POSTSLEEP,,PREP-WORK DPC,HMS-PHS CMO-EVAL,,СВО-INV,♣,LUNCH,HMS-PHS,,,
,,,,,,,,,SUBJ-EVAL,,,
E OCA-MAIL-SYNC,,,,,,,,,OCA-MAIL-,,,
C,,,,,,,,,,,,
S,,,,,,,,,,,,
S,,,,,,,,,,,,
Y,,,,,,,,,,,,
ARS-MCA ZERO-CAL,ARS-MCA ZERO-CAL,,,,,,,,,,,
-S MCC-RF SYS-UPGRADE,,MCC-RF SYS-UPGRADE,,,,,,,,,,
B KUBD-ACT-C/O,,,,,,,,,KUBD-ACT-,,,
D ACS-CMG1-INH,,,,ACS-CMG1-INH,,,,,,,,
ACS-CMG-INHIBIT,,,,,,,,ACS-CMG-INHIBIT,,,,
P BONNER BALL CLCT,,,,,,,,,BONNER BA,,,
L DOSMAP DATA CLCT,,,,,,,,,DOSMAP DA,,,
R,,,,,,,,,,,,
S,,,,,,,,,,,,
,,,,,,,♣PAO-EDUCATION,,⊕ШУМОМЕР-2,,,
NOTES:,,,,,,,,,,,,
,,,GMT93-1,,,ISS 2 BASIC,,,,,,
GMT,Crew,Activity / ODF or R/G,,,,,,,,,,
06:00–06:10,,Morning inspection,,,,,,,,,,
06:10–06:40,,Personal hygiene (post-sleep),,,,,,,,,,
06:40–07:30,,BREAKFAST,,,,,,,,,,
08:00–08:40,FE-1,? ? ?  maintenance / Note 1,,,,,,,,,,
09:25–09:35,CDR,"Charge camcorder batteries / RODF ???  ? ? , page 2-2, item 2.2 / Note 2",,,,,,,,,,
09:38–09:48,CDR,Downlink of ???  data and ? ?  counter data,,,,,,,,,,
09:48–09:58,CDR,????? ? : conference with ground experts,,,,,,,,,,
10:50–11:25,CDR,"????? ? : Earth observations using ???  ??? ? (11:11:42-11:11:56 porthole ?6) /r/g 946  , 947",,,,,,,,,,
11:00–11:10,FE-1,Bonner Ball clock check / Daily Status Check Matrix: Daily Status Check Matrix:HRF/BBND,,,,,,,,,,
11:35–12:35,,LUNCH,,,,,,,,,,
12:35–12:50,CDR,"????? ? : Earth observations (12:44:05-12:44:20) / r/g 946 , 947 (crew discretion)",,,,,,,,,,
14:04–14:19,FE-1,Private psychological conference via S-band,,,,,,,,,,
14:22–14:37,CDR,"PRIVATE FAMILY CONFERENCE.TV event / RODF ??? ?? , item 2.4, pages 2-5through 2-6",,,,,,,,,,
14:35–14:50,FE-2,Private psychological conference via S-band,,,,,,,,,,
15:49–16:04,CDR,PRIVATE PSYCHOLOGICAL CONFERENCE,,,,,,,,,,
16:07–16:22,FE-1,Private family conference via S-band,,,,,,,,,,
17:15–17:30,FE-2,,,,,,,,,,,
18:45–19:15,,Review plan for the next day,,,,,,,,,,
19:15–19:30,,Daily planning conference (evening),,,,,,,,,,
19:30–20:00,,DINNER,,,,,,,,,,
20:00–20:30,,Daily food ration prep,,,,,,,,,,
20:30–21:30,,Personal hygiene (pre-sleep),,,,,,,,,,
21:30–06:00,,SLEEP,,,,,,,,,,
GMT  04/01/01,,,,,,,,,,,,
DAY/NIGHT,,,,,,,,,,,,
ORBIT,,1508,1509,,,,1510,,1511,1512,,1513
I DAILY ORBIT,,8,,9,,,10,,11,12,,13
S KU,,,,,,,,,,,,
S TDRS S-BD,,,,,,,,,,,,
ECS,,,,,,,,,,,,
M,,,,,,,,,,,,
C,,,,,,,,,,,,
C,,,,,,,,,,,,
,,ALL VHF,,,ALL VHF,,,ALL VHF,ALL VHF,,ALL VHF,
I,,ALL VHF,,,,,,,ALL VHF,,ALL VHF,
S GND,,,,,,,,,,,,
S,,,,,,,,,,,,
ISS ATTITUDE,,,,,,,,,,,,
ISS POWER,,,,,,,,,,,,
USACHEV,,POSTSLEEP ♣,,,,,,,,MIDDAY-MEAL,,⊕♦
I,,,,,,,,,,,,
S VOSS,,POSTSLEEP ♣,,,,,,,,MIDDAY-MEAL,,
S,,,,,,,,,,,,
HELMS,,POSTSLEEP ♣,,,,,,,,MIDDAY-MEAL,,
E EXE-PKG U/L,,EXE-PKG U/L,,,,,,,,,,
C,,,,,,,,,,,,
S,,,,,,,,,,,,
S,,,,,,,,,,,,
Y,,,,,,,,,,,,
S- CHECS-DATA-DUMP,,CHECS-DATA-DUMP,,,,,,,,,,
B ARS-MCA ZERO-CAL,,ARS-MCA ZERO-CAL,,,,,,,,,,
D,,,,,,,,,,,,
РБО-2,,РБО-2,,,,,,,,,,
P BONNER BALL CLCT,,,,,,,,,,,,BONNER BA
L DOSMAP DATA CLCT,,,,,,,,,,,,DOSMAP DA
РБО-1,,,,,,,,,,,,РБО-1
R,,,,,,,,,,,,
S,,,,,,,,,,,,
,,♣PREP-WORK,,,,BONNER BALL CLCK CHK,,,,,,⊕СВО-INSPCT
,,,,,,,,,,,,♦СГО-СП-IN
NOTES:,,,,,,,,,,,,
Time,Crew,Activity / Ref. to ODF or radiogram,,,,,,,,,,
08:00-08:10,,Morning inspection,,,,,,,,,,
08:10-08:40,,Post-sleep,,,,,,,,,,
08:40-09:10,,Breakfast,,,,,,,,,,
09:10-09:25,,Daily planning conference,,,,,,,,,,
09:25-09:55,,Preparation for work,,,,,,,,,,
,,MPLM ingress / MULTI-PURPOSE LOGISTICS MODULE ISS-6A: MPLM:,,,,,,,,,,
09:55-10:10,"CDR, FE-1",,,,,,,,,,,
,,NOMINAL: MPLM INGRESS,,,,,,,,,,
09:55-10:25,FE-2,Remove IRED canisters,,,,,,,,,,
10:10-11:10,FE-1,Prepare MPLM for cargo transfer,,,,,,,,,,
,,Air sampling with FE-1?  sampler (prior to air duct installation) ISS SM  ? ? ??,,,,,,,,,,
10:10-10:25,CDR,,,,,,,,,,,
,,"ODF, item 11.2, p. 11-3",,,,,,,,,,
10:25-11:10,CDR,Prepare MPLM for cargo transfer,,,,,,,,,,
10:35-10:40,FE-2,Comm check,,,,,,,,,,
,,Physical exercise (CEVIS) / INTEGRATED MEDICAL GROUP: MED OPS:,,,,,,,,,,
10:40-11:40,FE-2,,,,,,,,,,,
,,NOMINAL: CMS: CEVIS-EXERCISE OPERATIONS/,,,,,,,,,,
11:10-12:20,FE-1,RSP-F1  transfer,,,,,,,,,,
11:10-11:40,CDR,RSP-F1  transfer,,,,,,,,,,
,,Photography using IMAX3D camera / CREW SUPPORT GROUP: ISS,,,,,,,,,,
11:40-12:40,FE-2,PHOTO/TV - FLIGHT SPECIFIC: SCENES: P/TV 114 IMAX3D/; SCENES 9-,,,,,,,,,,
,,10,,,,,,,,,,
11:40-12:40,CDR,Physical exercise (RED),,,,,,,,,,
12:20-13:25,FE-1,RSP-F1  transfer,,,,,,,,,,
12:40-13:10,FE-2,IRED canister replacement,,,,,,,,,,
12:40-13:40,CDR,Physical exercise (Velo),,,,,,,,,,
,,Turn off SSRMS power / ROBOTICS GROUP: ROBOTICS: NOMINAL:,,,,,,,,,,
13:30-13:35,FE-2,SSRMS STATE TRANSITIONS: 6.434 SSRMS POWERDOWN TO OFF ON,,,,,,,,,,
,,BOTH STRINGS,,,,,,,,,,
,,Change SSRMS operating base / ROBOTICS GROUP: ROBOTICS:,,,,,,,,,,
13:35-13:40,FE-2,NOMINAL: SSRMS STATE TRANSITIONS: 6.435 SSRMS OPERATING,,,,,,,,,,
,,BASE CHANGE,,,,,,,,,,
,,Reconfigure LAB patch panel for connecting to J400 of PDGF umbilical,,,,,,,,,,
,,(backup set test) / ASSEMBLY OPERATIONS ISS-6A: ASSEMBLY: EPS:,,,,,,,,,,
13:40-13:55,FE-2,,,,,,,,,,,
,,LAB PATCH PANEL RECONFIGURATION FOR FSEGF UMBILICAL J400,,,,,,,,,,
,,CONNECTION/;([STEPS 8][STEPS 1-7] 3,,,,,,,,,,
13:40-13:55,CDR,???-4 / ?????? . Photo session,,,,,,,,,,
13:55-14:55,"CDR, FE-1",LUNCH,,,,,,,,,,
13:55-14:45,FE-2,LUNCH,,,,,,,,,,
,,Lab patch panel reconfiguration for operations with J400 connector of PDGF,,,,,,,,,,
,,umbilical / ASSEMBLY OPERATIONS ISS-6A: ASSEMBLY: EPS: LAB,,,,,,,,,,
14:45-15:00,FE-2,,,,,,,,,,,
,,PATCH PANEL RECONFIGURATION FOR FSEGF UMBILICAL J400,,,,,,,,,,
,,CONNECTION/;([STEPS 8][STEPS 1-7] 5-,,,,,,,,,,
,,MPLM loading-unloading operations / ASSEMBLY OPERATIONS ISS-6A:,,,,,,,,,,
14:55-16:15,CDR,,,,,,,,,,,
,,TRANSFER: XFER LIST: RESUPPLY TRANSFER LIST,,,,,,,,,,
,,Bonner Ball clock ck / Daily Status Check Matrix: Daily Status Check Matrix:,,,,,,,,,,
14:55-15:05,FE-1,,,,,,,,,,,
,,HRF/BBND,,,,,,,,,,
15:00-15:15,FE-2,LUNCH,,,,,,,,,,
Time,Crew,Activity / Ref. to ODF or radiogram,,,,,,,,,,
07:30-07:40,.,Morning inspection,,,,,,,,,,
07:40-08:10,.,Post-sleep,,,,,,,,,,
08:10-08:40,.,Breakfast,,,,,,,,,,
08:40-08:55,.,Daily planning conference via S-band,,,,,,,,,,
08:55-09:25,.,Preparation for work,,,,,,,,,,
09:25-09:40,FE-1,Turn on RWS manipulator,,,,,,,,,,
09:27-09:47,CDR,??????. Photo session / R/G 865,,,,,,,,,,
09:40-09:55,"FE-1, FE-2",Turn on AVU,,,,,,,,,,
09:47-10:12,CDR,"BIOSPHERE. TV downlink / r/g 1001, item 9",,,,,,,,,,
09:55-10:05,"FE-1, FE-2",Prepare SSRMS for operations,,,,,,,,,,
10:05-10:25,"FE-1, FE-2","SSRMS Airlock capture ""dry run""",,,,,,,,,,
,,Life support system (? ? ? ) maintenance on MCC-M go (Replace Elektron,,,,,,,,,,
10:12-10:50,CDR,,,,,,,,,,,
,,"CWC, ???-? [urine container], ???-C? [rinse water container])",,,,,,,,,,
10:25-10:40,"FE-1, FE-2","Airlock demating ""dry run""",,,,,,,,,,
10:40-11:10,"FE-1, FE-2","Airlock installation ""dry run""",,,,,,,,,,
10:50-11:50,CDR,Physical exercise (USOS),,,,,,,,,,
11:10-11:35,"FE-1, FE-2",AVU calibration,,,,,,,,,,
11:35-11:55,"FE-1, FE-2",AVU installation,,,,,,,,,,
11:50-12:50,CDR,Physical exercise (USOS),,,,,,,,,,
11:55-12:10,"FE-1, FE-2",Return SSRMS to nominal location,,,,,,,,,,
12:10-12:20,"FE-1, FE-2",RWS video signal activation and checkout,,,,,,,,,,
12:20-13:50,FE-1,Physical exercise (CEVIS),,,,,,,,,,
12:20-14:40,FE-2,MPLM  unloading-loading operations,,,,,,,,,,
,,"Maintenance closure of Vozdukh vacuum valves / SM ? ? ??  ODF item 6.10,",,,,,,,,,,
12:50-13:10,CDR,,,,,,,,,,,
,,p. 6-7,,,,,,,,,,
13:10-14:25,CDR,,,,,,,,,,,
,,MPLM  unloading-loading operations,,,,,,,,,,
13:50-14:40,FE-1,,,,,,,,,,,
14:25-14:40,CDR,Install covers on portable fire extinguishers in Lab/Node,,,,,,,,,,
14:40-15:40,.,LUNCH,,,,,,,,,,
15:40-17:55,.,MPLM  unloading-loading operations,,,,,,,,,,
17:55-19:55,"CDR, FE-1",CBM CPA installation,,,,,,,,,,
17:55-18:35,FE-2,Reload IMAX film,,,,,,,,,,
18:40-20:05,FE-2,MPLM  unloading-loading operations,,,,,,,,,,
19:55-20:45,"CDR, FE-1",Reconfigure MPLM for repeat ingress,,,,,,,,,,
20:05-21:05,FE-2,Physical exercise (CEVIS),,,,,,,,,,
20:45-21:05,CDR,Interim ingress,,,,,,,,,,
20:45-20:50,FE-1,Bonner Ball maintenance,,,,,,,,,,
21:05-21:20,FE-1,Cargo transfer conference,,,,,,,,,,
21:05-21:35,"CDR, FE-2",,,,,,,,,,,
,,Familiarization with the following day plan,,,,,,,,,,
21:20-21:35,FE-1,,,,,,,,,,,
21:35-21:50,.,Daily evening planning conference via S-band,,,,,,,,,,
21:50-22:20,.,DINNER,,,,,,,,,,
22:20-22:50,.,Daily food ration prep,,,,,,,,,,
22:50-23:30,.,Pre-sleep,,,,,,,,,,
23:30-07:40,.,Sleep,,,,,,,,,,
GMT,Crew,Activity / ODF or R/G,,,,,,,,,,
00:30–00:40,,Morning inspection,,,,,,,,,,
00:40–01:10,,Personal hygiene (post-sleep),,,,,,,,,,
01:10–02:00,,BREAKFAST,,,,,,,,,,
02:00–02:30,,Work prep,,,,,,,,,,
02:30–02:45,,Daily planning conference (morning),,,,,,,,,,
03:00–03:30,CDR,"Deactivation of Vozdukh / RODF ?? / pg. 3-5, item 3.4.4",,,,,,,,,,
03:00–03:15,FE-1,"Deactivation of ? ? ?  / RODF ?? / pg. 3-4, item 3.4.1",,,,,,,,,,
03:00–03:20,FE-2,"Shutdown of SM ventilation / RODF ?? / pg. 3-6 to 3-7, item 3.4.6",,,,,,,,,,
03:15–03:35,FE-1,"Deactivation of ???  and ??? -? / RODF ?? / pg. 3-5, item 3.4.3",,,,,,,,,,
03:20–03:40,FE-2,"Air duct removal / RODF ?? / pg. 3-7, item 3.4.7",,,,,,,,,,
03:30–05:00,CDR,"Activation of Soyuz TM (2R) / RODF ?? ? ? ? ? ? ? ?  ?  ? ? ? ? ? / pg. 51-52, item 4",,,,,,,,,,
03:35–03:45,FE-1,"Deactivation of ? ? ?? / RODF ?? / pg. 3-5, item 3.4.2",,,,,,,,,,
03:40–04:00,FE-2,"Removal of air ducts ??1and ??2 in FGB / RODF ?? / pg. 3-2, item 3.2.2",,,,,,,,,,
03:45–04:05,FE-1,"Deactivation of ??? / RODF ?? / pg. 3-6, item 3.4.5",,,,,,,,,,
04:00–04:15,FE-2,"Removal of protective ring in ?? -? ?? hatch / RODF ?? / pg. 3-8, item 3.4.8",,,,,,,,,,
04:05–04:10,FE-1,"Deactivation of ???  / RODF ?? / pg. 3-8, item 3.4.10",,,,,,,,,,
04:10–04:20,FE-1,"Deactivation of ? ? ?  in FGB / RODF ?? / pg. 3-8, items 3.4.11-3.4.12",,,,,,,,,,
04:15–04:30,FE-2,"Removal of protective ring in ??-? ??  hatch in FGB / RODF ?? / pg. 3-2, item3.2.3",,,,,,,,,,
04:20–04:25,FE-1,"Deactivation of ? ? ?  in FGB / RODF ?? / pg. 3-2, item 3.2.5",,,,,,,,,,
04:25–04:35,FE-1,"Deactivation of ? ???  in SM and ???  in FGB / RODF ?? / pg. 3-8, item 3.4.9,page 3-2, item 3.2.4+r/g 967",,,,,,,,,,
05:00–05:45,"FE-1, FE-2",Stow equipment before re-docking / r/g 982,,,,,,,,,,
05:00–05:05,CDR,"Switch Soyuz-2R ? ? ?  to independent power / RODF ?? ???????  ?  ?????,page 53, item 5.1",,,,,,,,,,
05:05–05:35,CDR,"Deactivation of manual control devices (laptop, Wiener Power, Printer, ? ???) /RODF ??/ pg. 3-9, item 3.4.13",,,,,,,,,,
05:35–05:50,CDR,"Deactivation of ? ? ?  in SM / RODF ??, item 3.4.14, page 3-9",,,,,,,,,,
05:45–06:10,FE-2,"Close ??-??  hatch (PMA1) / RODF ?? item 3.2.1, page 3-1",,,,,,,,,,
05:50–07:20,"CDR, FE-1",Egress ISS/ingress Soyuz for re-docking / r/g 976,,,,,,,,,,
08:00–08:20,,"Ingress Soyuz and close transfer hatches ?? -?? and ??-?? / RODF?? ? ? ? ? ? ? ?  ?  ? ? ? ? ?, item 5.3, page 54, item 5.1, page 53",,,,,,,,,,
08:20–09:50,"CDR, FE-1","Interface leak check / RODF ?? ???????  ?  ????? , item 6, page 55",,,,,,,,,,
09:50–14:40,,Soyuz ops. Meal,,,,,,,,,,
14:40–15:30,"CDR, FE-1","Soyuz/SM interface leak check and pressure equalization / RODF? ????????? ?  ? ? ? ? ?, page 77, item 16 except it. 16.6, page 81, item 17.2",,,,,,,,,,
15:30–15:50,"CDR, FE-1","Opening transfer hatches ??-??  and ?? -? ? , ingressing ? ?? / RODF? ????????? ?  ? ? ? ? ?, page 83, item 18 + r/g 977, step 1",,,,,,,,,,
15:50–16:20,"CDR, FE-1","Install QD screw clamps / RODF ?? page 4-7 to 4-9, item 4.2.2",,,,,,,,,,
16:20–16:35,"CDR, FE-1",Opening transfer hatch ?? -? ?? ?? ? ?  / r/g 977 step 3,,,,,,,,,,
16:35–17:00,"CDR, FE-1","Opening hatches ? ?? -?? and ? ?? -?? / r/g 977 steps 4, 5",,,,,,,,,,
16:35–16:45,FE-2,"Activation of ? ? ?  / RODF ?? page 3-15, item 3.9.1",,,,,,,,,,
16:45–16:55,FE-2,"Activation of ? ? ?  in SM / RODF ?? page 3-15, item 3.9.2",,,,,,,,,,
16:55–17:05,FE-2,"Activation of ? ? ?  in FGB / RODF ?? page 3-12, item 3.7.1",,,,,,,,,,
17:00–17:10,"CDR, FE-1",Opening hatch ? ?? -?? in FGB / r/g 977 step 6,,,,,,,,,,
17:05–17:25,FE-2,"Installation of protective ring in ?? -? ?? hatch / RODF ??/ pg. 3-16, item 3.9.5",,,,,,,,,,
GMT,Crew,Activity / ODF or R/G,,,,,,,,,,
06:00–06:10,,Morning inspection,,,,,,,,,,
06:10–06:40,,Personal hygiene,,,,,,,,,,
06:40–07:30,,BREAKFAST,,,,,,,,,,
07:30–08:00,,Work prep,,,,,,,,,,
08:00–08:15,,Daily planning conference (morning),,,,,,,,,,
08:15–08:55,FE-2,? ? ?  maintenance / Note 1,,,,,,,,,,
08:15–11:15,"CDR, FE-1","Remove Kurs hardware from Progress / RODF ??? ???, pg. 3-1 to 3-5, item 3",,,,,,,,,,
08:55–09:55,FE-2,Physical exercise (USOS plan),,,,,,,,,,
