0,1,2,3,4,5,6,7,8,9
11:00-13:00,CDR,КОБ2 [Internal Thermal Loop] Replaceable Pump Panel 4СПН1 R&R.Tagup with specialists (S-band),,,,,,,
12:00-13:00,FE-2,Physical Exercise (CEVIS),,,,,,,
12:00-13:00,FE-1,Physical Exercise (VELO+RED) day 1,,,,,,,
13:00-14:00,,LUNCH,,,,,,,
14:00-16:00,CDR,КОБ2 [Internal Thermal Loop] Replaceable Pump Panel 4СПН1 R&R.Tagup with specialists (S-band),,,,,,,
14:00-14:15,"FE-1,FE-2",Review Troubleshooting Procedure for LAB Condensate Collection System,,,,,,,
14:15-16:15,FE-1,"Installation of containers in zones 40Б and 42А (panels 213, 215). Tagupwith specialists as necessary (S-band)",,,,,,,
14:15-15:45,FE-2,Deactivation of Contingency Waste Water Dump Filter (CWWDF),,,,,,,
15:45-16:05,FE-2,Prepare sample bags prior to condensate collection system R&R,,,,,,,
16:00-16:20,CDR,IMS Update,,,,,,,
16:05-16:15,FE-2,CSLM-2 - Vacuum Vent Stop 1,,,,,,,
16:15-17:45,FE-1,Physical Exercise (TVIS) day 1,,,,,,,
16:20-17:20,CDR,ISS crew orientation,,,,,,,
16:20-18:00,FE-2,PBA and PFE IMS Audit,,,,,,,
17:20-18:20,CDR,"Physical Exercise (VELO + RED), day 1",,,,,,,
GMT,CREW,ACTIVITY,,,,,,,
06:00-06:20,FE-2,Nutrition: urine collection,,,,,,,
06:00-06:10,"CDR,FE-1",Morning Inspection,,,,,,,
06:10-06:40,Post-sleep,,,,,,,,
06:20-06:25,FE-2,Nutrition: urine sample insertion in MELFI,,,,,,,
06:25-06:35,Morning Inspection,,,,,,,,
06:35-07:05,Post-sleep,,,,,,,,
06:40-07:30,"FE-1,CDR",BREAKFAST,,,,,,,
07:05-07:55,FE-2,,,,,,,,
07:55-08:15,Nutrition and Repository - urine sample stow,,,,,,,,
09:00-10:30,CDR,"Physical Exercise (TVIS), day 2",,,,,,,
10:15-10:30,FE-2,JLP HCTL Status and JLP Shell Temperature Periodic Monitor,,,,,,,
10:30-12:00,FE-2,Physical Exercise (RED),,,,,,,
10:30-12:00,FE-1,"Physical Exercise (TVIS), day 2",,,,,,,
11:00-11:20,CDR,Private Family Conference (Ku + S-band),,,,,,,
12:00-13:00,FE-2,Physical Exercise (TVIS),,,,,,,
12:30-12:50,FE-1,Private Family Conference (Ku + S-band),,,,,,,
13:00-14:00,.,LUNCH,,,,,,,
15:35-15:50,FE-2,Private Family Conference (Ku + S-band),,,,,,,
16:15-17:15,CDR,"Physical Exercise (VELO+RED), day 2",,,,,,,
17:15-17:55,СОЖ Maintenance,,,,,,,,
17:15-18:15,FE-1,"Physical Exercise (VELO+RED), day 2",,,,,,,
17:45-17:50,FE-2,HAM Radio Setup,,,,,,,
17:50-18:00,HAM Radio Session,,,,,,,,
18:10-18:15,"Transferring TVIS, RED, and HRM data to MEC",,,,,,,,
18:15-19:00,.,Evening Work Prep,,,,,,,
19:00-19:15,Daily Planning Conference (S-band),,,,,,,,
19:15-19:30,Evening Work Prep,,,,,,,,
19:30-20:00,DINNER,,,,,,,,
20:00-20:30,Daily Food Prep,,,,,,,,
20:30-21:30,Pre-sleep,,,,,,,,
21:30-06:00,SLEEP,,,,,,,,
GMT,,CREW,,ACTIVITY,,,,,
06:20-06:30,,"FE-2, FE-1",,Morning Inspection,,,,,
,06:20-06:30,,SFPVC,,KAP04 IOP. Prep and first measurement of ocular pressure,,,,
06:20-06:30,,ISS-17,,Morning Inspection,,,,,
06:20-06:30,,CDR,,Integrate Immune -CDR Saliva Sample Collection Hardware Setup,,,,,
06:30-06:35,,,Integrate Immune - CDR Liquid Saliva Sample Collection,,,,,,
06:30-06:35,,FE-2,,Integrate Immune - FE2 1J/A Liquid Saliva Sample Collection,,,,,
06:30-07:00,,ISS-17,,Post-sleep,,,,,
,,,,"KAP07. Plugging to station power outlet, setting up A,B,C samples,",,,,,
,06:30-06:45,,SFPVC,,,,,,
,,,,,activation of oven,,,,
,,,,,,,,,
06:30-06:40,,FE-1,,"KAP07. Photography of A, B, C sample handling",,,,,
06:35-07:05,,"FE-2, CDR",,Post-sleep,,,,,
06:40-07:05,,FE-1,,,,,,,
06:45-07:10,,SFPVC,,,,,,,
07:00-07:50,,ISS-17,,BREAKFAST,,,,,
07:05-07:50,,ISS-16,,,,,,,
,07:10-08:00,,SFPVC,,Breakfast + КАР06,,,,
07:50-08:05,,"ISS-16, 17",,Daily Planning Conference (S-band),,,,,
,08:00-08:05,,,,KAP07. First temperature check,,,,
,,SFPVC,,,,,,,
,08:05-08:10,,,KAP08. Temperature monitoring_1,,,,,
,,,,,,,,,
08:05-08:35,,"ISS-16, 17",,Prep for Work,,,,,
,08:10-08:20,,,,KAP09. Equipment deactivation and questionnaire,,,,
,,SFPVC,,,,,,,
,08:20-08:50,,,KAP02. Daily Ops - Morning (monitoring and video recording),,,,,
,,,,,,,,,
08:35-09:00,,"ISS-17, FE-1",,"ISS-MCC-M TV. TV PAO Cosmonautics Day Greetings from RoskosmosDirector A. N. Perminov / (То= 08:34, Т1, Т2, Т3 from СПП)",,,,,
,,"CDR, FE-2,",,ISS-MCC-M TV. TV PAO Cosmonautics Day Greetings from Roskosmos,,,,,
,08:50-09:00,,,,,,,,
,,,SFPVC,,Director A. N. Perminov,,,,
,,,,,,,,,
09:00-09:40,,FE-2,,Possum P/L photography,,,,,
,09:00-09:10,,,,Tagup with Consultants Team using VHF1,,,,
,,SFPVC,,,,,,,
,09:10-09:20,,,Prep for Work,,,,,
,,,,,,,,,
09:00-09:15,,ISS-17,,Private Medical Conference (S-band),,,,,
09:15-10:10,,"ISS-17, FE-1",,ISS-16/ISS-17 crew handover. (Comm system; Telephone TelegraphCommunications [СТТС]; TV system; PCE (МБРЛ); PCE AntennaFeeder Unit (АФУ МБРЛ); ATV Control Panel),,,,,
,09:20-09:30,,,,KAP04 IOP. Second measurement of ocular pressure,,,,
,,SFPVC,,,,,,,
,09:30-09:50,,,KAP09. Equipment removal from window 9 by VC SFP,,,,,
,,,,,,,,,
09:40-10:10,,FE-2,,Crew Medical Officer (CMO) proficiency training,,,,,
09:45-09:55,,CDR,,CSA-CP battery replacement,,,,,
,09:50-10:20,,SFPVC,,"KAP01. Daily ops (monitoring, photography, questionnaire)",,,,
09:55-10:05,,CDR,,Terminate EMU METOX Regeneration,,,,,
10:05-10:15,,,Start EMU Metox Regeneration,,,,,,
GMT,CREW,ACTIVITY,,,,,,,
06:00-06:10,,Morning Inspection,,,,,,,
06:10-06:40,Post-sleep,,,,,,,,
06:40-07:30,BREAKFAST,,,,,,,,
07:30-08:00,FE-2,Prep for Work,,,,,,,
07:30-08:00,"CDR, FE-1",Docked ATV Ops OBT. Tagup with specialists (S-band),,,,,,,
08:00-08:15,"CDR, FE-2",Daily Planning Conference (S-band),,,,,,,
08:00-08:10,FE-1,,,,,,,,
08:10-09:25,ПрК-ATV Interface Leak Check ATV prep for first ingress,,,,,,,,
08:15-09:15,CDR,Equipment prep for first ATV ingress,,,,,,,
08:15-08:25,FE-2,MSG: activation,,,,,,,
08:25-09:25,ISS crew orientation,,,,,,,,
09:25-09:45,"CDR, FE-1",Open ПрК and ATV transfer hatches,,,,,,,
09:25-09:45,FE-2,DELTA pressure sensor R&R,,,,,,,
09:45-10:10,"CDR, FE-1",Install ССВП [Docking and Internal Transfer System] quick release clamps andfirst ATV ingress,,,,,,,
09:45-11:15,FE-2,Physical Exercise (RED),,,,,,,
10:10-10:30,"CDR, FE-1","ATV air sampling using ИПД for CO, as well as АК-1М and GCS samplers",,,,,,,
10:30-11:00,FE-1,ATV air scrubbing (start),,,,,,,
10:45-11:05,CDR,Nutrition - setting up hardware for urine collection,,,,,,,
11:00-11:15,FE-1,IMS tagup (S-band),,,,,,,
11:05-11:15,CDR,Nutrition: hardware setup,,,,,,,
11:15-11:30,,ISS Crew and ГОГУ (RSA Flight Control Team) Weekly Conference (S-band),,,,,,,
11:30-11:45,FE-2,Food frequency questionnaire,,,,,,,
11:45-12:05,,Crew Conference with Astronaut Office management (S-band),,,,,,,
12:05-13:35,FE-2,Coarsening in Solid-Liquid Mixtures – Hardware preparation,,,,,,,
12:05-13:35,CDR,Physical Exercise (RED),,,,,,,
12:05-13:35,FE-1,"Physical Exercise (TVIS), day 3",,,,,,,
13:35-13:40,FE-2,MSG - power down,,,,,,,
13:35-13:40,CDR,On MCC Go ISS O2 repress from Progress 363 СрПК (start),,,,,,,
13:40-14:40,,LUNCH,,,,,,,
14:40-15:10,FE-2,VCA1(2) TV camera lens flange adjustment,,,,,,,
14:40-14:45,CDR,ISS O2 repress from Progress 363 СрПК (terminate),,,,,,,
14:45-15:45,CDR,Crew departure prep,,,,,,,
14:45-15:45,FE-1,Removal of local temperature sensor switching unit ЛКТ (ТА251МБ) and ROMfrom Progress,,,,,,,
15:10-15:45,FE-2,СОЖ Maintenance,,,,,,,
15:45-16:45,Physical Exercise (CEVIS),,,,,,,,
15:45-16:45,CDR,Physical Exercise (TVIS),,,,,,,
15:45-16:45,FE-1,Dismantle УС-21 container 11Ф615.Б1824-А59-0 from Progress,,,,,,,
GMT,CREW,,ACTIVITY,,,,,,
06:00-06:10,,Morning Inspection,,,,,,,
06:10-06:40,,Post-sleep,,,,,,,
06:40-07:30,,BREAKFAST,,,,,,,
,,"Weekly Housekeeping. Grille cleaning in ВПхО, ВПрК, DC1 В3 and FGB",,,,,,,
07:30-10:30,"CDR, FE-1",ЦВ 2 fan,,,,,,,
,,Inspection of Structural Elements,,,,,,,
07:30-10:30,FE-2,Weekly Housekeeping,,,,,,,
10:30-12:00,FE-2,Physical Exercise (RED),,,,,,,
10:30-12:00,FE-1,"Physical Exercise (TVIS), day 3",,,,,,,
11:10-11:30,CDR,Private Family Conference (Ku + S-band),,,,,,,
12:00-13:00,CDR,"Physical Exercise (VELO+RED), day 3",,,,,,,
12:00-13:00,FE-2,Physical Exercise (CEVIS),,,,,,,
12:40-13:00,FE-1,Private Family Conference (Ku + S-band),,,,,,,
13:15-13:45,,Weekly planning conference (S-band),,,,,,,
13:45-14:45,,LUNCH,,,,,,,
14:45-15:15,FE-2,EarthKAM: hardware deactivation and stowage,,,,,,,
,,Pre-filter cleaning in POTOK-150МК Air Purification System (Vacuum,,,,,,,
14:45-14:50,CDR,cleaner is equipped with narrow nozzle and POTOK unit is powered,,,,,,,
,,down),,,,,,,
15:15-15:30,FE-2,Replacement of EarthKAM equipment kit,,,,,,,
15:30-16:10,FE-2,VOL SCI. OBT,,,,,,,
,,VOL SCI. Installation of Space Linear Acceleration Mass Measurement,,,,,,,
16:10-16:30,FE-2,,,,,,,,
,,Device (SLAMMD),,,,,,,
16:20-17:00,CDR,СОЖ maintenance,,,,,,,
16:30-16:45,FE-2,VOL SCI. SLAMMD test run,,,,,,,
,,VOL SCI. Removal of Space Linear Acceleration Mass Measurement,,,,,,,
16:45-17:05,FE-2,,,,,,,,
,,Device (SLAMMD),,,,,,,
17:00-18:00,FE-1,"Physical Exercise (VELO+RED), day 3",,,,,,,
18:00-19:30,CDR,"Physical Exercise (TVIS), day 3",,,,,,,
19:10-19:15,FE-2,"Transfer of TVIS, RED, and HRM data to MEC",,,,,,,
19:15-19:30,FE-2,Private Psychological Conference (Ku + S-band),,,,,,,
19:30-20:00,,DINNER,,,,,,,
20:00-20:30,,Daily Food Prep,,,,,,,
20:30-21:30,,Pre-sleep,,,,,,,
21:30-06:00,,SLEEP,,,,,,,
,CDR,ECON. Observations and Photography,,,,,,,
TASK LIST,,,,,,,,,
,FE-1,URAGAN. Observations and Photography,,,,,,,
GMT,CREW,ACTIVITY,,,,,,,
06:00-06:10,,Morning Inspection,,,,,,,
06:10-06:25,FE-2,Post-sleep,,,,,,,
06:10-06:20,CDR,"Calf volume measurement(Use kit ИЗОГ (calf volume meter) #84,MedLocker cont. #3)",,,,,,,
06:10-06:20,FE-1,МО-8. Set-up,,,,,,,
06:20-06:40,Post-sleep,,,,,,,,
06:20-06:35,CDR,Body Mass Measurement,,,,,,,
06:25-06:35,FE-2,Calf Volume Measurement,,,,,,,
06:35-07:05,CDR,Post-sleep,,,,,,,
06:35-06:50,FE-2,Body Mass Measurement,,,,,,,
06:40-06:50,FE-1,"Calf volume measurement(Use kit ИЗОГ (calf volume meter) #84,MedLocker cont. #3)",,,,,,,
06:50-07:05,Body Mass Measurement,,,,,,,,
06:50-07:05,FE-2,Post-sleep,,,,,,,
07:05-07:55,"FE-2, CDR",BREAKFAST,,,,,,,
07:05-07:15,FE-1,MO-8. Close-out ops,,,,,,,
07:15-08:15,BREAKFAST,,,,,,,,
07:55-08:15,"FE-2, CDR",Prep for Work,,,,,,,
08:15-08:30,,Daily Planning Conference (S-band),,,,,,,
08:30-08:45,FE-1,Prep for Work,,,,,,,
08:30-09:45,CDR,PNEVMOCARD. Run Experiment. Tagup with specialists (S-band),,,,,,,
08:30-08:40,FE-2,Prep for Work,,,,,,,
08:40-08:50,CWC Audit,,,,,,,,
08:45-09:20,FE-1,Crew time for ISS adaptation and orientation,,,,,,,
09:15-09:30,FE-2,Set up video equipment to record RED exercise,,,,,,,
09:20-09:25,FE-1,HAM radio session set up,,,,,,,
09:25-09:35,Ham radio session,,,,,,,,
09:30-11:00,FE-2,Physical Exercise (RED),,,,,,,
09:35-09:45,FE-1,Crew time for ISS adaptation and orientation,,,,,,,
09:45-11:00,PNEVMOCARD. Experiment ops. Tagup with specialists (S-band),,,,,,,,
09:45-11:15,CDR,"Physical Exercise (TVIS), day 4",,,,,,,
11:00-12:30,FE-1,"Physical Exercise (TVIS), day 4",,,,,,,
11:00-11:10,FE-2,CSLM-2 - Vacuum Vent 2 Stop,,,,,,,
11:10-12:10,Physical Exercise (CEVIS),,,,,,,,
11:15-12:15,CDR,Crew time for ISS adaptation and orientation,,,,,,,
12:10-12:20,FE-2,CSLM-2 - Vacuum Vent 3 Start,,,,,,,
12:20-12:30,FSL Gap Protector Removal,,,,,,,,
12:30-13:30,,LUNCH,,,,,,,
13:30-18:00,FE-2,FSL.Troubleshooting,,,,,,,
GMT,CREW,ACTIVITY,,,,,,,
06:00-06:10,,Morning Inspection,,,,,,,
06:10-06:20,FE-2,Post-sleep,,,,,,,
06:10-06:30,FE-1,Post-sleep,,,,,,,
06:10-06:20,CDR,Hematocrit. Hematocrit test,,,,,,,
06:20-06:30,FE-2,,,,,,,,
06:20-06:50,CDR,Post-sleep,,,,,,,
06:30-06:40,FE-1,Hematocrit. Hematocrit test,,,,,,,
06:30-06:50,FE-2,Post-sleep,,,,,,,
06:40-06:45,FE-1,Hematocrit. Equipment stow,,,,,,,
06:45-06:55,Post-sleep,,,,,,,,
06:50-07:40,"CDR, FE-2",BREAKFAST,,,,,,,
06:55-07:45,FE-1,BREAKFAST,,,,,,,
07:40-08:00,"CDR, FE-2",Prep for Work,,,,,,,
07:45-08:00,FE-1,Prep for Work,,,,,,,
08:00-08:15,,Daily Planning Conference (S-band),,,,,,,
08:15-08:25,FE-2,EarthKAM - lens change,,,,,,,
08:15-08:25,"CDR, FE-1",Prep for Work,,,,,,,
08:25-10:25,,ISS readiness for emergency egress drill. Tagup with specialists (S-band),,,,,,,
10:25-10:55,CDR,Photo imagery of a scuff mark left by the Active Docking Mechanism Probe onthe FGB Passive Mechanism Receiving Cone,,,,,,,
10:25-10:45,FE-1,MATRYOSHKA-R. Lulin-5 readings,,,,,,,
10:30-12:00,FE-2,Physical Exercise (RED),,,,,,,
10:45-11:55,FE-1,"LULIN. Hardware setup, electrical configuration, setup dosimeters for charging.Tagup with specialists (S-band)",,,,,,,
10:55-11:15,CDR,Downlink photo of the Docking Cone internal surface via OCA,,,,,,,
11:30-13:00,Physical Exercise (TVIS) day 1,,,,,,,,
11:55-12:45,FE-1,"Replacing filters in FGB dust collectors ПС1, ПС2. New one is stowed in bag361, ФГБ1ПГО_2_224_1",,,,,,,
12:00-13:00,FE-2,Physical Exercise (CEVIS),,,,,,,
13:00-13:20,,Crew Conference with Astronaut Office management (S-band),,,,,,,
13:20-14:20,,LUNCH,,,,,,,
14:20-14:35,FE-2,CSLM-2 – prepare for experiment ops,,,,,,,
14:20-14:50,FE-1,Counter Measures System (CMS) Harmful Contaminant Measurements in SM(except CO). Tagup with specialists as necessary (S-band),,,,,,,
14:20-15:35,CDR,SM Ventilation System Preventive Maintenance,,,,,,,
14:45-14:55,FE-2,CSLM-2 – start experiment ops,,,,,,,
14:55-17:55,Station Support Computer (SSC) Hard Drive reload,,,,,,,,
15:20-16:20,FE-1,Crew time for ISS adaptation and orientation,,,,,,,
GMT,CREW,ACTIVITY,,,,,,,
06:00-06:10,.,Morning Inspection,,,,,,,
06:10-06:40,Post-sleep,,,,,,,,
06:40-07:30,BREAKFAST,,,,,,,,
07:30-08:00,Prep for Work,,,,,,,,
08:00-08:15,Daily Planning Conference (S-band),,,,,,,,
08:15-08:35,FE-1,Transfer the second set of Translational (РУД) and Rotational HandControllers (РУО) from Soyuz 221 Orbital Module to FGB PILOT ExperimentContainer (ФГБ1ПГО_4_426_1 b/c 007811R). Tagup with specialists (S-band),,,,,,,
08:15-08:20,FE-2,HAM Radio deactivation in SM,,,,,,,
08:20-08:30,Glove Box (MSG): activation,,,,,,,,
08:30-10:00,"CDR,FE-2",ATV prep for cargo transfer ops,,,,,,,
08:35-08:55,FE-1,Photography of Progress 363 Docking Mechanism after ISS Separation,,,,,,,
09:00-10:00,"Physical Exercise (TVIS), day 2",,,,,,,,
10:00-12:00,"CDR,FE-1",Soyuz 221 Descent Procedure OBT Tagup (S-band),,,,,,,
10:00-10:15,FE-2,JLP HCTL Status and Temperature Check,,,,,,,
10:15-10:30,Attaching CSLM-2 D/L Adaptor and Activating CSLM-2,,,,,,,,
10:30-12:00,Physical Exercise (RED),,,,,,,,
12:00-12:40,FE-1,Tagup w/specialists regarding Soyuz 221 loading (S-band),,,,,,,
12:00-13:00,"CDR,FE-2",ATV prep for cargo transfer ops,,,,,,,
12:40-12:45,FE-1,ON MCC GO Switch DC-Soyuz PEV [КВД СО-ТК] to CLOSED position,,,,,,,
12:45-13:00,Remove good Soyuz Orbital Module light fixtures for SM spares,,,,,,,,
13:00-14:00,.,LUNCH,,,,,,,
14:00-14:10,FE-2,CSLM-2. Coarsening in Solid-Liquid Mixtures-2 ECU Programming Stop,,,,,,,
14:00-14:30,"CDR,FE-1",KENTAVR fit check and tagup with specialists (S-band),,,,,,,
14:10-14:45,FE-2,СОЖ Maintenance,,,,,,,
14:30-14:45,"CDR,FE-1",Private medical conference with landing specialists (S-band),,,,,,,
14:45-14:50,FE-2,HAM radio setup,,,,,,,
14:45-15:45,"CDR,FE-1",Crew departure prep,,,,,,,
14:50-15:00,FE-2,HAM radio session,,,,,,,
15:00-15:05,MSG - power down,,,,,,,,
15:05-15:15,Access to OGS rack for activation,,,,,,,,
15:15-15:35,Remove old H2 sensor. Install new H2 sensor and mate electrical connectors.,,,,,,,,
15:35-15:40,Connect O2 hose QDs to ORU for N2 purge,,,,,,,,
15:40-16:40,Physical Exercise (CEVIS),,,,,,,,
15:45-16:05,CDR,GSC ops,,,,,,,
15:45-16:10,FE-1,SM and FGB air sampling using АК-1М sampler,,,,,,,
16:05-17:35,CDR,Physical Exercise (RED),,,,,,,
16:10-16:25,FE-1,Pre-pack ИПД kits for return to the ground,,,,,,,
16:25-16:35,Maintenance Closures of Vozdukh [ABK] valves,,,,,,,,
16:35-18:05,"Physical Exercise (TVIS), day 2",,,,,,,,
GMT,,CREW,,ACTIVITY,,,,,
,,"ISS17, FE-1,",,,,,,,
,16:30-16:40,,,Morning Inspection,,,,,
,,,,SFPVC,,,,,
,,,,,,,,,
16:30-16:35,,"CDR, FE-2",,Integrate Immune - CDR Liquid Saliva Sample Collection,,,,,
16:35-17:10,,"CDR, FE-2",,Post-sleep,,,,,
,,"SFPVC, ISS-17,",,,,,,,
,16:40-17:10,,,Post-sleep,,,,,
,,,,FE-1,,,,,
,,,,,,,,,
17:10-18:00,,,,BREAKFAST,,,,,
,18:00-18:30,,SFPVC,,Prep for Work,,,,
18:00-18:15,,"ISS16,17",,Prep for Work,,,,,
18:15-18:30,,"ISS16,17",,Daily Planning Conference (S-band),,,,,
,18:30-18:45,,SFPVC,,KAP01. Transfer SIS-1 kits from pnl 406 to Soyuz for return,,,,
18:30-18:45,,"ISS16,17",,Prep for Work,,,,,
18:45-19:00,,CDR,,Integrate Immune –Setup of Blood Sample collection hardware,,,,,
18:45-18:50,,CDR-17,,Connect DCP power cable,,,,,
,18:50-19:50,,SFPVC,,"KAP03. Bioreactor deactivation, close out ops, and transfer to Soyuz",,,,
19:00-19:20,,CDR,,Integrate Immune - Blood Sample Collection Operator,,,,,
19:00-20:55,,FE-1,,Stow return equipment in Soyuz,,,,,
19:00-19:20,,FE-2,,Integrate Immune - FE-2 1J/A Blood Sample Collection,,,,,
19:00-19:15,,FE-1-17,,Immune historic photo documentation,,,,,
19:10-19:20,,CDR-17,,KAP03. Bioreactor close out video,,,,,
19:20-19:40,,CDR,,Integrate Immune - Blood Sample Collection,,,,,
19:20-19:40,,FE-2,,Integrate Immune - Blood Sample Collection Operator,,,,,
19:40-20:25,,FE-2,,IWIS Installation,,,,,
19:40-19:50,,CDR,,Integrate Immune – Stow Blood Sample Collection Equipment,,,,,
19:50-20:00,,CDR,,Integrate Immune – Stow Saliva Sample Collection Equipment,,,,,
20:00-20:50,,CDR,,SLEEP – data download and Actiwatch initialization,,,,,
,20:00-20:05,,,SFPVC,,,SLEEP – SFP Actiwatch donning,,
20:25-21:25,,FE-1-17,,Physical Exercise (TVIS),,,,,
20:25-21:55,,FE-2,,Physical Exercise (RED),,,,,
20:55-21:25,,FE-1,,GLYCOPROTEID. MIMETIK-К. KAF. VACCINE. INTERLEUKIN. Transfer toSoyuz,,,,,
21:25-21:40,,FE-1,,CRYSTALLIZER. Deactivation and transfer to Soyuz for return,,,,,
21:25-21:40,,FE-1-17,,"LAKTOLEN, ARIL, ОЧБ. Bioecology kit transfer to Soyuz",,,,,
21:40-22:40,,CDR-17,,Physical Exercise (TVIS),,,,,
21:40-21:50,,FE-1-17,,PLAZMIDA. Remove hardware from the thermostat (+4 С) and transfer toSoyuz,,,,,
21:40-21:55,,FE-1,,SAMPLE. Putting together a kit for return on Soyuz,,,,,
21:50-22:20,,FE-1-17,,BIOEMULSION. Prepare BIOCONT-T for return and transfer bioreactor,,,,,
21:55-22:25,,FE-1,,"GCF-JAXA. Hardware disassembly, photography and transfer to Soyuz",,,,,
22:00-23:00,,FE-2,,Physical Exercise (CEVIS),,,,,
22:20-22:35,,FE-1-17,,CONJUGATION. Retrievals and transfers to Soyuz,,,,,
22:25-22:45,,FE-1,,Transfer to Soyuz КВ-03 container with IMMUNO results,,,,,
22:40-22:50,,CDR-17,,VC Emergency Books (3 copies) Transfer from Soyuz 221 to Soyuz 222Report to MCC,,,,,
GMT,CREW,ACTIVITY,,,,,,,
06:00-06:20,CDR,Nutrition: urine collection,,,,,,,
06:00-06:10,"FE-1,FE-2",Morning Inspection,,,,,,,
06:10-06:40,Post-sleep,,,,,,,,
06:20-06:25,CDR,Nutrition: urine sample insertion in MELFI,,,,,,,
06:25-06:45,Nutrition- stowage of urine collection kit,,,,,,,,
06:40-07:30,"FE-1,FE-2",BREAKFAST,,,,,,,
06:45-06:55,CDR,Morning Inspection,,,,,,,
06:55-07:25,Post-sleep,,,,,,,,
07:25-08:15,BREAKFAST,,,,,,,,
07:30-10:30,FE-2,Weekly Cleaning,,,,,,,
