0,1,2
14:35-15:05,"СОЖ maintenance (СВО, СП counter calldowns) r/g 675",
15:25-15:40,FE-1,Private psychological conference (Ku +S-band)
17:15-18:15,CDR,"Physical exercise (VELO + Load Trainer/Cycle 1), day 4"
18:15-18:45,,Daily plan review
18:45-19:00,,Daily planning conference (S-band)
19:00-19:30,,Report prep
19:30-20:00,,DINNER
20:00-20:30,,Daily food prep
20:30-21:30,,Pre-sleep
21:30-06:00,,SLEEP
Task List,CDR,URAGAN Observation and photo imagery
PLANTS-2. Payload status check,,
DIATOMEA. World ocean observation,,
GMT,CREW,ACTIVITY
06:00-06:10,,Morning inspection
06:10-06:40,,Post-sleep
06:40-07:25,,BREAKFAST
07:25-07:55,,Skills training for the Shuttle R-Bar Pitch Maneuver observation and imagery
08:00-08:15,,Daily planning conference (S-band)
08:15-09:25,CDR,Installation of МБРЛ monoblock РСЕ Z0000 in SM ISS. Tagup (S-band)
08:25-08:40,FE-1,GASMAP HRF - routine health check: power up
08:40-09:40,RS cargo prepack in USOS before Shuttle arrival,
09:40-10:25,Troubleshooting of CBCS power unit for Ku-band,
09:25-11:25,CDR,"Connecting onboard cables, including Antenna Feeder System cables, to МБРЛ(terminate). Tagup (S-band)"
10:25-11:25,FE-1,Physical exercise (CEVIS)
11:25-11:45,CDR,"Connecting telemetry connectors of РСЕ, МБРЛ control panel and БУАП toБИТС2-12"
11:25-11:40,FE-1,
11:40-13:10,FE-1,Physical Exercise (RED)
11:45-13:15,CDR,"Physical Exercise (TVIS), day 4"
13:10-13:20,FE-1,PAO hardware setup
13:15-13:30,CDR,"Mating telemetry connectors of РСЕ, МБРЛ control panel and БУАП to БИТС2-12 (backup)"
13:20-13:30,FE-1,
13:30-14:30,,LUNCH
14:30-14:45,FE-1,GASMAP HRF - health check
14:30-14:35,CDR,On MCC Go ISS O2 repress from Progress 353 СрПК (start)
14:45-15:00,FE-1,Private medical conference (Ku + S-band)
15:05-15:15,,Crew PAO prep
15:15-15:35,,"PAO conference with KNTV-TV journalists, San Jose. (Ku + S-band)"
15:35-15:40,CDR,ISS O2 repress from Progress 353 СрПК (terminate)
15:40-16:40,Installation of Signal Recovery Devices (УВС) 871. Tagup w/specialists (S-band),
16:05-16:35,FE-1,СОЖ maintenance (Inspection of БРПК separator)
16:35-16:55,IMS file prep,
16:40-16:50,CDR,Test comm session via S-band after installation of УВС
16:55-17:10,Private medical conference,
16:55-17:00,FE-1,GASMAP HRF - health check: power down
17:00-18:00,FOOT- hardware assembly,
17:10-18:10,CDR,"Physical exercise (VELO + Load Trainer/Cycle 1), day 4"
18:00-18:30,FE-1,FOOT- calibration prep
18:10-18:35,CDR,Daily plan review
18:30-18:35,FE-1,"Transfer TVIS, RED, and HRM data to MEC"
18:35-18:45,CDR,Report prep
18:35-18:40,FE-1,Connect DCP power cable
18:40-18:45,Daily plan review,
18:45-19:00,,Daily planning conference (S-band)
19:00-19:30,FE-1,Report prep
19:00-19:10,CDR,
19:10-19:40,CDR,Daily food prep
19:30-19:40,FE-1,
19:40-20:10,.,DINNER
20:10-20:30,FE-1,Daily food prep
20:10-20:40,CDR,Pre-sleep
20:30-21:30,FE-1,
20:40-21:05,CDR,"Test 1 to check МБРЛ, МБРЛ antenna feeder, ATV control panel. Tagup (VHF)"
21:05-21:30,Pre-sleep,
21:30-06:00,,SLEEP
GMT,CREW,ACTIVITY
06:00-06:10,.,Morning inspection
06:10-06:40,CDR,Post-sleep
06:10-06:50,FE -1,
06:40-06:50,CDR,Calf volume measurement
06:50-07:00,FE -1,
06:50-07:40,CDR,BREAKFAST
07:00-07:40,FE -1,
07:40-07:55,,Work prep
07:55-08:10,Daily planning conference (S-band),
08:10-08:25,Work prep,
08:25-10:55,CDR,Stow discarded hardware in Progress 352 (with IMS support)
08:25-10:25,FE -1,US hardware setup for stowage in Progress 352
10:25-11:55,Physical exercise (RED),
10:55-11:55,CDR,"Physical Exercise (VELO + Force Loader), day 2"
11:55-12:30,SFOG candle replacement and activation. Report to MCC numbers of theused candle,
11:55-12:55,FE -1,Physical Exercise (TVIS)
12:30-13:00,CDR,СОЖ maintenance
13:00-14:00,,LUNCH
14:00-15:30,Stow discarded hardware in Progress 352 (with IMS support),
15:00-15:05,IP Dropbox restart (Dropbox is not accessible),
15:30-17:00,CDR,"Physical Exercise (TVIS), Day 2"
15:30-16:30,FE -1,US hardware setup for stowage in Progress 352
16:30-17:30,FOOT - hardware assembly,
17:00-17:35,CDR,SFOG candle replacement and activation. Report to MCC numbers of theused candle
17:30-18:00,FE -1,FOOT- calibration prep
17:35-17:55,CDR,IMS file prep
18:00-18:15,FE -1,Questionnaire - log entry
18:05-18:20,CDR,URILUX hardware setup
18:15-18:20,FE -1,"TVIS, RED, and HRM data transfer to MEC"
18:20-18:35,,Daily planning conference (S-band)
18:35-19:00,Daily plan review,
19:00-19:30,Report prep,
19:30-20:00,DINNER,
20:00-20:30,Daily food prep,
20:30-21:30,Pre-sleep,
21:30-06:00,SLEEP,
Task List,CDR,PLANTS. Payload status check
URAGAN Observations and photo imagery,,
GMT,CREW,ACTIVITY
06:00-06:10,CDR,Morning inspection. Check cnctr СМ-У (АСУ) behind pnl 139 for moisture
,FE-1,Morning inspection
06:10-06:40,,Post-sleep
06:40-07:30,,BREAKFAST
07:30-08:05,CDR,SFOG Candle Replacement and Activation. Report to MCC number of candleto be used.
10:40-11:40,FE-1,Physical exercise (CEVIS)
11:05-11:40,CDR,SFOG Candle Replacement and Activation. Report to MCC number of candleto be used.
11:40-13:10,FE-1,Physical Exercise (RED)
11:40-13:10,CDR,Physical Exercise (TVIS) Day 1
13:10-14:10,,LUNCH
15:10-15:20,CDR,Leak check of Elektron Liquid Unit. Tagup with specialists (S-band)  / r/g 621
16:45-17:15,FE-1,"СОЖ maintenance / СВО, СП counter calldowns"
17:15-18:15,CDR,Physical Exercise (VELO+Load Trainer/cycle 1) day 1
18:00-18:15,FE-1,Questionnaire - log entry
18:15-18:45,,Daily plan review
18:45-19:00,,Daily planning conference (S-band)
19:00-19:30,,Report prep
19:30-20:00,,DINNER
20:00-20:30,,Daily food prep
20:30-21:30,,Pre-sleep
21:30-06:00,,SLEEP
Task List,CDR,URAGAN Observations and photo imagery + r/g 635
"PLANTS-2. Payload status check / BE, item 5.14, page 5-28, steps 3 through7",,
GMT,CREW,ACTIVITY
06:00-06:10,,Morning inspection
06:10-06:40,Post-sleep,
06:40-07:30,BREAKFAST,
07:30-10:10,CDR,Weekly housekeeping
07:30-10:30,FE-1,
10:10-10:30,CDR,Private family conference (Ku + S-band)
10:35-11:10,FE-1,SFOG candle replacement and activation Report to MCC part number of usedcandle
11:10-11:30,,Weekly conference with the Program management (S-band)
11:30-13:00,CDR,"Physical exercise (TVIS), day 3"
13:00-14:00,,LUNCH
14:00-14:30,Weekly planning conference (S-band),
14:30-15:05,CDR,SFOG candle replacement and activation Report to MCC part number of usedcandle
14:30-14:45,FE-1,Rebooting all PCS (weekly)
14:45-14:50,Rebooting OCA SSC router,
14:55-15:10,Private family conference (Ku + S-band),
15:10-15:25,CDR,"Motorola phone charging setup, start charge Tagup with specialists as necessary(S-band)"
15:40-15:45,Motorola phone charging - status check,
16:00-16:05,,
16:00-16:30,FE-1,СОЖ maintenance
16:20-16:25,CDR,Motorola phone charging - status check
16:25-16:35,"Motorola phone charging - cleanup, terminate charge",
16:55-17:55,FE-1,Physical exercise (CEVIS)
17:55-19:25,Physical Exercise (RED),
17:55-18:55,CDR,"Physical exercise (VELO + Load Trainer/Cycle 1), day 3"
19:25-19:30,FE-1,"Transfer TVIS, RED, and HRM data to MEC"
19:30-20:00,,DINNER
20:00-20:30,Daily food prep,
20:30-21:30,Pre-sleep,
21:30-06:00,SLEEP,
Task list,CDR,URAGAN Observation and photo imagery
KROMKA-1. Photo imagery,,
ECON. Observation and photo imagery,,
GMT,CREW,ACTIVITY
06:00-06:10,,Morning inspection
06:10-06:40,,Post-sleep
06:40-07:30,,BREAKFAST
07:30-07:50,,Work prep.
07:50-08:05,,Daily planning conference (S-band)
08:05-08:40,CDR,SFOG Candle Replacement and Activation Report to MCC part numberof a used candle
08:05-08:15,FE-1,Work prep
08:15-08:25,FE-1,HRF1 - rack power down
08:25-08:30,FE-1,Charging scopemeter battery before UOP4 troubleshooting ops
08:40-09:10,CDRFE-1 assists,Study of cardiac bioelectric activity at rest (То=08:48). Tagupw/specialists (VHF)
09:10-12:10,CDR,Replacement of БЖ #006 with БЖ#007. Tagup with specialists (S-band)
09:10-09:40,FE-1,Installation of SSU cover
09:40-11:35,Replacement of БЖ #006 with БЖ #007. Tagup with specialists (S-band),
11:35-12:05,СОЖ maintenance,
12:05-12:20,Questionnaire - FE-1 log entry,
12:10-12:20,CDR,On MCC Go Mate/demate Elektron Liquid Unit telemetry connector
12:20-13:20,FE-1,Physical exercise (TVIS)
12:20-12:40,CDR,Replacement of БЖ #006 with БЖ #007. Tagup with specialists (S-band)
12:40-13:40,Physical Exercise (VELO + Load Trainer/cycle 1) day 1,
13:20-14:20,FE-1,LUNCH
13:40-14:30,CDR,LUNCH
14:20-14:30,FE-1,PAO hardware setup/prep
14:30-14:40,,Crew PAO prep
14:40-15:00,,Press conference with CNN (Ku + S-band)
15:00-16:30,FE-1,Physical exercise (RED)
15:00-15:35,CDR,SFOG Candle Replacement and Activation Report to MCC part numberof a used candle
16:00-17:30,CDR,"Physical exercise (TVIS), day 1"
16:30-16:50,FE-1,IMS file prep
16:50-17:20,EarthKAM experiment conference (S-band),
17:20-17:25,"Transfer TVIS, RED, and HRM data to MEC.",
17:30-18:00,,Daily plan review
18:00-18:15,,Report prep
18:15-18:30,,Daily planning conference (S-band)
18:30-18:45,,Report prep
18:45-19:30,,SM and Progress TORU test without commanding Progress Approach &
,,Attitude Control Thrusters [ДПО] (vehicle-to-vehicle test)
19:30-20:00,,DINNER
20:00-20:30,,Daily food prep
20:30-21:30,,Pre-sleep
21:30-06:00,,SLEEP
Task list,,URAGAN Observations and photo imagery
GMT,CREW,ACTIVITY
06:00-06:10,,Morning inspection
06:10-06:40,Post-sleep,
06:40-07:30,BREAKFAST,
07:30-08:00,Work prep,
08:00-08:15,Daily planning conference (S-band),
08:15-08:50,FE-1,Replacement and activation of 2 SFOG candles Report to MCC part number ofa used candle
08:15-08:30,CDR,IMS tagup (S-band)
08:40-10:30,Stowing discarded hardware in Progress 352 (with IMS support),
08:50-09:05,FE-1,Setting up video equipment
09:05-09:10,HAM radio setup,
09:10-09:20,HAM radio session,
09:20-09:25,VTR bypass reconfig,
09:30-11:00,Stowing discarded hardware in Progress 352 (with IMS support),
11:00-12:30,CDR,"Physical exercise (TVIS), day 2"
11:00-11:55,FE-1,Search for MPEV parts
11:55-12:30,Replacement and activation of 2 SFOG candles Report to MCC part number ofa used candle,
12:30-13:30,.,LUNCH
13:30-14:20,CDR,PLASMA-ISS. Set up hardware. Tagup (S-band)
13:45-14:30,FE-1,Troubleshooting UOP4
14:20-14:30,CDR,PLASMA-ISS. Experiment ops. Test. Tagup (S-band)
14:30-17:30,CDR,Transfer of electrolyte from Elektron Liquid Unit (БЖ) #005 to БЖ #007 Tagup(S-band)
14:30-14:50,FE-1,Private conference with high-school students (Ku+ S-band)
14:50-15:05,Food questionnaire,
15:05-15:20,Questionnaire - log entry,
15:20-15:40,СОЖ maintenance,
15:40-16:10,TVIS Monthly Maintenance,
16:10-17:40,Physical Exercise (RED),
17:30-17:50,CDR,PLASMA-ISS. Close-out ops
17:40-18:40,FE-1,Physical Exercise (TVIS)
17:50-18:45,CDR,"Physical Exercise (VELO + Load Trainer-1), Day 2"
18:40-18:45,FE-1,TVIS Weekly Maintenance
18:45-19:00,.,Daily planning conference (S-band)
19:00-19:05,FE-1,"Transfer TVIS, RED, and HRM data to MEC"
19:00-19:30,CDR,Report prep
19:05-19:10,FE-1,Carbon dioxide monitoring
19:10-19:30,Report prep,
19:30-20:00,,DINNER
20:00-20:20,Flight Director/ISS Crew Tagup (S-band),
20:20-20:30,,Daily food prep
20:30-21:30,Pre-sleep,
21:30-06:00,SLEEP,
Task List,FE-1,IMS file prep
CDR,URAGAN,
PLANTS. Payload status check,,
GMT,CREW,
06:00-06:10,,Morning inspection
06:10-06:40,,Post-sleep
06:40-07:30,,BREAKFAST
07:30-07:40,,Work prep
07:40-07:55,,Daily planning conference (S-band)
07:55-08:15,FE-1,Work prep
08:00-08:40,CDR,[АСН-М] raw data prep for downlink via БСР-ТМ Tagup as necessary (S-band)
08:15-08:45,FE-1,PMA3 vacuum hose disassembly
08:40-09:20,CDR,PLASMA-ISS. Hardware Setup. Tagup (S-band)
08:45-11:15,FE-1,Stowing cargo in NOD1P2.
09:20-09:30,CDR,PLASMA Experiment ops
09:30-09:40,CDR,PLASMA-ISS. Close out ops
,,Mating 2 connectors (Х11 and Х12) to Network Channel Controller [КСК] (А-42).
09:40-10:40,CDR,
,,Tagup (S-band)
10:40-10:45,CDR,Preparation to connect БПА to БИТС2-12
10:45-10:55,CDR,On MCC GO Mate Х03 [КСК] telemetry [ТМИ] connector
10:55-11:15,CDR,Closeout ops after КСК (А-42) assembly. Tagup (S-band)/ r/g 658
11:15-12:45,FE-1,Physical Exercise (RED)
11:15-12:45,CDR,"Physical exercise (TVIS), day 3"
12:45-13:45,.,LUNCH
13:45-14:45,CDR,Hard Drive Cloning to LAPTOP 1. Tagup (S-band)
13:45-16:25,FE-1,Progress 353 transfer and IMS ops
,,Installation of aerosol filters in Elektron-VM system line. Tagup as necessary (S-
14:45-15:45,CDR,
,,band)
15:45-16:45,CDR,"Physical exercise (VELO + Load Trainer/Cycle 1), day 3"
16:25-16:55,FE-1,СОЖ maintenance
16:45-17:25,CDR,Test activation of Elektron-VM system on Liquid Unit No. 007. Tagup (S-band)
16:55-17:55,FE-1,Physical Exercise (TVIS)
17:25-17:30,CDR,On MCC Go ISS O2 repress from Progress 353 СрПК (start)
17:30-17:50,CDR,IMS file prep
17:55-18:00,FE-1,"Transfer TVIS, RED, and HRM data to MEC"
18:00-18:30,,Daily plan review
18:30-18:35,CDR,ISS O2 repress from Progress 353 СрПК (terminate)
,,Tagup w/specialists regarding Shuttle (R-Bar Pitch) maneuver photo/video (S-
18:35-18:50,,
,,band)
18:50-19:05,,Daily planning conference (S-band)
19:05-19:30,,Report prep
19:30-20:00,,DINNER
20:00-20:30,,Daily food prep
20:30-21:30,,Pre-sleep
21:30-06:00,,SLEEP
GMT,CREW,
06:00-06:10,,Morning inspection
06:10-06:40,,Post-sleep
06:40-07:30,,BREAKFAST
07:30-08:00,,Work prep
08:00-08:15,,Daily planning conference (S-band)
,,SFOG Candle Replacement and Activation. Report to MCC part numbers of
08:15-08:50,FE-1,
,,used candles
08:15-08:35,,Cleaning БВН screen in Soyuz
,CDR,
08:35-08:50,,IMS tagup (S-band)
08:50-11:50,,TORU Training. Tagup with specialists (S-band)
,FE-1,Physical Exercise (RED)
11:50-13:20,,
,CDR,"Physical exercise (TVIS), day 4"
13:20-14:20,,LUNCH
14:20-14:25,FE-1,Rebooting OCA SSC router
,,SFOG Candle Replacement and Activation. Report to MCC part numbers of
14:20-14:55,CDR,
,,used candles
14:35-14:55,,IMS file prep
,FE-1,
14:55-15:55,,System config for TV downlink via Ku-band
,,Box ТА 985М (Data Bank) prepack for return on the Shuttle Tagup with
15:10-15:55,CDR,
,,specialists (S-band)
15:55-16:25,,Testing video downlink via Ku-band (configuring TV system for docking)
16:25-17:25,CDR,"Physical exercise (VELO + Load Trainer/Cycle 1), day 4"
16:25-16:35,,Laptop A31P deactivation
16:35-16:45,,Formaldehyde Monitoring Kit (FMK) removal
16:45-17:15,FE-1,Crew Medical Officer (CMO) proficiency training
17:15-17:20,,Carbon dioxide monitoring
17:20-18:20,,Physical Exercise (TVIS)
17:25-17:55,,Crew Medical Officer (CMO) proficiency training
,CDR,SFOG Candle Replacement and Activation. Report to MCC part numbers of
17:55-18:30,,
,,used candles
18:20-18:25,,"Transfer TVIS, RED, and HRM data to MEC"
,FE-1,
18:25-18:55,,
,,Report prep
18:30-18:45,,
,CDR,
18:45-18:55,,Vozdukh deactivation
18:55-19:10,,Daily planning conference (S-band)
19:10-19:30,,"ISS Crew / Astronaut Office, Kent Rominger, tagup (S-band)"
19:30-20:00,,DINNER
20:00-20:30,,Daily food prep
20:30-21:30,FE-1,
,,Pre-sleep
20:30-21:15,CDR,
21:15-21:30,CDR,On MCC instructions Switching on Vozdukh to mode 5
21:30-06:00,,SLEEP
Task List,CDR,PLANTS-2. Recharging water tank
GMT,CREW,ACTIVITY
06:00-06:10,.,Morning inspection
06:10-06:40,.,Post-sleep
06:40-07:30,.,BREAKFAST
07:30-08:05,FE-1,SFOG Candle Replacement and Activation. Report to MCC partnumbers of used candles
07:40-09:00,CDR,Weekly housekeeping
08:05-11:05,FE-1,Weekly housekeeping
09:00-09:20,CDR,Replacing HDD s/n 6137 in Laptop1 with HDD s/n 6156 fromLaptop3 (s/n 6101 СМ1РО_3_317) / РСУ item 6.3.6 page 6-9
09:20-11:00,Weekly housekeeping,
11:00-12:00,Physical Exercise (VELO + Force Loader 1) day 1,
11:05-12:05,FE-1,Physical exercise (TVIS)
12:00-12:35,CDR,SFOG Candle Replacement and Activation. Report to MCC partnumbers of used candles
12:30-13:30,FE-1,LUNCH
12:35-13:35,CDR,LUNCH
13:30-13:45,FE-1,Set up for HAM radio session.HAM radio session
13:50-14:20,.,Weekly planning conference (S-band)
14:25-14:40,FE-1,Food questionnaire
15:35-16:10,CDR,SFOG Candle Replacement and Activation. Report to MCC partnumbers of used candles
16:20-16:30,Private medical conference w/physical training specialists (VHF),
16:45-18:15,FE-1,Physical exercise (RED)
16:45-18:15,CDR,Physical Exercise (TVIS) Day 1
18:15-18:35,.,Flight Director/ISS Crew Tagup (S-band)
18:35-18:40,FE-1,"Transfer TVIS, RED, and HRM data to MEC"
18:35-19:05,CDR,СОЖ maintenance
18:40-18:55,FE-1,Rebooting all PCS (weekly)
18:55-19:10,Questionnaire - FE-1 log entry,
19:30-20:00,.,DINNER
20:00-20:30,.,Daily food prep
20:30-21:30,.,Pre-sleep
21:30-06:00,.,SLEEP
Task List,CDR,PLANTS-2. Payload status check
URAGAN Observations and photo imagery (if r/g is available),,
GMT,CREW,ACTIVITY
06:00-06:10,,Morning inspection
06:10-06:40,Post-sleep,
06:40-07:30,BREAKFAST,
07:30-07:45,Work prep,
07:45-08:00,Daily planning conference (S-band),
08:00-08:15,Work prep,
08:15-08:20,FE -1,Mass Constituents Analyzer (MCA) valve opening
08:15-08:45,CDR,Installation of ATV control panel in ISS SM. Tagup with specialists (S-band)
08:20-08:25,FE -1,VTR video tape loading
08:25-08:40,Set up video equipment for video imagery of exercise with RED,
08:40-09:00,IWIS installation,
08:45-12:35,CDR,ATV control panel cable routing. Tagup with specialists (S-band)
09:00-09:05,FE -1,Installation of RSU sensor
09:05-10:35,Seal replacement in internal sampler adapter (IFM),
10:35-12:05,Physical Exercise (RED),
12:05-13:05,Physical exercise (CEVIS),
12:35-14:05,CDR,"Physical Exercise (TVIS), day 3"
13:05-13:10,FE -1,Disconnect RSU sensor
13:10-13:25,IWIS removal,
14:00-14:05,On MCC Go: ISS repress with O2 from Progress 353 СрПК (start),
14:05-15:05,.,LUNCH
15:05-16:35,CDR,Installation and activation of БУАП (Antenna Switching Controller) Tagup withspecialists (S-band)
15:05-15:10,FE -1,ISS O2 repress from Progress 353 СрПК (end)
15:10-15:30,IMS file prep,
15:30-16:00,СОЖ maintenance,
16:00-16:05,HAM radio setup,
16:05-16:15,HAM radio session,
16:25-16:40,Clarissa software activation,
16:40-17:20,Clarissa s/w training,
16:35-17:35,CDR,"Physical exercise (VELO + Load Trainer/Cycle 1), day 3"
17:20-17:25,FE -1,Deactivation of Clarissa s/w
17:25-17:30,"Transfer TVIS, RED, and HRM data to MEC",
17:30-18:25,RS cargo setup in USOS before Shuttle arrival,
17:35-18:25,CDR,Equipment Search to Flush Condensate Line [MOK]
18:25-18:40,FE -1,Questionnaire - log entry
18:40-18:50,Questionnaire,
18:25-18:50,CDR,Daily plan review
18:50-19:05,.,Daily planning conference (S-band)
19:05-19:30,CDR,Report prep
19:05-19:25,FE -1,
19:25-19:30,Daily food prep,
19:30-20:00,.,DINNER
20:00-20:25,FE -1,Daily food prep
20:00-20:30,CDR,
20:25-21:25,FE -1,Pre-sleep
20:30-21:30,CDR,
21:25-21:30,FE -1,Mass Constituents Analyzer (MCA) valve closure
21:30-06:00,.,SLEEP
Task list,CDR,PLANTS-2. Payload status check
GMT,CREW,ACTIVITY
06:00-06:10,,Morning inspection
06:10-06:40,,Post-sleep
06:40-07:30,,BREAKFAST
07:30-08:00,,Work prep
08:00-08:15,,Daily planning conference (S-band)
08:15-08:30,FE-1,Miscible Fluids in Microgravity (MFMG) – P/L Familiarization
08:20-10:40,CDR,"CPC1, Laptop 1 and Laptop 3 Upgrade to New S/W Version Tagup withspecialists (S-band+VHF)"
08:30-08:45,FE-1,Miscible Fluids in Microgravity (MFMG) – crew conference
08:45-09:20,FE-1,SFOG Candle Replacement and Activation  Report to MCC number of candlesto be used
09:25-09:30,FE-1,Set up for HAM radio session
09:30-09:40,FE-1,HAM radio session
09:40-09:55,FE-1,Miscible Fluids in Microgravity (MFMG) - Work Table Install
09:55-10:00,FE-1,Glove Box (MSG): activation
10:00-10:05,FE-1,Video hardware setup for MSG
10:10-10:15,FE-1,Connect DCP power cable
10:15-11:45,FE-1,Physical exercise (RED)
10:40-11:40,CDR,Physical Exercise (VELO+Load Trainer-1) Day 2
11:40-12:10,CDR,СОЖ maintenance
11:45-12:45,FE-1,Physical exercise (TVIS)
12:10-12:40,CDR,Bringing Soyuz 216 Air Duct Assembly to initial config
12:40-13:40,CDR,LUNCH
12:45-13:45,FE-1,LUNCH
13:40-13:45,CDR,Moding Vozdukh to auto control from on-board computer system (start)
13:45-14:30,FE-1,Miscible Fluids in Microgravity (MFMG) - Experiment 4
13:45-14:20,CDR,SFOG Candle Replacement and Activation Report to MCC number of candlesto be used
14:20-14:35,CDR,Moding Vozdukh to auto control from on-board computer system (terminate)
14:30-16:30,FE-1,ACS - LAB window inspection
14:35-14:45,CDR,PLANTS-2. Data downlink
14:45-16:15,CDR,ACS - LAB window inspection
16:15-16:35,CDR,IMS file prep
16:30-16:35,FE-1,Glove Box (MSG): video equipment set up
16:35-16:45,FE-1,MFMG. Hardware stow after Experiment 4
16:35-16:45,CDR,PLANTS-2. Data downlink
16:45-18:15,CDR,Physical Exercise (TVIS) Day 2
16:45-17:15,FE-1,SW review prior to SSRMS ops
17:15-18:15,FE-1,SD#2 cleaning in Node 1
18:15-18:35,,"ISS Crew / Astronaut Office, Kent Rominger, tagup (S-band)"
18:35-18:50,,Daily planning conference (S-band)
18:50-19:00,CDR,Daily plan review
18:55-19:00,FE-1,"Transfer TVIS, RED, and HRM data to MEC"
19:00-19:30,,Report prep
19:30-20:00,,DINNER
20:00-20:30,,Daily food prep
20:30-21:30,,Pre-sleep
21:30-06:00,,SLEEP
Task List,CDR,URAGAN Observation and photo imagery
Urine Transfer from EDV-U to Progress 352 Water Tanks 1 and 2 (equalamounts to both tanks),,
GMT,CREW,ACTIVITY
06:00-06:10,CDR,Morning inspection
06:00-06:20,FE-1,Acoustic dosimeters: equipment setup (operation 1 of 5)
06:10-06:40,CDR,Post-sleep
06:20-06:30,FE-1,Morning inspection
06:30-07:00,Post-sleep,
06:40-07:30,CDR,BREAKFAST
