0,1,2,3,4,5,6,7,8,9,10,11
11:50 - 12:50,. LUNCH,,,,,,,,,,
12:50 - 13:05,. A/G IMS conference via S-band,,,,,,,,,,
13:05 - 13:35,. Weekly planning conference,,,,,,,,,,
13:40 - 16:40,"FE -1, FE -2 Robotics Operations",,,,,,,,,,
16:00 - 17:00,CDR EXERCISE - CYCLO+IRED,,,,,,,,,,
17:00 - 18:30,FE -2 EXERCISE - RED,,,,,,,,,,
17:15 - 18:15,FE -1 EXERCISE - TVIS,,,,,,,,,,
,"? ? ?  Maintenance per MCC’s instructions (CWC replacement for Electron,",,,,,,,,,,
18:30 - 19:10,FE -1,,,,,,,,,,
,EDV-U (urine) and EDV-SV (flush water) replacement),,,,,,,,,,
19:15 - 19:30,. Daily planning conference,,,,,,,,,,
19:30 - 20:00,. Dinner,,,,,,,,,,
20:00 - 20:30,. Daily food ration prep,,,,,,,,,,
20:30 - 21:30,. Pre-sleep,,,,,,,,,,
21:30 - 06:00,. SLEEP,,,,,,,,,,
Time,Crew Activity / Ref. to ODF or radiogram,,,,,,,,,,
06:00-06:10,Morning inspection,,,,,,,,,,
06:10-06:40,Post-sleep,,,,,,,,,,
06:40-07:20,Breakfast,,,,,,,,,,
07:20-07:35,Preparation for work,,,,,,,,,,
07:35-07:50,Daily morning planning conference,,,,,,,,,,
,"CR-1, CR-2,",,,,,,,,,,
07:50-08:10,Audio session with the Ambassador of the Kazakhstan Republic,,,,,,,,,,
,"CR-3, CDR",,,,,,,,,,
,"Life-support system (? ? ? ) maintenance (Replace Elektron CWC, ???-?",,,,,,,,,,
08:15-08:55,FE-1,,,,,,,,,,
,"[urine container], ???-C? [rinse water container] on MCC go)",,,,,,,,,,
,"Air sampling using ??-1?  sampler / SM ? ? ??  ODF / item 11.2, p. 11-3 +",,,,,,,,,,
08:15-08:35,CDR,,,,,,,,,,
,radiogram,,,,,,,,,,
,Air sampling using indicating Draeger air tube samplers (? ? ? ) / SM ? ? ??,,,,,,,,,,
08:35-09:20,CDR,,,,,,,,,,
,"ODF / item 11.1, pp. 11-1 to 11-3 + radiogram",,,,,,,,,,
,"? ? ? ? ?? ?  (""POLIGEN""). Equipment deactivation and pack kits for return /",,,,,,,,,,
08:50-09:10,CR-1,,,,,,,,,,
,"?? / item 3.1, p. 3-1, step 3",,,,,,,,,,
08:55-09:15,FE-1  Lab payload equipment check,,,,,,,,,,
,"? ? ? ? ?? ?  (""POLIGEN""). Transfer equipment to Soyuz. / ?? / item 3.1, p. 3-",,,,,,,,,,
09:10-09:20,CR-1,,,,,,,,,,
,"1, step 4",,,,,,,,,,
,"Monitor sanitary and epidemiological status / MedOps book 2 / item 4.2, p. 4-",,,,,,,,,,
09:10-09:30,CR-2,,,,,,,,,,
,24,,,,,,,,,,
,"Humidity condensate sampling / SM ? ? ?  ODF / item 2.1.11.1, p. 2-7, steps",,,,,,,,,,
09:20-09:50,CDR,,,,,,,,,,
,"3,4",,,,,,,,,,
,"?? ? ? ? ? ? ? ? ? ? ?  (""SOUNDING"") / Video imaging of Kazakhstan /",,,,,,,,,,
09:22-09:42,CR-1,,,,,,,,,,
,radiogram 1056n,,,,,,,,,,
09:30-12:00,CR-3,,,,,,,,,,
,"Stowage of return equipment / Reference materials / item 20.4, pp.147-148;",,,,,,,,,,
09:30-10:40,"CR-2  item 21, pp. 149-155 + radiogram",,,,,,,,,,
09:40-10:40,CR-1,,,,,,,,,,
09:50-10:10,"CDR  ???-4 / ??????  (""VZGLYAD""). Photo session per r/g 1052",,,,,,,,,,
10:10-11:10,CDR  Physical exercise (Velo-2),,,,,,,,,,
10:30-12:00,FE-2  Physical exercise,,,,,,,,,,
10:40-11:10,"CR-1, CR-2  ?????? ? ?  [""DIATOMEYA""] Study of the area of the World Ocean",,,,,,,,,,
11:00-12:00,FE-1  Physical exercise,,,,,,,,,,
,"Stowage of return equipment / Reference materials / item 20.4, pp.147-148;",,,,,,,,,,
11:10-12:00,"CR-1, CR-2  item 21, pp.149-155 + radiogram",,,,,,,,,,
11:10-12:10,CDR  Physical exercise (RED - 2),,,,,,,,,,
12:00-13:30,Lunch,,,,,,,,,,
,"CR-1, CR-2,",,,,,,,,,,
13:30-20:20,Sleep,,,,,,,,,,
,CR-3,,,,,,,,,,
16:55-18:25,FE-1  Physical exercise,,,,,,,,,,
17:25-18:25,FE-2  Physical exercise,,,,,,,,,,
,"CR-1, CR-2,",,,,,,,,,,
20:20-20:50,Post-sleep,,,,,,,,,,
,CR-3,,,,,,,,,,
20:50-21:30,"CR-1, CR-2,CR-3",Breakfast,,,,,,,,,
20:50-21:20,"CDR, FE-1,FE-2",Dinner,,,,,,,,,
21:20-22:20,"CDR, FE-1,FE-2",Pre-sleep,,,,,,,,,
21:30-21:35,CR-1,"Transition Soyuz ??-2R power supply system (? ? ? ) to standalone power /ASCENT AND DESCENT / item 5.1, p. 53",,,,,,,,,
21:30-22:30,"CR-2, CR-3","Soyuz reactivation prior to undocking / ASCENT AND DESCENT / item 4,pp. 51-52",,,,,,,,,
21:35-22:30,CR-1,"Soyuz reactivation prior to undocking / ASCENT AND DESCENT / item 4,pp. 51-52",,,,,,,,,
22:50-23:10,CR-1,"Remove quick-disconnect screw clamps / ?? / item 5.3, p. 5-1",,,,,,,,,
23:10-23:20,,"Close SM-Soyuz transfer hatches / ASCENT AND DESCENT / item 5.1, p.61; item 5.3, p. 54",,,,,,,,,
23:20-00:10,"CR-1, CR-2","Transfer hatch leak check / ASCENT AND DESCENT / p. 55, item 6",,,,,,,,,
23:20-07:50,"CDR, FE-1,FE-2",Sleep,,,,,,,,,
00:10-05:05,"CR-1, CR-2,CR-3",Operations per Soyuz procedures,,,,,,,,,
GMT,Crew,Activity / ODF or R/G,,,,,,,,,
06:00–06:10,,Morning inspection,,,,,,,,,
06:10–06:40,,Personal hygiene (post-sleep),,,,,,,,,
06:40–07:30,,BREAKFAST,,,,,,,,,
07:30–07:45,,Daily planning conference,,,,,,,,,
07:45–08:15,,Work prep,,,,,,,,,
08:15–10:15,FE-2,Setting up IWIS in LAB,,,,,,,,,
08:15–10:15,"CDR, FE-1",Review of EVA checklists,,,,,,,,,
10:15–11:45,CDR,Physical exercise (active rest),,,,,,,,,
10:15–10:40,FE-2,LAB payload status monitoring,,,,,,,,,
10:15–10:45,FE-1,Installation of MDU dosimeters,,,,,,,,,
10:40–11:30,FE-2,INTERACTIONS: questionnaire backup,,,,,,,,,
10:45–12:15,FE-1,Physical exercise (RED),,,,,,,,,
11:45–12:45,CDR,"Test of ? ?051 gas analyzer with ???? and ? ?3 / RODF ? ? ??  ? ? , item 10.8,pages 10-7 to 10-8",,,,,,,,,
11:45–12:15,FE-2,Maintenance of ? ? ?  per MCC GO,,,,,,,,,
12:15–12:25,FE-2,Weekly maintenance of TVIS,,,,,,,,,
12:15–13:15,FE-1,Physical exercise (TVIS),,,,,,,,,
12:45–13:15,CDR,NTXN data collection,,,,,,,,,
12:45–12:55,FE-2,Tightening RED bolts,,,,,,,,,
13:05–13:15,FE-2,Weekly maintenance of TVIS,,,,,,,,,
13:15–14:15,,LUNCH,,,,,,,,,
14:15–14:45,"FE-2, FE-1",Robotics test,,,,,,,,,
14:20–15:10,CDR,"Checkout of ? ? ?  / RODF ? ? ?? , items 2.1.1-2.1.3, pages 2-1 to 2-2",,,,,,,,,
14:45–15:00,FE-2,Periodical inspection of RED,,,,,,,,,
14:55–15:25,FE-1,Taking TLD readings,,,,,,,,,
15:00–16:25,FE-2,Physical exercise (RED),,,,,,,,,
15:25–16:15,"CDR, FE-1(assist)","Study of cardiovascular status under specific exercise load ?0=18:43 / MO Vol. 2,item 3.5, page 3-25",,,,,,,,,
16:15–16:25,FE-1,Downlinking TLD data,,,,,,,,,
16:25–16:55,.,"PAO TV event: Life onboard ISS for Channel 6 / RODF ???  ? ? , pg. 2-2, item 2.2",,,,,,,,,
16:55–17:45,"FE-1, CDR(assist)","Study of cardiovascular status ?0=20:20 / MO Vol. 2, item 3.5, page 3-25",,,,,,,,,
17:15–18:15,FE-2,Physical exercise (TVIS),,,,,,,,,
17:45–18:00,FE-1,Prep TLD data for downlink. Reconfiguring cables after downlink,,,,,,,,,
17:45–18:45,CDR,Physical exercise (active rest),,,,,,,,,
18:15–18:45,"FE-1, FE-2",Work prep,,,,,,,,,
18:45–19:15,,Review plan for the next day,,,,,,,,,
19:15–19:30,,Daily planning conference,,,,,,,,,
19:30–20:00,,DINNER,,,,,,,,,
20:00–20:30,.,Daily food ration prep,,,,,,,,,
20:30–21:30,.,Personal hygiene (pre-sleep),,,,,,,,,
GMT,Crew,,,,,,,,,,
06:00–06:10,Morning inspection,,,,,,,,,,
06:10–06:40,Personal hygiene (post-sleep),,,,,,,,,,
06:40–07:30,BREAKFAST,,,,,,,,,,
07:30–08:00,Work prep,,,,,,,,,,
08:00–08:15,Daily planning conference,,,,,,,,,,
08:15–09:45,"FE-1, CDR Installation of ?? -? ? ? -01 unit (Komparus system) / r/g 997",,,,,,,,,,
08:15–08:45,FE-2 Maintenance of ? ? ?,,,,,,,,,,
08:45–09:10,FE-2 LAB payload status monitoring,,,,,,,,,,
09:15–10:45,FE-2 Physical exercise (RED),,,,,,,,,,
09:45–10:45,"CDR, FE-1 Installation of docking mechanism in Progress / RODF ??? ???, it. 2.2, pg. 2-2",,,,,,,,,,
10:45–11:45,FE-2 Physical exercise (TVIS),,,,,,,,,,
10:45–12:15,FE-1 Physical exercise (RED),,,,,,,,,,
10:45–11:45,CDR Physical exercise (cycle),,,,,,,,,,
11:45–12:15,FE-2 CDR IMS ops / r/g 1253,,,,,,,,,,
12:15–13:15,LUNCH,,,,,,,,,,
13:15–16:45,"FE-2, FE-1 ROBOTICS-MSS-????",,,,,,,,,,
13:25–13:35,CDR Inspection of ????-1 separator,,,,,,,,,,
13:35–13:45,"CDR Charging Camcorder battery / RODF ??? ? ? , page 2-2, item 2.2",,,,,,,,,,
13:45–14:15,CDR Prep ? ??  for EVA. Relocation of PLASMA CRYSTAL-3 payload / r/g 1242,,,,,,,,,,
,Changeout of ? ?5-15? microcompressor (Vozdukh system) / RODF ???,,,,,,,,,,
14:15–15:45,CDR,,,,,,,,,,
,"?????  ? ? , item 6.2.7, page 6-18 +r/g 1249",,,,,,,,,,
15:45–16:45,CDR Physical exercise (TVIS-3),,,,,,,,,,
16:45–17:15,CDR Physical exercise (RED-3),,,,,,,,,,
16:45–17:45,FE-1 Physical exercise (TVIS),,,,,,,,,,
16:45–17:15,FE-2 Activation of EXPPCS (Experiment of Physics of Colloids in Space),,,,,,,,,,
17:15–17:55,CDR Switching ??6 battery to storage mode / r/g 1250,,,,,,,,,,
,Installation of noise protection cover on EXPPCS rack (Experiment of Physics of,,,,,,,,,,
17:15–17:35,FE-2,,,,,,,,,,
,Colloids in Space),,,,,,,,,,
17:45–18:05,FE-2 Prep delta file for downlink,,,,,,,,,,
,TV conference with experts from the Preventive Medicine Center / RODF ???,,,,,,,,,,
18:05–18:35,,,,,,,,,,,
,"? ? , item 2.4, pages 2-5 to 2-6 +r/g 1240",,,,,,,,,,
18:35–18:55,Report prep,,,,,,,,,,
18:55–19:15,Review plan for the next day,,,,,,,,,,
19:15–19:30,Daily planning conference,,,,,,,,,,
19:30–20:00,DINNER,,,,,,,,,,
20:00–20:30,Daily food ration prep,,,,,,,,,,
20:30–21:30,Personal hygiene (pre-sleep),,,,,,,,,,
21:30–06:00,SLEEP,,,,,,,,,,
TIME,CREW,ACTIVITY/ODF or radiogram,,,,,,,,,
06:00 - 06:10,.,ISS morning inspection,,,,,,,,,
06:10 - 06:40,.,Post Sleep,,,,,,,,,
06:40 - 07:30,.,Breakfast,,,,,,,,,
07:30 - 08:00,.,Prep for work,,,,,,,,,
08:02 - 08:17,.,DPC via S-Band,,,,,,,,,
08:30 - 09:15,FE-1,TVIS Video Survey / ? ? ? _2923,,,,,,,,,
08:15 - 08:30,FE -2,SSC Daily Maintenance,,,,,,,,,
,,MEC card swap/INCREMENT_2_US_SODF: Integrated Medical,,,,,,,,,
08:35 - 08:50,FE -2,,,,,,,,,,
,,Group: TVIS - Protocol SWAP,,,,,,,,,
09:00 - 10:00,FE -2,"Physical Exercise, Active Rest",,,,,,,,,
09:15 - 10:45,FE -1,"Physical Exercise, Active Rest",,,,,,,,,
09:00 - 09:15,CDR,"URAGAN, visual observations / R/G 1112",,,,,,,,,
09:50 - 10:20,CDR,Replacement of urine-receptacle in Toilet/ R/G1116,,,,,,,,,
10:00 - 10:30,FE -2,MEC Exercise Data Downlink,,,,,,,,,
,,"ECLSS maintenance by MCC GO (CWC, ???-?, ???-C?",,,,,,,,,
10:20 - 11:00,CDR,,,,,,,,,,
,,Replacement ),,,,,,,,,
10:55 - 11:20,FE -1,LAB PL Status/Monitor,,,,,,,,,
11:00 - 11:30,CDR,SOYUZ Window Inspection/ R/G1119,,,,,,,,,
11:30 - 11:50,,7A TAGUP via S-Band,,,,,,,,,
12:00 - 13:00,.,LUNCH,,,,,,,,,
13:05 - 13:25,,WPC via S-Band,,,,,,,,,
13:30 - 15:30,CDR,"Wet Cleaning/ ODF Medical Support ? ?  Book 1.p 2-2, para.2.2.1.",,,,,,,,,
13:30 -16:30,"FE -1, FE -2",Back Up MDM S/U/ ? ? ? _2853,,,,,,,,,
16:15 - 17:15,CDR,"Physical Exercises, VELO-1",,,,,,,,,
16:55 -17:15,FE -1,Prep of Delta File (IMS),,,,,,,,,
16:45 - 18:15,FE -2,"Physical Exercise, Active Rest",,,,,,,,,
17:15 - 18:15,FE -1,"Physical Exercise, Active Rest",,,,,,,,,
17:15 - 18:15,CDR,Physical Exercise. RED-1,,,,,,,,,
18:15 - 18:45,.,Fam with next day's plan,,,,,,,,,
18:45 - 19:30,.,Prep of Report,,,,,,,,,
19:05 - 19:20,.,DPC via S-Band,,,,,,,,,
19:30 - 19:55,FE -1,,,,,,,,,,
,,Dinner,,,,,,,,,
19:30 - 20:00,CDR FE -2,,,,,,,,,,
19:55 - 20:15,FE -1,"Ham Radio Ops, Parkway Central School",,,,,,,,,
20:00 - 20:30,FE -2 CDR,,,,,,,,,,
,,Prep of Daily Food Ration,,,,,,,,,
20:15 - 20:30,FE -1,,,,,,,,,,
20:30 - 21:30,.,Pre Sleep,,,,,,,,,
21:30 - 06:00,.,SLEEP,,,,,,,,,
GMT,Crew,Activity / ODF or R/G,,,,,,,,,
06:00–06:10,,Morning inspection,,,,,,,,,
06:10–06:40,,Personal hygiene (post-sleep),,,,,,,,,
06:40–06:50,CDR,"Charging camcorder battery / RODF ???  ? ? , page 2-2, item 2.2",,,,,,,,,
06:40–07:30,"FE-1, FE-2",BREAKFAST,,,,,,,,,
06:50–07:40,CDR,,,,,,,,,,
07:30–08:00,"FE-2, FE-1",Work prep,,,,,,,,,
07:40–08:00,CDR,,,,,,,,,,
08:00–08:15,,Daily planning conference via S-band,,,,,,,,,
08:15–08:30,FE-1,"TORSO-CPDS-EXFER-END (prep TORSO data for downlink, demate cables)",,,,,,,,,
08:15–08:30,FE-2,Daily maintenance of SSC,,,,,,,,,
08:25–08:40,CDR,????? ?  (Hurricane): Earth observations / r/g 1126,,,,,,,,,
08:30–09:30,"FE-1, FE-2",WMS IFM (scheduled maintenance of water management system),,,,,,,,,
09:03–09:18,CDR,Observations of sunset afterglow / r/g 1131,,,,,,,,,
09:20–10:20,CDR,Physical exercise (cycle-1),,,,,,,,,
09:30–11:30,FE-1,C&C MDM ?3 partial memory download / OCA_3054,,,,,,,,,
09:30–12:30,FE-2,,,,,,,,,,
10:28–10:53,CDR,Videotaping of sunset afterglow / r/g 1131,,,,,,,,,
11:30–12:30,FE-1,Physical exercise (USOS plan),,,,,,,,,
11:25–11:55,CDR,DIATOMEA: study of the World Ocean / r/g 1144,,,,,,,,,
11:55–12:35,CDR,Maintenance of ? ? ?  per MCC GO,,,,,,,,,
12:35–13:30,CDR,LUNCH,,,,,,,,,
12:30–13:30,"FE-1, FE-2",,,,,,,,,,
13:30–13:40,FE-1,Transfer of DOSMAP TLD data to HRF PC for subsequent downlink / DOSMAP -DOSIMETRIC MAPPING: Nominals: TLD Downloa,,,,,,,,,
13:45–16:45,CDR,Replacing Kurs (????-? ) cable in SM to support DC-1 docking / r/g 1133,,,,,,,,,
14:00–14:20,FE-2,LAB payload status monitoring,,,,,,,,,
14:05–14:20,FE-1,Preparation of TLD data for downlink. Disconnecting cables after downlink /DOSMAP - DOSIMETRIC MAPPING: Nominals: TLD Download / (Perform steps7-11),,,,,,,,,
14:20–14:35,"FE-1, FE-2",PAO-TV,,,,,,,,,
14:35–16:35,FE-2,Physical exercise (USOS plan),,,,,,,,,
14:45–16:15,FE-1,Replacing Kurs (????-? ) cable in SM to support DC-1 docking / r/g 1133,,,,,,,,,
16:15–16:45,FE-1,"MDU Recharging and CIU Data Download / MDU.DOSMAP - DOSIMETRICMAPPING: Nominals: MDU Recharging and CIU Data Download / (Performsteps 1, and 4 through 8)",,,,,,,,,
16:35–17:25,FE-2,Interactions experiment: questionnaire backup / NTXN - Interactions: Nominals:HRF Interactions Experiment Operations / (Perform steps 1.2-7.),,,,,,,,,
16:45–18:15,CDR,Physical exercise (RED-1),,,,,,,,,
16:45–17:15,FE-1,DOSMAP MDU LOCATE,,,,,,,,,
17:15–18:15,FE-1,Physical exercise (USOS plan),,,,,,,,,
17:25–17:45,FE-2,Prep delta file for downlink,,,,,,,,,
17:45–18:15,FE-2,Download of CEVIS data into MEC / INTEGRATED MEDICAL GROUP: MEDOPS: NOMINAL: CMS / MEC - EXERCISE DATA DOWNLOAD TO MEC,,,,,,,,,
18:15–18:45,,Report prep,,,,,,,,,
18:45–19:15,,Review plan for the next day,,,,,,,,,
19:15–19:30,,Daily planning conference via S-band,,,,,,,,,
19:30–20:00,,DINNER,,,,,,,,,
19:55–20:10,,FD/ISS crew conference via S-band,,,,,,,,,
20:10–20:30,,Daily food ration prep,,,,,,,,,
20:30–21:30,"FE-2, FE-1",Personal hygiene (pre-sleep),,,,,,,,,
20:35–20:45,CDR,Mate ?? ? -connector to ????2-12 / r/g 1133,,,,,,,,,
20:45–21:05,CDR,Replacing Kurs (????-? ) cable in SM to support DC-1 docking (conclusion) /r/g 1133,,,,,,,,,
21:05–21:30,CDR,Personal hygiene (pre-sleep),,,,,,,,,
21:30–06:00,,SLEEP,,,,,,,,,
GMT  05/02/01,,,,,,,,,,,
DAY/NIGHT,,,,,,,,,,,
I ORBIT,,1993,1994,,1996,,,,,,
S DAILY ORBIT,,2,3,,5,,,,,,
KU,,,,,,,,,,,
S TDRS,,,,,,,,,,,
S-BD,,,,,,,,,,,
M,,,,,,,,,,,
C,,,,,,,,,,,
C,,,,,,,,,,,
ALL VHFISS GND,,ALL VHF,ALL VHF,,ALL VHF,,,,,,
ISS Attitude,,,,,,,,,,,
ISS Power,,,,,,,,,,,
ISS CDR,,PREP-WORK DPC KHT-4,♣ ⊕ ШУМОМЕР-2,,ШУМОМЕР-D/L MIDDAY-MEAL,,,,,,
I,,,,,,,,,,,
S FE-1,, ♥ DPC,,,EXERCISE-RED MIDDAY-MEAL,,,,,,
S,,,,,,,,,,,
FE-2,,PREP-WORK DPC,,,MIDDAY-MEAL,,,,,,
КИ-1,,PREP-WORK DPC KHT-4,♠,,φ MIDDAY-MEAL,,,,,,
S,,,,,,,,,,,
O,,,,,,,,,,,
Y КИ-2,,∇ ◊ DPC KHT-4,ТЕХ-20-КОМП1-START,,∗ MIDDAY-MEAL,,,,,,
U,,,,,,,,,,,
Z,,,,,,,,,,,
КИ-3,,PREP-WORK DPC,,,MIDDAY-MEAL,,,,,,
K OCA-MAIL-SYNC,,,,,,,,,,,
u,,,,,,,,,,,
S AR-MCA ZERO-CAL,,AR-MCA ZERO-CAL,,,,,,,,,
B AR-CDRA-ACT,,,AR-CDRA-ACT,,,,,,,,
D,,,,,,,,,,,
S,,,,,,,,,,,
Y,,,,,,,,,,,
S,,,,,,,,,,,
BONNER BALL CLCT,,,,,,,,,,,
CGBA PROCESSING,,,,,,,,,,,
CPCG-H CRYSTAL GRWTH,,,,,,,,,,,
P DOSMAP DATA CLCT,,,,,,,,,,,
L EXPRESS RACK 1 OPS,,,,,,,,,,,
PCG-STES 010 PWR,,,,,,,,,,,
PCG-STES 009 GROWTH,,,,,,,,,,,
EARTHKAM OPERATION,,,,,,,,,,,
R,,,,,,,,,,,
S,,,,,,,,,,,
,,AR-CNCT-QD,♣СОГС-АК-1М-SMPL,,φSOUND,,,,,,
,,♥PREP-WORK,⊕СОГС-БМП-Ф1-MNT,,∗ТЕХ-20-CLS,,,,,,
,,∇PREP-WORK,♠SOUND,,,,,,,,
NOTES,,◊ТЕХ-20-ЭКС-PREP,,,,,,,,,
,,122-1,,,,,,,,,
GMT  05/02/01,,,,,,,,,,,
DAY/NIGHT,,,,,,,,,,,
I ORBIT,,,,,2001,,,,,,
S DAILY ORBIT,,,,,10,,,,,,
KU,,,,,,,,,,,
S TDRS,,,,,,,,,,,
S-BD,,,,,,,,,,,
M,,,,,,,,,,,
C,,,,,,,,,,,
C,,,,,,,,,,,
ALL VHFISS GND,,,,,,,,,,,
ISS Attitude,,,,,,,,,,,
ISS Power,,,,,,,,,,,
ISS CDR,,,,,PRESLEEP DPC,,,,,,
I,,,,,,,,,,,
S FE-1,,,,,PRESLEEP DPC,,,,,,
S,,,,,,,,,,,
FE-2,,,,,PRESLEEP DPC,,,,,,
КИ-1,,,,,PRESLEEP  DPC,,,,,,
S,,,,,,,,,,,
O,,,,,,,,,,,
Y КИ-2,,,,,PRESLEEP  DPC,,,,,,
U,,,,,,,,,,,
Z,,,,,,,,,,,
КИ-3,,,,,PRESLEEP DPC,,,,,,
K,,,,,,,,,,,
u,,,,,,,,,,,
S SPS-DDCU-BDT/DMP,,,,,SPS-DDCU-BDT/DMP,,,,,,
B SPS-RPCM-BDT/DMP,,,,,,,,,,,
D CHECS-DATA-D/L,,,,,,,,,,,
S,,,,,,,,,,,
Y,,,,,,,,,,,
S,,,,,,,,,,,
BONNER BALL CLCT,,,,,,,,,,,
CGBA PROCESSING,,,,,,,,,,,
CPCG-H CRYSTAL GRWTH,,,,,,,,,,,
P DOSMAP DATA CLCT,,,,,,,,,,,
L EXPRESS RACK 1 OPS,,,,,,,,,,,
PCG-STES 010 PWR,,,,,,,,,,,
PCG-STES 009 GROWTH,,,,,,,,,,,
EARTHKAM OPERATION,,,,,,,,,,,
R,,,,,,,,,,,
S,,,,,,,,,,,
,,,,,,,,,,,
NOTES,,,,,,,,,,,
,,,,,ISS 2 BASIC,,,,,,
GMT  05/02/01,,,,,,,,,,,
DAY/NIGHT,,,,,,,,,,,
I ORBIT,,,,2005,,,,,,,
S DAILY ORBIT,,,,14,,,,,,,
KU,,,,,,,,,,,
S TDRS,,,,,,,,,,,
S-BD,,,,,,,,,,,
M,,,,,,,,,,,
C,,,,,,,,,,,
C,,,,,,,,,,,
ALL VHFISS GND,,,,ALL VHF,,,,,,,
ISS Attitude,,,,,,,,,,,
ISS Power,,,,,,,,,,,
