0,1,2,3,4,5,6,7,8
16:15-16:30,,FE-1-16,,"CONJUGATION. Process activation, placing in Cryogem-03M at +29 deg.Tagup with specialists (S-band)",,,,
16:30-17:30,,FE-1-16,,Installation of Local Temperature Sensor Switching Unit [ЛКТ] (ТА251МБ)#1419532185 and ROM #1418531907 (СМ_307_1) in the Soyuz 221Habitation Module,,,,
16:40-18:20,,"FE-2, CDR-16",,E15 to E16 Crew Handover,,,,
17:10-17:40,,FE-1,,CELLS IN SPACE. Photo/video of 12 FPA fixation,,,,
17:25-17:30,,CDR,,On MCC GO ISS O2 repress from Progress 361 СрПК (start),,,,
17:30-18:30,,"CDR, FE-1-16",,ODF replacement,,,,
17:40-18:50,,FE-1,,PNEVMOCARD. Experiment ops,,,,
,17:50-18:00,,SFPVC,,CELLS IN SPACE. Set up FPA containers in KUBIK-AMBER at +37 deg C,,,
,18:00-18:10,,SFPVC,,CELLS IN SPACE. Stow 12 FPA containers in Nomex bag,,,
,18:10-18:20,,SFPVC,,Tagup with Consultants Team via VHF1,,,
18:20-18:30,,CDR-16,,PAO hardware setup,,,,
18:20-18:45,,FE-2,,Scheduled maintenance of Compound Specific Analyzer- CombustionProducts (CSA-CP),,,,
18:30-18:35,,CDR,,ISS O2 repress using Progress 361 СрПК (terminate).,,,,
18:30-18:40,,ISS-16,,Crew prep for PAO,,,,
18:40-19:00,,ISS-16,,PAO event Downlink of Expedition 16 message for NASA (S + Ku-band),,,,
18:45-19:00,,FE-2,,TROUBLESHOOTING EMU CHARGER 2,,,,
19:00-19:15,,FE-1,,CONJUGATION. Photography of RECOMB-K ops,,,,
19:00-20:00,,CDR,,"Physical Exercise (TVIS), Day 3",,,,
GMT,CREW,ACTIVITY,,,,,,
06:00-06:10,"ISS-15, SFPVC",Morning Inspection,,,,,,
06:00-06:20,CDR-16,Nutrition: urine collection,,,,,,
06:00-06:20,FE-1-16,SONOCARD. Experiment (termination),,,,,,
06:10-06:40,"CDR, FE-1,SFPVC",Post-sleep,,,,,,
06:10-06:30,FE-2,Post-sleep,,,,,,
06:20-06:30,CDR-16,Nutrition: urine sample 1 insertion in MELFI,,,,,,
06:20-06:50,FE-1-16,Post-sleep,,,,,,
06:30-06:45,FE-2,"Nutrition: blood sample collection for analysis, CDR is operator",,,,,,
06:30-06:50,CDR-16,NUTR/REP - blood draw,,,,,,
06:40-07:30,"CDR,FE-1, SFPVC",BREAKFAST,,,,,,
06:45-06:55,FE-2,Post-sleep,,,,,,
06:50-07:00,CDR-16,Nutrition: setting up and loading refrigerator centrifuge,,,,,,
06:50-07:40,FE-1-16,BREAKFAST,,,,,,
06:55-07:45,FE-2,BREAKFAST,,,,,,
07:00-07:10,CDR-16,Nutrition: refrigerator centrifuge config,,,,,,
07:10-07:40,CDR-16,Post-sleep,,,,,,
07:30-08:05,"CDR, FE-1,SFPVC",Prep for Work,,,,,,
07:40-08:00,CDR-16,Nutrition: blood sample insertion in MELFI,,,,,,
07:40-08:05,FE-1-16,SONOCARD. Copy data on RSE-MED Laptop,,,,,,
07:45-08:05,FE-2,Prep for Work,,,,,,
08:05-08:20,"ISS-15, CDR-16,FE-1-16",Daily Planning Conference (S-band),,,,,,
08:20-08:30,FE-2,O2 level check,,,,,,
08:20-08:40,CDR-16,Nutrition: urine collection,,,,,,
08:20-08:40,FE-1-16,Prep for Work,,,,,,
08:20-09:15,CDR,Stow Hardware for disposal in Soyuz,,,,,,
08:20-09:00,FE-1,SAMPLE-Culture sampling,,,,,,
08:40-08:45,CDR-16,Nutrition: urine sample insertion in MELFI,,,,,,
08:40-09:10,FE-1-16,PGB (Portable Glove-Box). Teardown and stowage ФГБ1ПГО_4_424_1,,,,,,
08:55-09:10,FE-2,Questionnaire - log entry,,,,,,
09:00-09:10,CDR-16,Nutrition: cleaning refrigerated centrifuge and equipment stow,,,,,,
09:10-09:20,FE-1-16,CONJUGATION. Replace cold packs in Biocont-Т,,,,,,
09:10-10:10,FE-1,Dismantling ЛКТ (ТА251МБ) and ROM in the Soyuz 220 Orbital Module.Report to MCC or update stowage location in IMS),,,,,,
09:10-10:10,FE-2,Physical Exercise (TVIS),,,,,,
09:10-10:00,CDR-16,BREAKFAST,,,,,,
09:20-10:10,"FE-1-16, CDR",E15 to E16 Crew Handover,,,,,,
GMT,CREW,ACTIVITY,,,,,,
05:10-05:15,CDR,Immune - collection of wet saliva,,,,,,
05:10-05:15,FE-2-16,Immune - collection of wet saliva,,,,,,
05:10-05:20,"FE-2,FE-1",Morning inspection,,,,,,
05:15-05:45,CDR,Post-sleep,,,,,,
05:15-05:45,FE-2-16,BREAKFAST,,,,,,
05:20-05:50,"FE-1,FE-2",Post-sleep,,,,,,
05:45-06:30,CDR,BREAKFAST,,,,,,
05:45-06:55,"FE-2-16, STS",EVA - break/pre-breathe,,,,,,
05:50-06:40,"FE-1,FE-2",BREAKFAST,,,,,,
06:30-06:55,CDR,EVA - break/pre-breathe,,,,,,
06:40-07:10,FE-2,Prep for work,,,,,,
06:40-06:55,FE-1,Daily Planning Conference (УКВ),,,,,,
06:55-08:25,"CDR,FE-2-16, STS",Prep for EVA,,,,,,
06:55-07:00,FE-1,HAM radio powerdown in FGB,,,,,,
07:00-07:25,Prep for work,,,,,,,
07:25-08:25,Crew Familiarization with ISS,,,,,,,
08:25-08:40,"CDR,FE-2-16, STS",EMU purge,,,,,,
08:25-08:45,FE-1,IWIS data copy,,,,,,
08:40-09:30,"CDR,FE-2-16, STS",Pre-breathe in EMU,,,,,,
08:45-09:00,FE-1,IWIS installation,,,,,,
09:00-09:15,Verify ИП-1 sensor installation,,,,,,,
09:30-11:00,Periodic Fitness Evaluation -NOM OPS,,,,,,,
09:30-10:00,"CDR,FE-2-16, STS",Crew Lock depress,,,,,,
09:20-10:20,FE-2,Physical Exercise (TVIS),,,,,,
10:00-10:05,"FE-2-16,CDR, STS",Terminate pre-breathe and C/L egress,,,,,,
10:05-10:20,"FE-2-16, STS",Crew Lock egress,,,,,,
10:05-10:35,CDR (assist),Periodic Fitness Evaluation -NOM OPS,,,,,,
10:20-10:50,FE-2,OCA router Version 2 Install and check-out,,,,,,
10:20-11:00,FE-2-16,Disconnect  Z1 from P6 cable bundle,,,,,,
11:00-12:15,Disconnect P6 from Z1,,,,,,,
11:15-12:15,"CDR,FE-1,FE-2",LUNCH,,,,,,
12:15-13:25,FE-1,Removal of fastening bolts,,,,,,
12:15-13:15,CDR,Removal of aft NPRV Node 2 valve and replacement with IMV valve,,,,,,
12:15-13:05,FE-2-16,SFU-config,,,,,,
13:05-13:15,MBSU jumper cable reconfiguration,,,,,,,
13:15-13:45,S04B-C RPCM R&R and power off/on,,,,,,,
13:20-14:20,FE-2,Node 2 internal hatch window cover install,,,,,,
13:25-13:55,FE-1,,,,,,,
13:45-15:00,FE-2-16,PDGF installation on Node 2,,,,,,
13:50-15:20,CDR,Physical Exercise (CEVIS),,,,,,
13:55-14:25,FE-1,Photo imagery of a mark left by the Active Docking Mechanism Pin onthe FGB Passive Mechanism Receiving Cone,,,,,,
14:25-14:35,Docking Cone internal surface photo downlink via OCA,,,,,,,
14:35-15:35,FE-2,Centerline Berthing Camera System (CBCS) installation and Checkout,,,,,,
GMT,CREW,ACTIVITY,,,,,,
06:00-06:10,"CDR, FE-1",Morning Inspection,,,,,,
06:00-06:30,FE-2,Nutrition: urine collection and sample insertion 1 into MELFI,,,,,,
06:10-06:40,"CDR, FE-1",Post-sleep,,,,,,
06:30-06:40,FE-2,Morning Inspection,,,,,,
06:40-07:30,"CDR, FE-1",BREAKFAST,,,,,,
06:40-06:55,FE-2,Post-sleep,,,,,,
06:55-07:10,FE-2,Nutrition: blood sample collection for analysis,,,,,,
07:10-07:20,FE-2,Nutrition: setting up and loading refrigerator centrifuge,,,,,,
07:20-07:30,FE-2,Nutrition: refrigerator centrifuge config,,,,,,
07:30-07:45,FE-2,Post-sleep,,,,,,
07:30-07:45,"CDR, FE-1",Prep for Work,,,,,,
07:45-08:00,,Daily Planning Conference (S-band),,,,,,
08:00-08:20,FE-2,Nutrition: blood sample insertion in MELFI,,,,,,
08:00-08:15,"CDR, FE-1",Prep for Work,,,,,,
08:15-08:35,FE-1,24-hour ECG (termination),,,,,,
08:15-08:30,CDR,Regeneration of БМП Absorption Cartridge Ф2 (start),,,,,,
08:20-09:10,FE-2,BREAKFAST,,,,,,
08:35-08:55,"CDR, FE-1пом",24-hour ECG monitoring (start),,,,,,
08:55-09:10,"CDR,FE-1",Private Medical Conference With Descent Specialists (S-band,,,,,,
09:10-09:25,FE-2,RED inspection and access evaluation,,,,,,
09:10-09:40,CDR,Sampling condensate water [КАВ] to drink bags from СРВ-К2М upstream ofGas-Liquid Mixture Filter (ФГС),,,,,,
09:10-09:30,FE-1,БСПН [Payload Server] log file dump using RSS1. Tagup with specialists (S-band),,,,,,
09:25-10:55,FE-2,Physical Exercise (RED),,,,,,
09:40-11:40,"CDR, FE-1",Soyuz 220 descent OBT. Tagup with specialists (S-band),,,,,,
10:55-11:55,FE-2,Physical Exercise (TVIS),,,,,,
11:40-12:40,CDR,Computer Network Audit,,,,,,
11:40-12:40,FE-1,"Physical Exercise (TVIS), Day 3",,,,,,
11:55-12:20,FE-2,Nutrition: urine collection and sample insertion into MELFI,,,,,,
12:20-12:30,FE-2,SLEEP - Actiwatch set up,,,,,,
12:30-13:15,FE-2,Actiwatch battery replacement and donning,,,,,,
12:40-13:40,CDR,"Physical Exercise (TVIS), Day 3",,,,,,
12:40-13:00,FE-1,Progress 361 Rodnik Water Tank 1 [БВ1] Bladder Leak Check,,,,,,
13:00-13:30,FE-1,Crew departure prep,,,,,,
13:15-13:35,FE-2,Caution and Warning book revision,,,,,,
13:30-13:35,FE-1,Progress 361 Rodnik Water Tank 1 [БВ1] Bladder Leak Check,,,,,,
GMT,,CREW,,ACTIVITY,,,,
06:00-06:10,,,,Morning Inspection,,,,
06:10-06:40,,,,Post-sleep,,,,
06:40-07:30,,,,BREAKFAST,,,,
07:30-07:45,,"ISS15, 16",,Daily Planning Conference (S-band),,,,
07:45-08:15,,"FE-1-16, CDR",,Prep for Work,,,,
07:45-09:15,,FE-2,,Physical Exercise (RED),,,,
07:45-08:00,,"CDR-16, SFPVC",,Prep for Work,,,,
07:45-08:05,,FE-1,,Prep for Work,,,,
,08:00-08:45,,SFPVC,,Photo/video ops,,,
08:00-08:30,,CDR-16,,Prep for SAFER OBT.,,,,
08:05-08:55,,FE-1,,Pille dosimeter reading,,,,
08:15-08:25,,FE-1-16,,"KUBIK2. Setup and copy data (KUB2-TOOL kit, b/c 00045170R,ФГБ1ПГО_4_424_1_bag #360-3)",,,,
08:15-08:45,,CDR,,Photo/Video Ops Assistance,,,,
08:30-09:00,,CDR-16,,SAFER CBT,,,,
08:55-09:05,,FE-1,,Replace PILLE flash card,,,,
,08:55-09:05,,SFPVC,,Tagup with Consultants Team via VHF1,,,
09:00-09:30,,FE-1-16,,SAFER CBT,,,,
09:00-10:00,,CDR-16,,Physical Exercise (RED),,,,
,09:05-12:05,,"FE-1, SFPVC, CDR",,Soyuz No220 descent OBT. Tagup with specialists (S-band),,,
09:15-10:15,,FE-2,,Physical Exercise (CEVIS),,,,
09:30-09:40,,FE-1-16,,CONJUGATION. Replace cold packs in Biocont-Т,,,,
09:45-10:05,,FE-1-16,,AT-Space. Fixation of container 1,,,,
10:00-10:30,,CDR-16,,SAFER stowage,,,,
10:05-10:10,,FE-1-16,,KUBIK2. Switch data cable,,,,
10:10-10:30,,FE-1-16,,ALTCRISS. Data downlink via OCA. Tagup with specialists (S-band),,,,
10:15-10:45,,FE-2,,Prep for Work,,,,
10:30-11:00,,ISS16,,EMU C&W System Familiarization,,,,
10:45-10:55,,FE-2,,"MSG - daily start of the SAME Experiment, step 1",,,,
10:55-11:15,,FE-2,,SAME - Sample Carousel removal,,,,
11:00-11:30,,ISS16,,SAFER test,,,,
11:30-13:15,,"FE-2, CDR-16",,EMU checkout,,,,
11:30-11:45,,FE-1-16,,"AT-Space. Fixation of containers 2, 3, 4 (container #4 in PGB)",,,,
11:45-12:00,,FE-1-16,,Verify ИП-1 sensor installation,,,,
12:05-13:05,,"FE-1-16, CDR",,E15 /E16 Crew Handover,,,,
,12:05-14:05,,SFPVC,,ETD. Experiment ops,,,
12:05-13:05,,FE-1,,"Physical Exercise (TVIS), Day 3",,,,
13:05-13:15,,FE-1-16,,KUBIK2. Data copy and thermostat deactivation close-out ops,,,,
13:05-14:05,,CDR,,"Physical Exercise (TVIS), Day 3",,,,
13:15-13:35,,CDR-16,,Terminate BSA battery charge,,,,
13:15-13:25,,FE-2,,PAO hardware setup,,,,
13:20-13:35,,FE-1-16,,PAYLOAD SERVER (БСПН). Time synchronization,,,,
13:35-14:05,,"ISS16, FE-2",,E16 and STS 120 (10А) crew conference (S-band),,,,
GMT,,CREW,,ACTIVITY,,,,
11:00-11:10,,,,Morning inspection,,,,
11:10-11:40,,,,Post-sleep,,,,
11:40-12:30,,,,BREAKFAST,,,,
12:30-12:45,,CDR,,Prep for Work,,,,
12:30-12:55,,FE-1,,,,,,
12:30-12:45,,FE-2,,Activation of A31P Laptop,,,,
12:45-12:55,,,Prep for Work,,,,,
12:45-12:55,,CDR,,PAO hardware setup,,,,
12:55-13:10,,,,Daily Planning Conference (S-band),,,,
13:10-13:15,,FE-2,,LAB1D6 rack connection to LTL prior to CDRA activation,,,,
13:10-13:30,,FE-1,,"KUBIK-AMBER, KUBIK 2 thermostat activation",,,,
13:10-13:25,,CDR,,SM TV System activation to receive video from Soyuz and transmit image viaKu-band,,,,
13:15-14:45,,FE-2,,Physical Exercise (RED),,,,
13:25-14:05,,CDR,,Soyuz docking video downlink via Ku-band,,,,
13:30-13:35,,FE-1,,Set Cryogem-03M to + 4 С,,,,
13:35-13:45,,,Configuring comm for Soyuz docking,,,,,
13:45-14:55,,,Soyuz 221 / ISS approach monitoring,,,,,
14:05-14:55,,CDR,,,,,,
14:55-15:00,,FE-1,,On MCC Go: Switch PEV ГА-ТК to ЭЛЕКТ УПР [ELECTR CONTR] mode,,,,
15:00-15:15,,CDR,,Terminate Ku-band video downlink,,,,
15:15-15:40,,FE-2,,Removal of test equipment used for Ku-band TV downlink (after Progressdocking),,,,
15:40-15:50,,ISS15,,Crew prep for PAO,,,,
15:50-16:15,,"CDR, FE-2",,Ku-band TV PAO downlink “VC Arrival” (S+Ku-band). Soyuz-FGB transferhatches open,,,,
15:50-16:00,,FE-1,,,,,,
16:00-16:15,,FE-1,,"Prep for TV PAO (То =15:59, Т1, Т2, Т3 from СПП)",,,,
16:15-16:40,,,,Open Soyuz-FGB transfer hatchesTV PAO downlink “VC Arrival”,,,,
16:40-17:05,,,,Safety briefing,,,,
17:05-18:05,,FE-1-16,,Soyuz 221 deactivation,,,,
17:05-17:15,,FE-1,,Comm reconfig after Soyuz 221 dock/undock,,,,
17:15-18:15,,FE-1,,"Physical Exercise (TVIS), Day 2",,,,
,17:25-18:25,,"CDR,SFPVC",,VC SFP Familiarization with ISS,,,
18:00-18:10,,CDR-16,,"Terminate drying suits 1, 2",,,,
18:05-18:40,,FE-1-16,,P-KINASE. Insert 8 containers into KUBIK3 at +37 deg C,,,,
18:10-18:25,,CDR-16,,"Drying Spacesuit 3: start, and setting up 1st pair of gloves for drying",,,,
18:20-18:25,,FE-1,,On MCC Go ISS O2 repress from Progress 361 СрПК (start),,,,
18:25-19:25,,"ISS-15, SFPVC",,LUNCH,,,,
18:25-18:55,,CDR-16,,LUNCH,,,,
GMT,,CREW,,ACTIVITY,,,,
06:00-06:10,,,,Morning inspection,,,,
06:10-07:00,,FE-1,,Post-sleep,,,,
06:10-06:40,,"FE2, ISS16,SFPVC",,Post-sleep,,,,
06:10-06:20,,CDR,,IMMUNO. Saliva test,,,,
06:20-06:45,,,Post-sleep,,,,,
06:40-07:30,,"FE2, ISS16,SFPVC",,BREAKFAST,,,,
06:45-06:50,,CDR,,"IMMUNO. Log entry, morning use of АСУ as a start",,,,
06:50-07:00,,,"IMMUNO. First stress test, questionnaire data entry",,,,,
07:00-07:15,,"CDR, FE-1",,IMMUNO. Venous blood collection,,,,
07:15-07:35,,FE-1,,"IMMUNO. Processing of venous blood on centrifuge, insertion in Cryogem",,,,
07:15-07:35,,CDR,,"IMMUNO. Venous blood sample processing (smear), transfer to stowage",,,,
07:30-07:45,,"FE2, ISS16,SFPVC",,Prep for Work,,,,
07:35-07:45,,"CDR,FE-1",,BREAKFAST,,,,
07:45-08:00,,"ISS15, CDR-16,FE-1-16",,Daily Planning Conference (S-band),,,,
08:00-08:05,,CDR-16,,Connect DCP power cable,,,,
08:00-08:40,,CDR,,BREAKFAST,,,,
08:00-08:15,,FE-1,,BREAKFAST,,,,
08:00-08:15,,FE-2,,Prep for Work,,,,
08:05-08:15,,CDR-16,,PAO hardware setup,,,,
08:05-08:15,,FE-1-16,,CONJUGATION. Replace cold packs in Biocont-Т,,,,
,08:05-08:15,,,,Tagup with Consultants Team via VHF1,,,
,,SFPVC,,,,,,
,08:15-08:45,,,ETD. Head Unit R&R. Part 2. Tagup with specialists (VHF),,,,
,,,,,,,,
08:15-09:15,,"FE-1, FE-1-16",,E15 to E16 Crew Handover,,,,
08:15-09:00,,"FE-2, CDR-16",,DOUG Software Review,,,,
08:40-08:55,,CDR,,IMMUNO. Urine sample collection and fluid / medications intake log entry,,,,
,08:50-09:50,,SFPVC,,Photo/video ops,,,
09:00-10:00,,"FE-2, CDR-16",,SSRMS ops,,,,
09:15-09:45,,FE-1-16,,Skills training for the Shuttle R-Bar Pitch Maneuver,,,,
09:20-09:50,,CDR,,Photo/Video Ops Assistance,,,,
09:45-09:50,,FE-1-16,,Downlink images obtained during RPM OBT,,,,
09:50-10:50,,"FE-1, FE-1-16",,E15 to E16 Crew Handover,,,,
,09:50-11:50,,SFPVC,,ETD. Experiment ops. Tagup with specialists,,,
09:55-10:55,,CDR,,"Physical Exercise (TVIS), Day 1",,,,
10:00-10:15,,"FE-2, CDR-16",,RWS power up in LAB,,,,
10:15-10:45,,,Health Maintenance System (HMS) Crew Medical Restraint System(CMRS) - Checkout,,,,,
TIME,,CREW,,ACTIVITY,,,,
06:00-06:10,,,,Morning Inspection,,,,
06:10-06:40,,,,Post-sleep,,,,
06:40-07:30,,,,BREAKFAST,,,,
07:30-07:55,,,,Prep for Work,,,,
07:55-08:10,,"ISS15, CDR-16, FE-1-16",,Daily Planning Conference (S-band),,,,
,08:00-09:00,,SFPVC,,Photo/video ops,,,
08:10-08:25,,CDR,,АОК ГАНК-4М data readout,,,,
08:10-09:40,,FE-2,,Physical Exercise (RED),,,,
08:10-10:10,,CDR-16,,SAME - hardware teardown,,,,
08:15-09:40,,"FE-1, FE-1-16",,E15 to E16 Crew Handover,,,,
08:30-09:00,,CDR,,Photo/Video Ops Assistance,,,,
09:00-09:40,,CDR,,BIORISK. Tablet dismantling and transfer to Soyuz,,,,
,09:15-09:25,,SFPVC,,Tagup with Consultants Team via VHF1,,,
09:40-09:50,,FE-1-16,,AT-Space. Transfer of containers from KUBIK1 to BKT1 kit,,,,
09:40-10:00,,CDR,,BIOECOLOGY. Kit 10 removal from Bioecology Kit A03 and transfer toSoyuz,,,,
09:45-10:00,,FE-1,,MATRYOSHKA-R. Removal of СПД [Differential Pressure Indicator set]assemblies for return on Soyuz,,,,
09:50-10:00,,FE-1-16,,CONJUGATION. Replace cold packs in Biocont-Т,,,,
,10:00-10:30,,SFPVC (assists),,ETD - Experiment Ops- Session 1,,,
