0,1,2,3
13:00-14:00,"CDR, FE-2, FE-4",LUNCH,
13:20-14:20,FE-3,LUNCH,
13:45-15:50,FE-6,SPRINT. Ultrasound Ops,
14:00-14:40,FE-4,СОЖ Maintenance,
14:00-14:20,FE-5,SPRINT-GUIDE - Assistance with placing reference marks,
14:00-16:10,"CDR, FE-2","NAPOR-miniRSA. Installation of cables 17КС.49Ю 8249А- -70, -60, -50",
14:20-14:50,FE-5,СО2 and Remaining water Purge from Sabatier,
14:40-16:10,FE-3,ARED Exercise,
14:40-16:55,FE-4,Life On The Station Photo and Video,
15:05-15:10,FE-5,Photo/TV Camcorder Setup Verification,
15:10-16:05,FE-5,T2 Exercise,
16:05-16:10,FE-5,T2 Exercise Video Equipment Stow,
16:10-16:50,"CDR, FE-2",On MCC Go NAPOR-miniRSA. Connecting РСПИ cables to БЗУ-М,
16:10-17:10,FE-3,Optical Coherence Tomography (OCT) Test Crew Medical Officer,
16:10-17:40,FE-6,ARED Exercise,
16:10-17:10,FE-5,Optical Coherence Tomography (OCT) - Subject,
16:50-17:05,"CDR, FE-2",On MCC Go NAPOR-miniRSA. Connecting cable 17КС.49Ю 8249А-80 to cable 17КС.30Ю 8230А-2310 / r/g 4213,
16:55-17:15,FE-4,IMS Update,
17:05-17:45,CDR,Evening Work Prep,
17:05-17:15,FE-2,OBSTANOVKA. Download of Obstanovka P/L Data from БСПН to RSS1 (end),
17:10-17:30,FE-3,Optical Coherence Tomography (OCT) - Equipment Stowage,
17:15-17:20,FE-4,On MCC RS1 Laptop Deactivation Report to MCC and RS2 Laptop Activation,
17:15-18:45,FE-2,"БД-2 Exercise, Day 1",
17:20-18:20,FE-4,"VELO Exercise, Day 2",
17:25-17:30,FE-5,Ocular Health (OH) - prep,
17:30-18:00,FE-3,Evening Work Prep,
17:40-17:55,FE-5,Private Psychological Conference,
17:40-17:45,FE-6,USND2 - Ultrasound 2 Hardware Power Off,
17:45-18:00,FE-6,Ocular Health (OH) - Hardware Setup,
17:45-19:10,CDR,ARED Exercise,
18:00-18:30,FE-3,Ocular Health (OH) - Assistance,
18:00-18:30,FE-5,Ocular Health (OH) - Subject,
18:00-18:05,FE-6,Ocular Health (OH) - prep,
18:05-18:30,FE-6,Evening Work Prep,
18:20-18:40,FE-4,Evening Work Prep,
18:30-19:00,FE-5,Evening Work Prep,
18:30-19:00,FE-6,Ocular Health (OH) - Subject,
18:30-19:00,FE-3,Ocular Health (OH) - Assistance,
18:40-19:10,FE-4,Pre-sleep,
18:45-19:10,FE-2,Evening Work Prep,
19:00-19:10,FE-5,Ocular Health (OH) - Hardware Stowage,
19:10-19:30,,Daily Planning Conference (S-band),
19:30-21:30,"CDR, FE-2, FE-3, FE-5",Pre-sleep,
19:30-21:20,FE-6,Pre-sleep,
19:30-20:55,FE-4,Pre-sleep,
20:55-21:00,FE-4,Monitoring Laptop RS2 operation. Tagup with specialists (S-band),
,,On MCC Activation of Vozdukh Atmosphere Purification System [СОА],
21:00-21:30,FE-4,"to run in mode 2, CYCLE ВН = 1 min, CYCLE СОА = 30 min, AIR",
,,FLOW = 100%,
21:20-21:25,FE-6,Reading REMINDER,
21:25-21:30,FE-6,Reaction Self Test,
21:30-06:00,,SLEEP,
,,URAGAN Observations and Photography,
Task List,"CDR, FE-2, FE-4",ECON-M. Observations and Photography,
,Preparation of reports for Roscosmos site,,
CDR,ТКГ 421сTransfers and IMS Ops,,
TIME,CREW,,
,,Morning Inspection.,
06:00-06:10,CDR,"Visual inspection of DC1 АЗС position on БВП СО и fuses on БПП- 30, БПП-36",
,,per LED,
06:00-06:10,"FE-2,FE-3, FE-5",Morning Inspection,
06:00-06:10,FE-4,"Morning Inspection.  Laptop RS1(2) Reboot RSS1,2 Reboot",
06:00-06:05,FE-6,Reaction Self Test,
06:05-06:10,FE-6,Morning Inspection,
06:10-06:40,,Post-sleep,
06:40-07:30,CDR,BREAKFAST.  SM ПСС (Caution & Warning Panel) Test,
,"FE-2,FE-3,",,
06:40-07:30,"FE-4,FE-5,",BREAKFAST,
,FE-6,,
07:30-10:30,FE-2,Weekly Housekeeping,
07:30-10:00,FE-4,"SM Ventilation Subsystem Preventive Maintenance, Group E",
,,FGB ЦВ2 Fan Cleaning,
,,Inspection of Air Conditioner,
07:30-09:00,CDR,Cleaning Auxiliary Computer System (ВКС) Laptops,
,,БМП (Micropurification Unit) Fan Grille Cleaning,
09:00-09:25,FE-6,COSMO- camera prep,
09:00-10:30,CDR,ARED Exercise,
09:25-09:45,FE-6,"COSMO- camera setup, connect microscope",
09:50-09:55,FE-6,COSMO- Camera View Check,
10:05-10:20,FE-4,PFC (S+Ku-band),
10:10-11:10,FE-6,T2 Exercise,
10:30-10:35,FE-3,CGBA- Status Check and Monitor Cleaning,
10:30-11:30,CDR,"БД-2 Exercise, Day 2",
10:35-12:05,FE-3,ARED Exercise,
11:00-11:15,FE-2,PFC (S+Ku-band),
,,Weekly Housekeeping,
,,"SM Ventilation Subsystem Preventive Maintenance, Group E",
11:00-11:30,FE-4,FGB ЦВ2 Fan Cleaning  Inspection of Air Conditioner,
,,Cleaning Auxiliary Computer System (ВКС) Laptops,
,,БМП (Micropurification Unit) Fan Grille Cleaning,
11:30-13:00,FE-4,"БД-2 Exercise, Day 2",
11:30-11:40,CDR,ССВП removal closeout ops,
,,Weekly Housekeeping,
,,"SM Ventilation Subsystem Preventive Maintenance, Group E",
11:40-13:00,CDR,FGB ЦВ2 Fan Cleaning  Inspection of Air Conditioner,
,,Cleaning Auxiliary Computer System (ВКС) Laptops,
,,БМП (Micropurification Unit) Fan Grille Cleaning,
TIME,CREW,,
06:00-06:15,"CDR, FE-3",Post-sleep,
06:00-06:10,FE-2,Morning Inspection. SM ПСС (Caution & Warning Panel) Test,
,,Morning Inspection.,
